"",F.stat,p.value,-log10(p),FDR
M681.474T1424.253,14.293,6.5195e-07,6.1858,0.0011461
M681.469T1389.183,13.48,1.0665e-06,5.972,0.0011461
M681.469T1408.485,12.937,1.5007e-06,5.8237,0.0011461
M695.45T1338.973,11.805,3.1767e-06,5.498,0.0018195
M679.553T1406.451,11.452,4.0602e-06,5.3914,0.0018604
M637.411T1406.122,10.838,6.3037e-06,5.2004,0.0019994
M679.436T1338.726,10.698,6.9882e-06,5.1556,0.0019994
M682.472T1373.006,10.601,7.5112e-06,5.1243,0.0019994
M449.365T1540.699,10.541,7.8547e-06,5.1049,0.0019994
M679.452T1355.733,10.222,9.993e-06,5.0003,0.0022871
M649.479T1423.325,10.067,1.1259e-05,4.9485,0.0022871
M660.517T1313.696,9.9868,1.1979e-05,4.9216,0.0022871
M555.454T1439.586,9.7768,1.412e-05,4.8502,0.0023558
M637.415T1439.736,9.7523,1.4396e-05,4.8418,0.0023558
M637.412T1422.711,9.6628,1.5455e-05,4.8109,0.0023606
M648.466T1423.012,9.4358,1.8542e-05,4.7318,0.002655
M650.482T1423.013,9.339,2.0059e-05,4.6977,0.0027032
M695.451T1225.817,9.0942,2.4535e-05,4.6102,0.0031228
M624.432T1423.013,8.8255,3.074e-05,4.5123,0.0034842
M670.528T1488.279,8.8203,3.0877e-05,4.5104,0.0034842
M660.517T1423.005,8.7805,3.1937e-05,4.4957,0.0034842
M680.474T1439.81,8.7033,3.4115e-05,4.4671,0.0035526
M646.455T1423.013,8.5995,3.7297e-05,4.4283,0.0036123
M555.447T1456.772,8.5827,3.7842e-05,4.422,0.0036123
M481.362T1439.996,8.3359,4.6943e-05,4.3284,0.0043018
M574.467T1456.399,8.1647,5.4649e-05,4.2624,0.0047167
M661.446T1372.452,8.1457,5.5587e-05,4.255,0.0047167
M668.509T1456.373,8.0568,6.0212e-05,4.2203,0.0049266
M655.418T1389.36,7.8911,6.9993e-05,4.1549,0.0053849
M646.461T1352.771,7.883,7.0514e-05,4.1517,0.0053849
M637.414T1384.421,7.7604,7.8933e-05,4.1027,0.0057479
M646.454T1406.122,7.7397,8.0461e-05,4.0944,0.0057479
M623.428T1439.576,7.7089,8.2794e-05,4.082,0.0057479
M555.451T1436.867,7.5049,0.00010023,3.999,0.0062292
M655.416T1372.761,7.5007,0.00010063,3.9973,0.0062292
M660.514T1439.78,7.4833,0.0001023,3.9901,0.0062292
M680.472T1423.013,7.4829,0.00010234,3.99,0.0062292
M668.506T1440.08,7.4326,0.00010735,3.9692,0.0062292
M664.462T1368.515,7.4166,0.00010899,3.9626,0.0062292
M481.361T1422.828,7.4038,0.00011034,3.9573,0.0062292
M590.465T1389.456,7.3821,0.00011264,3.9483,0.0062292
M646.453T1439.754,7.354,0.00011571,3.9366,0.0062292
M549.424T1386.472,7.3432,0.00011692,3.9321,0.0062292
M555.456T1423.317,7.0677,0.00015276,3.816,0.0079537
M623.429T1456.316,7.0167,0.00016062,3.7942,0.0081696
M670.538T1472.8,6.9877,0.00016528,3.7818,0.0081696
M639.424T1423.012,6.9605,0.00016979,3.7701,0.0081696
M567.43T1421.35,6.9383,0.00017358,3.7605,0.0081696
M639.422T1384.421,6.9317,0.00017473,3.7576,0.0081696
M650.482T1439.948,6.891,0.00018195,3.74,0.0083369
M624.436T1440.08,6.7727,0.00020489,3.6885,0.0092041
M623.428T1423.013,6.731,0.0002137,3.6702,0.009415
M647.463T1423.013,6.6641,0.00022874,3.6407,0.0098875
M1017.38T900.968,6.5969,0.00024499,3.6109,0.010394
M1076.413T957.42,6.5763,0.00025022,3.6017,0.010423
