"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"M697.459T1191.472",0.028506,0.009541,0.050839,-0.028822,-0.021107,-0.026652,-0.037883,0.022837,-0.01244,-0.0062645,0.00048708,-0.0050552,-0.046623,0.040889,0.017445,0.0028763,0.0041217,-0.020821,-0.0019058,-0.018723,-0.008163,0.011638,-0.01191,0.0058255,-0.0027883,0.00063207,-0.00017073,0.0039045,-0.020401,-0.72161
"M695.447T1189.727",0.017065,-0.00091427,0.022079,-0.0042185,-0.0011658,-0.017917,-0.017395,0.02568,-0.012552,-0.028126,-0.0031762,0.036541,-0.021962,0.03104,0.013393,0.00085336,0.018796,-0.031875,0.015198,-0.020555,-0.0053758,-0.018157,0.0045835,-0.013687,0.0214,-0.0019936,0.0051219,-0.016676,0.026381,0.15171
"M917.581T1308.231",0.01176,-0.01177,0.038282,-0.0097819,0.024375,-0.01178,-0.024588,0.019586,-0.050112,0.019625,0.015594,0.016652,0.029324,0.016306,0.029901,0.0035692,0.022963,-0.041773,-0.0011488,-0.0039697,0.019236,0.0029222,-0.032409,0.012808,-0.017378,0.044251,0.0053928,-0.010897,0.014085,0.081281
"M810.529T1306.211",0.018752,-0.014509,0.0036809,0.0074817,-0.0090586,0.0089567,0.0060365,0.0074843,-0.042216,0.012557,0.020458,-0.0036356,0.0049193,0.032438,0.00018847,0.0067305,0.00069218,-0.0047927,-0.0041285,0.006414,-0.013492,0.023324,0.011101,0.019254,-0.016748,0.00099791,0.017965,0.014552,-0.005401,-0.079981
"M385.182T1540.093",-0.0097089,-0.0058823,0.015469,0.0058942,-0.014426,0.021663,0.024334,0.019403,0.032805,0.0078879,0.013689,-0.0083478,-0.021396,-0.0085404,-0.048918,-0.03329,-0.015659,0.061582,-0.00079318,-0.031192,0.024684,0.0042852,-0.017008,-0.027045,0.02521,-0.01258,-0.031668,0.084005,0.026663,-0.029301
"M441.228T1306.216",-0.0044122,-0.0072452,0.015834,0.0065885,-0.01067,0.019423,0.03277,-0.0051575,-0.034569,0.012027,-0.0017383,0.011952,0.01098,-0.010604,-0.01881,-0.0033182,-0.0034206,0.0045989,-0.0092958,-0.011263,0.003393,0.0046407,-0.026425,-0.0051449,0.020395,-0.0026947,-0.010835,0.0015112,0.020782,-0.10588
"M711.445T1221.644",0.019881,-0.00018686,0.034805,-0.00039075,0.0021109,-0.01574,-0.028847,0.043794,-0.0076249,-0.017788,-0.012181,-0.0079328,-0.033046,0.043883,0.0097917,0.011424,-0.0015146,-0.031881,0.033211,-0.018529,0.0017011,-0.01712,0.0033478,-0.014671,0.027019,0.0065859,-0.022512,-0.0182,0.017241,-0.035323
"M557.468T1423.166",0.013911,-0.022016,0.035912,0.016947,0.022576,-0.0011581,-0.035017,0.036481,-0.016832,0.010645,0.015857,0.012684,-0.032307,-0.010152,-0.035913,-0.025973,0.008392,0.0029825,-0.038263,0.0029354,-0.0007424,0.014144,-0.013698,0.0081547,-0.015188,0.004424,0.034534,0.015978,0.013715,0.45237
"M679.436T1338.726",0.027528,-0.0082313,0.038077,0.015421,0.0026363,-0.012628,-0.039739,0.028504,0.00052117,-0.016541,-0.010362,-0.0004504,-0.0013825,0.030521,0.0087511,0.019139,0.011348,0.00054035,0.013741,-0.0058769,0.0086889,-0.005465,-0.0014223,-0.0039853,0.010829,-0.0024439,-0.009277,-0.011579,-0.006667,-0.05764
"M589.459T1372.544",0.025652,-0.016177,0.055551,0.017353,0.0041113,-0.016958,-0.048784,0.042371,-0.017639,-0.0088151,0.0057647,0.020944,-0.054303,-0.030253,0.031511,-0.0063261,0.014185,-0.029602,-0.025924,-0.018377,0.00024328,0.0056601,0.0062712,-0.01443,-0.013587,0.032063,0.017591,-0.0026357,-0.0025766,0.13252
"M681.469T1408.485",0.03643,-0.0080645,0.041068,0.013932,-0.01179,-0.014832,-0.047083,0.021147,0.0052012,-0.018024,-0.012337,-0.0015561,-0.019134,0.0088325,0.017261,0.019963,0.0065474,-0.021088,0.0061195,-0.00054904,0.0051196,0.0020315,-0.0066084,0.0041684,0.0086999,-0.0012686,-0.0079833,-0.0050501,-0.0056878,-0.16447
"M695.451T1225.817",0.022899,-0.0031311,0.03063,0.002439,0.0012226,-0.012921,-0.032584,0.029405,-0.0013332,-0.023663,-0.014551,0.0098195,-0.02375,0.02783,0.02646,0.0020997,0.023941,-0.012861,0.033657,-0.0074996,-0.0042992,-0.014211,-0.00078708,-0.024218,0.016759,-0.0014683,-0.017429,-0.029882,0.014337,-0.16935
"M285.134T1052.907",-0.0011703,-0.027403,-0.028125,0.016049,0.0019803,0.010144,0.043768,0.054232,-0.039058,-0.017645,-0.012406,0.044383,0.0041928,0.04743,-0.025197,0.0028991,0.033246,0.014133,0.004081,-0.025691,-0.010396,0.017422,0.0048273,0.030487,0.0045077,0.019397,-0.00069577,-0.0017686,-0.011432,0.0044319
"M681.469T1389.183",0.036279,-0.0079603,0.042171,0.013217,-0.0089244,-0.015532,-0.046611,0.024545,0.0032762,-0.022402,-0.01091,-0.0060261,-0.022313,0.011208,0.018941,0.020798,0.003181,-0.017629,0.0041222,-0.0032314,0.0064784,0.0066535,-0.0049639,0.0048804,0.0080982,-0.0030641,-0.010949,-0.00061624,-0.002359,0.070248
"M680.474T1439.81",0.027447,-0.011373,0.028477,0.0094094,-0.017113,-0.019364,-0.031056,0.0093464,0.0058636,-0.0054322,-0.04253,-0.013312,0.018577,-0.015127,-0.0097027,0.010954,0.041473,-0.021233,0.020988,-0.0013157,0.019801,0.0012622,-0.030486,-0.014983,0.01203,-0.0041794,-0.012018,-0.020296,0.0057151,-0.083076
"M574.467T1456.399",0.031063,-0.0071318,0.034555,0.008364,-0.017263,-0.00099616,-0.040939,0.031519,-0.025039,-0.0037056,0.0096702,-0.028979,0.0084166,0.024533,0.0055834,-0.017946,-0.030709,0.017311,-0.015805,0.00066436,0.018836,0.026238,-0.015949,-0.017029,-0.019693,-0.053738,-0.0069847,0.00098858,0.014651,0.032688
"M565.421T1295.888",0.025074,-0.0066926,0.043621,0.0020696,-0.019235,-0.0056894,-0.034857,0.011626,0.010824,-0.0023807,-0.0022924,-0.0026876,-0.0095336,0.016642,-0.0076025,0.016736,0.013996,-0.00042032,0.0035671,0.001732,0.020428,-0.0086178,0.0052814,0.0029564,0.012927,0.025396,0.016306,-0.015399,-0.018783,0.0020559
