"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"C9.1",-14.901,7.7081,-5.4327,3.6694,-5.6124,1.6944,-3.7089,0.12889,-4.3057,2.2973,-2.6535,-1.869,2.5797,5.9979,-3.3685,-1.8196,-0.26662,1.3773,0.27839,1.44,2.5105,0.21593,-0.27419,-0.4196,-1.5301,-0.9889,-0.64056,1.4898,0.33287,5.3818e-15
"C9.2",-33.394,-11.275,3.931,4.3684,3.8064,-1.9469,-3.2498,2.9298,2.7971,2.6644,-1.6904,2.6555,-4.4964,-4.0091,-1.2579,-1.7114,0.52376,0.19629,0.30216,-0.45961,1.3399,0.54944,-0.25525,0.15321,-0.10906,-0.17749,0.57412,0.32782,0.28419,-2.1538e-14
"C9.3",-6.1412,-5.267,-0.19643,1.9997,4.8895,-4.182,5.0349,-3.3622,-6.0826,0.34392,1.0291,-0.56936,4.6546,-0.84574,0.33257,-0.45435,0.9813,3.0598,0.56921,-4.9373,0.40378,-0.7199,-0.47033,-0.57969,-0.14346,-0.27367,1.1784,-2.1028,1.7377,-3.7058e-15
"C9.4",-7.8184,-1.3788,4.5593,6.9243,0.94471,2.3621,4.429,-2.008,-1.1722,0.96081,0.37057,-3.2146,-3.1196,1.3821,-1.0613,4.231,-1.1667,-1.0756,-3.5029,-0.95191,-2.5966,-0.19198,1.6841,-0.66897,-0.6194,1.6838,-2.6657,0.78604,2.3528,7.2283e-15
"D9.1",-2.9949,-6.9969,-4.6832,-4.0186,-5.3569,2.2985,-0.79829,1.0829,1.3973,-1.6656,3.0807,-5.1458,-1.3178,-0.13417,1.3192,-0.016584,-0.16908,-3.6742,1.6201,-3.3851,3.1743,-2.1453,-0.94399,1.7539,-1.5824,1.1507,-1.2415,-0.73646,-1.7064,7.2935e-15
"D9.2",-9.9242,7.0027,-1.3759,4.2767,-6.0749,0.95438,3.0249,3.8977,0.013289,5.5515,2.1799,1.8876,3.9247,-2.2641,3.5427,5.0762,0.83086,-0.75919,1.8537,1.8956,-0.91762,-0.47348,-1.2763,-0.49884,-0.22071,-1.4509,-0.49292,0.043975,-0.8445,-3.2755e-15
"D9.3",-7.0672,25.066,17.264,-18.791,-0.093083,-3.7635,-0.70014,-5.2121,1.7376,2.302,-0.082493,-0.97834,-0.296,0.13604,0.88392,-1.0823,0.52785,-0.6986,0.12799,-0.438,-0.18181,0.010609,0.13818,0.20901,0.028069,0.11127,-0.12349,0.057178,0.20039,-4.571e-15
"D9.4",-0.99699,-2.9661,-10.615,-5.2227,4.075,-6.6747,0.26762,-1.8229,-0.77898,0.18557,2.5546,-1.8887,0.11883,-1.3617,-1.7292,-0.15256,-4.5498,-1.4667,1.7953,2.8129,-1.3019,0.25804,2.2853,2.692,-0.37797,-2.8034,-0.063264,-1.0581,1.179,6.4675e-15
"F9.1",-1.7943,0.20975,-5.1753,2.8512,3.1821,7.5529,-3.645,-9.7154,0.94552,1.1711,2.8307,5.0609,1.0295,0.29137,-1.2125,-1.0036,0.60549,-0.96449,0.8451,1.152,-0.68767,-4.07,1.4094,-0.48841,0.7336,1.9958,0.025192,-0.56757,-0.60736,5.3878e-16
"F9.2",6.9387,9.4213,-9.8862,-2.0347,-3.5576,4.1408,10.004,0.62273,-2.2045,-0.21706,-1.3861,0.28886,-4.4744,-2.2909,-0.12496,-4.3418,1.1879,-0.30374,2.2621,0.4149,-1.1167,-0.18566,-1.2149,-2.4777,-0.33652,-0.72915,-0.82794,0.39871,1.1854,5.3498e-15
"F9.3",-8.497,11.794,-15.568,0.48329,5.2787,-2.5261,3.5342,0.34147,9.0114,-3.3347,-5.6084,-0.49874,0.94267,2.3325,1.4379,1.6231,1.8071,0.45393,-0.64096,-0.70011,-0.46041,-0.0041254,0.8749,0.56876,0.12789,0.54437,0.95119,-0.51315,-0.62727,4.783e-15
"X9.1",1.0415,-0.70759,6.9447,8.6713,0.90249,5.0045,3.6997,-3.6356,-1.7913,-0.049878,1.0891,-2.1989,-1.6688,0.96578,0.28047,-0.63295,1.2019,0.72176,0.72907,-0.52021,-2.4482,1.444,0.44921,3.366,-0.73972,-1.4905,3.1832,2.0637,-2.9601,-6.7232e-15
"X9.2",-2.138,-6.5436,-0.81791,-3.5678,7.3297,-4.9516,4.7716,1.5741,-2.4219,0.44385,2.0113,-2.5953,2.3589,-0.84467,-1.519,-1.4086,0.68966,-0.67696,-2.0184,2.4609,0.55833,0.93731,-0.11828,-2.4511,1.729,2.1088,-1.1185,0.91729,-3.9348,6.3083e-15
"X9.3",2.7746,-7.923,-3.8494,-11.63,-2.5948,7.8644,0.83755,1.4958,6.6327,0.91453,4.5602,-0.15105,1.9199,-0.50126,-2.3823,0.62429,-0.9972,3.3906,-0.43542,-1.5698,0.45637,1.9701,-0.1913,0.033785,2.287,-0.33085,0.23431,2.2242,1.2791,2.967e-15
"X9.4",1.6387,5.6177,-0.60535,3.2853,-5.4765,0.55139,-1.9013,5.5702,2.0761,1.1777,2.4949,0.58195,1.9357,-0.30338,0.3559,-3.6461,-2.6491,-1.679,-4.1312,-0.5202,-2.1603,0.60026,0.46927,-1.2574,-2.3762,1.4769,2.8814,-1.796,0.17216,3.7907e-15
"QC.1",4.4604,-5.7256,-4.8253,-2.2491,0.38785,-5.6789,-3.9231,-5.2186,-0.54832,-1.4022,-0.029654,3.0474,-1.1432,0.86984,1.858,1.5712,-2.8607,0.79778,2.0463,-0.73332,-1.2804,2.6531,-3.1184,-1.4363,-2.9315,2.3269,-0.096715,2.0825,-0.40492,2.8517e-15
"QC.2",4.3216,-0.20063,4.0263,6.3836,4.5501,2.8901,0.84336,-2.6458,2.2257,-1.659,2.6921,3.3418,0.84497,2.1006,0.74153,-1.3095,1.7345,-2.8513,-1.3737,0.16137,1.7812,4.3144,-1.4954,0.60827,-0.23298,-2.4045,-2.488,-2.1271,0.52895,-4.286e-15
"QC.3",2.5718,6.7194,-4.7925,2.2179,-0.39288,-0.68059,-5.273,0.32827,-2.6067,0.65838,-1.8419,-0.75889,-1.5399,-0.17707,-0.35775,-0.099244,-1.5377,0.28887,-2.5724,-0.84084,-2.0001,-1.3386,-4.9899,1.9896,4.3586,-0.65798,-0.51337,-0.82352,-0.47777,-9.8608e-16
"C12.3",-15.404,-2.8357,2.019,-2.9387,-9.3519,-0.58164,-2.6048,0.26619,-3.8716,-10.371,0.99646,1.504,0.86245,-0.83887,1.9673,-0.15938,1.114,0.65138,-0.49571,0.92629,-1.413,0.31607,1.8687,-0.33875,1.5954,-0.48347,-0.55387,0.27634,0.0099146,1.0302e-14
"C12.4",4.3886,4.0977,8.6354,-3.925,0.42168,4.3366,5.6555,3.4631,-1.6108,-3.5344,-3.4727,4.2199,-0.20953,-0.78176,-4.2353,3.0353,-3.5261,1.1558,0.087165,0.3558,1.8569,-0.8508,-0.66065,0.98985,-1.4264,0.41623,0.21943,-1.8064,-1.5943,2.413e-15
"D12.1",13.451,7.9154,-3.0089,1.0934,1.5766,-2.3121,-6.782,2.8672,-1.6162,0.9263,-0.012486,1.6276,-1.894,-0.43756,-1.8944,1.8863,0.68113,-0.9676,0.23662,-4.0239,-0.17,0.14071,3.1415,-2.9962,0.3528,-3.0032,-0.37132,0.71675,-1.9137,-4.0332e-16
"D12.2",7.6016,-7.9487,4.6336,-2.6335,1.7774,-7.3482,1.5465,4.829,1.6653,-1.7182,3.9108,1.9925,-1.3577,3.5917,-1.6904,0.66078,3.5693,-0.64402,-0.62529,1.2704,-0.4665,-3.7085,-1.9741,0.19923,-1.1437,-1.1502,1.2494,1.3869,1.5552,9.5215e-16
"D12.3",3.3059,-16.273,-0.97536,-14.305,5.2585,8.1063,-5.2864,2.1893,-3.0359,1.7084,-3.9721,-2.1165,-0.54859,0.70854,2.3008,0.85995,2.3579,0.84519,-0.57524,1.6583,-1.7768,0.25545,0.017537,-0.6503,-1.8115,-0.71232,0.21678,-2.0204,0.08593,-5.0376e-15
"D12.4",9.9273,12.333,-5.8461,3.02,-1.4849,-1.9419,-3.1725,0.28829,-3.1359,0.6404,3.4583,-1.0165,-3.4292,-1.8112,-0.43114,2.2692,3.2269,2.5166,-0.39003,2.0336,2.929,2.0038,0.92965,1.4541,0.15523,2.8443,1.3539,-1.4153,1.0029,2.9656e-15
"F12.1",3.6477,-0.24789,9.2139,9.488,2.0043,1.5116,-2.0115,-2.3913,4.1201,-2.5908,0.31154,-5.098,-0.9662,0.18823,1.4747,0.75651,-2.6268,1.1673,1.8346,2.0494,1.7828,-0.99762,-0.90412,-4.0915,1.2252,-1.342,1.7341,-0.99682,0.5831,-8.5849e-15
"F12.2",12.35,4.7166,1.4908,4.7019,4.4889,0.71956,-2.2172,0.3637,0.58785,-1.1215,-1.8647,-0.31105,2.3753,-4.4882,2.9519,-1.8924,-0.58356,2.216,-2.8043,0.59979,1.8452,-2.1062,0.47291,1.6543,-2.2563,-0.82225,-1.9901,2.9166,0.60178,-6.0001e-15
"F12.4",13.07,-14.906,2.7931,1.8909,-11.381,-4.9815,0.41013,-6.6328,3.1528,1.7364,-5.7857,-0.94448,2.018,-2.7893,-3.1021,0.38606,2.3014,-1.65,-0.74262,0.50038,-0.01277,0.5308,0.12419,0.097667,0.17217,-0.12917,0.29987,-0.38877,0.2081,8.8297e-16
"X12.1",7.5521,0.8559,8.3481,7.1141,1.2514,-1.1539,-3.0938,6.5976,2.6398,0.081562,-0.66435,-1.0246,1.8745,0.79509,-1.2748,-2.1435,0.72333,1.5914,4.9382,-0.30695,-3.0279,0.36435,0.83141,1.3399,0.51648,2.4462,-2.5701,-0.93438,0.23828,-4.6751e-15
"X12.2",5.0964,-0.80653,1.8945,-0.50549,4.2455,2.6214,0.1752,3.3829,-3.9505,-0.11671,-3.4561,1.1022,1.9511,0.41343,1.4796,0.35626,-0.85529,-5.3709,1.4981,-0.27686,1.6637,0.89273,0.73488,0.55983,2.5926,1.7154,2.2425,2.2762,2.3509,3.1948e-15
"X12.3",6.9341,-11.454,1.8988,-0.61731,-4.9943,-3.8853,4.1336,0.42551,0.13048,4.0173,-1.0496,3.0696,-2.9298,4.1058,4.7152,-1.4624,-2.2757,2.3524,-0.71588,-0.067622,1.7168,-0.66494,2.4557,0.68544,1.9638,0.12922,-0.58654,-0.67722,-0.81749,-4.6207e-15
