"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M697.459T1191.472","-0.479793391","-0.869824868","-0.743797039","-0.284327196"," 0.075832869","-0.563018425"," 1.489305077","-0.549319264","-0.902720521","-0.445261121","-1.095950727"," 0.023425638","-0.314554807","-0.291257487"," 0.183012919"," 0.268204528"," 0.002932405"," 0.226923135"," 0.066009411"," 0.361333509"," 0.759107737"," 0.793589206"," 0.328464898"," 0.248450339"," 0.170545930","-0.016919974"," 0.249417160"," 0.588319847"," 0.211361821"," 0.510508392"
"M695.447T1189.727","-0.47766264","-0.38043028","-0.16711290","-0.23117023","-0.12402686","-0.36951018"," 0.20817280","-0.35143468","-0.25443659","-0.14724662","-0.44107632","-0.24810829","-0.30456304","-0.40672314"," 0.03927247"," 0.07369708"," 0.21663431"," 0.06926304"," 0.26007766"," 0.23940268"," 0.57336613"," 0.79631200"," 0.08600150"," 0.02348996"," 0.08073024","-0.10385263"," 0.02013379"," 0.47295173"," 0.49954466"," 0.34830434"
"M917.581T1308.231","-0.36772318","-0.16973229"," 0.36190534","-0.16990048","-0.02671245","-0.09339020"," 0.42401315","-0.42630420","-0.21760063","-0.85269553","-1.23966191","-0.07118060"," 0.34354465","-0.51758379"," 0.02000272"," 0.21211667"," 0.35709905","-0.07804121","-0.24352559"," 0.13126929","-0.00585789"," 0.65385983"," 0.68928289"," 0.03247342","-0.13971353"," 0.15448996","-0.12944360"," 0.41983710"," 0.82436957"," 0.12480349"
"M810.529T1306.211"," 0.01262454","-0.75257083"," 0.07236346"," 0.11683775","-0.01504902","-0.07730593","-0.69029358","-0.01720198","-0.15375896","-0.05388096","-0.83901702"," 0.51782726"," 0.06913985"," 0.00239699"," 0.11766012"," 0.12248785"," 0.12452215","-0.12371598","-0.15894113"," 0.02215634"," 0.10882282"," 0.28387560"," 0.33134432"," 0.19071888","-0.17893311","-0.05517579"," 0.21952818"," 0.10987654"," 0.29164546"," 0.40201619"
"M385.182T1540.093"," 0.292878104"," 0.744222400","-0.086623066"," 0.354173076","-0.017999773","-0.132355738","-0.077529542","-0.555345667","-0.323529451"," 0.378643526","-0.344058507"," 0.158473869","-0.006525185"," 1.067323170","-0.097510320","-0.353070149","-0.131197944","-0.201931262","-0.040366038"," 0.189695667","-0.238127494"," 0.082797770","-0.553117467","-0.441244255"," 0.294336527"," 0.091076091","-0.068059143"," 0.236180720","-0.335508214"," 0.114298296"
"M441.228T1306.216"," 0.10644427"," 0.12550374"," 0.47784092"," 0.37698327","-0.17467422"," 0.20384835","-0.13139992","-0.37420277","-0.02949915"," 0.28391273","-0.71810806"," 0.26013427"," 0.08576007"," 0.08011356","-0.13054439","-0.27870333"," 0.14365242"," 0.01301512"," 0.09297568"," 0.41307709","-0.40675652","-0.13112514","-0.10023712","-0.28508350","-0.08840623","-0.15073615"," 0.18760289","-0.12948288"," 0.17746137"," 0.10063364"
"M711.445T1221.644","-0.360742998","-0.411193341","-0.438372896","-0.003254242"," 0.099871473","-0.430143785"," 0.318059013","-0.421396096","-0.647490082","-0.382525570","-0.630037062","-0.229680971","-0.253359958","-0.473671160","-0.047152956","-0.068197523"," 0.093926175"," 0.162305126","-0.021164214"," 0.289963887"," 0.667277552"," 0.708047040"," 0.213382531"," 0.008184818"," 0.518129286","-0.076578972","-0.068059473"," 0.965997280"," 0.555362238"," 0.362514881"
"M557.468T1423.166","-0.42676094"," 0.60494734","-0.14894698"," 0.06151841","-0.37941003","-0.70086705","-0.53017440","-0.40404840","-0.31772358","-0.69727442","-1.29985762"," 0.38159441"," 0.14182829","-0.11468093"," 0.36407593","-0.06132395"," 0.30382659"," 0.06537719","-0.36570736"," 0.17878000"," 0.31621424"," 0.79624655"," 0.43544210"," 0.11430660"," 0.28288405"," 0.35259011"," 0.11573031"," 0.58137403"," 0.29183709"," 0.05820243"
"M679.436T1338.726","-0.41767676","-0.53879234","-0.32886523","-0.17326279","-0.15468747","-0.38346895","-0.14456235","-0.60742875","-0.45526045","-0.82889915","-0.75954390"," 0.07873069","-0.23713675","-0.39062340","-0.02252434"," 0.05466396"," 0.31996795"," 0.10023402","-0.12369857"," 0.25539610"," 0.64242633"," 0.67612686"," 0.22067995"," 0.11206210"," 0.70674513"," 0.35033749"," 0.38217239"," 1.01075770"," 0.32066052"," 0.33547002"
