"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M619.438T1245.233,62.534,6.7723e-06,5.1693,0.01488,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Fusarium
M576.533T1641.124,52.695,1.299e-05,4.8864,0.01488,Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M392.284T1436.378,47.013,1.9987e-05,4.6993,0.015263,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Fusarium; Second-tp_Drought - Second-tp_Xanthomonas
M443.333T1262.042,33.755,6.8618e-05,4.1636,0.039301,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M441.224T1179.269,28.481,0.0001276,3.8941,0.058467,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M399.308T1262.042,24.235,0.00022799,3.6421,0.081695,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M609.455T1145.906,23.626,0.00024961,3.6027,0.081695,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M545.37T1372.761,21.58,0.00034381,3.4637,0.090004,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M535.447T1540.43,21.409,0.00035357,3.4515,0.090004,Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M535.409T1440.116,19.828,0.00046237,3.335,0.10593,Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Xanthomonas - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M330.263T1492.022,19,0.00053609,3.2708,0.11165,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M542.478T1573.977,17.168,0.00075956,3.1194,0.14501,Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M576.484T1557.453,16.253,0.00091479,3.0387,0.16121,Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M722.259T892.9,14.379,0.0013787,2.8605,0.21306,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M558.46T1591.049,14.1,0.0014708,2.8325,0.21306,Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M449.365T1540.699,14.051,0.001488,2.8274,0.21306,Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M847.517T1163.004,13.705,0.0016151,2.7918,0.21765,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Fusarium
M449.347T1490.033,12.603,0.002123,2.6731,0.24414,Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M549.431T1507.08,12.501,0.0021791,2.6617,0.24414,Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M479.188T913.185,12.414,0.0022291,2.6519,0.24414,Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M331.187T1104.601,12.399,0.0022378,2.6502,0.24414,Second-tp_Control - Second-tp_Fusarium; Second-tp_Drought - Second-tp_Fusarium; Second-tp_Xanthomonas - Second-tp_Fusarium
M771.504T1195.638,12.016,0.002475,2.6064,0.24706,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M541.474T1573.977,12.008,0.0024803,2.6055,0.24706,Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M504.265T1099.137,11.219,0.0030792,2.5116,0.27175,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M341.283T1305.932,11.088,0.0031951,2.4955,0.27175,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M383.284T1439.726,11.072,0.0032097,2.4935,0.27175,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
M605.427T1490.314,10.918,0.0033546,2.4744,0.27175,Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Xanthomonas - Second-tp_Drought
M415.326T1295.888,10.878,0.0033933,2.4694,0.27175,Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Fusarium; Second-tp_Drought - Second-tp_Xanthomonas
M455.315T1295.888,10.831,0.0034398,2.4635,0.27175,Second-tp_Control - Second-tp_Drought; Second-tp_Control - Second-tp_Fusarium; Second-tp_Control - Second-tp_Xanthomonas
