"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M697.459T1191.472","-0.428823891"," 0.008114412"," 0.596629877"," 0.647645947","-0.040515400","-0.158898648","-0.274159882","-0.551519683","-0.157468214"," 0.343945545","-0.213771901"," 0.228821837"
"M695.447T1189.727","-0.01614585","-0.03896690"," 0.32966202"," 0.57574972","-0.20829115","-0.27729139","-0.21410957","-0.41785216","-0.28099594"," 0.21882459"," 0.24817786"," 0.08123877"
"M917.581T1308.231","-0.50130798","-0.08640390","-0.23820594"," 0.49211249"," 0.53132640","-0.19577256","-0.38638633","-0.06069823","-0.37501735"," 0.23304544"," 0.68086960","-0.09356164"
"M810.529T1306.211","-0.36710659","-0.13747718","-0.02758513"," 0.19437969"," 0.25456945"," 0.07625809","-0.39245617","-0.23553339"," 0.11278794","-0.02624902"," 0.20423178"," 0.34418053"
"M385.182T1540.093"," 0.01738264"," 0.27869626","-0.20724302"," 0.15727720","-0.56502169","-0.43795146"," 0.39755169"," 0.16668006","-0.01407234"," 0.33149591","-0.31785208"," 0.19305680"
"M441.228T1306.216"," 0.12855285"," 0.47247579","-0.40836876","-0.11222525","-0.07903859","-0.27764099","-0.06632725","-0.13329569"," 0.23022210","-0.11046078"," 0.21932586"," 0.13678071"
"M711.445T1221.644","-0.40073833","-0.05891469"," 0.35562431"," 0.40041607","-0.14305147","-0.36849375"," 0.19176125","-0.46162024","-0.45226022"," 0.68381540"," 0.23266756"," 0.02079410"
"M557.468T1423.166","-0.79251560","-0.10633615"," 0.06686264"," 0.67181389"," 0.21711720","-0.18758748"," 0.02485893"," 0.11270462","-0.18579328"," 0.40102504"," 0.03614183","-0.25829165"
"M679.436T1338.726","-0.64788588","-0.18545358"," 0.28665879"," 0.32776782","-0.22780150","-0.36029716"," 0.36511700","-0.06964091","-0.03080764"," 0.73596166","-0.10584187","-0.08777674"
"M589.459T1372.544","-0.68761149","-0.41726333"," 0.41261518"," 0.47833957","-0.19298375","-0.26791094"," 0.13180943"," 0.12253526","-0.18742153"," 0.60274837"," 0.06947737","-0.06433414"
"M681.469T1408.485","-0.74948596","-0.33388712"," 0.35171842"," 0.23198892","-0.37823081","-0.27724813"," 0.35940907"," 0.01906925"," 0.41119514"," 0.61858298","-0.13966585","-0.11344591"
"M695.451T1225.817","-0.331290893","-0.265957488"," 0.306126804"," 0.368763993","-0.007250772","-0.348251329"," 0.216066351","-0.311457748","-0.257848502"," 0.658957121","-0.017338187","-0.010519349"
"M285.134T1052.907"," 0.1781857"," 0.3755652","-0.1871834"," 0.4545394"," 0.2423069","-0.1987168","-1.0670850","-0.5628619","-0.2381154"," 0.1683897"," 0.3386492"," 0.4963265"
"M681.469T1389.183","-0.7353129","-0.3314265"," 0.3694255"," 0.2516992","-0.3743411","-0.2839790"," 0.3895330"," 0.0506731"," 0.2759188"," 0.6395620","-0.1289342","-0.1228179"
"M680.474T1439.81","-0.56306673","-0.27617674"," 0.06562155"," 0.06340611","-0.13126570","-0.30321447"," 0.18195589","-0.05762810"," 1.01897583"," 0.42044164","-0.06717106","-0.35187823"
"M574.467T1456.399","-0.626286171","-0.289489181"," 0.359014779"," 0.070657338"," 0.007426941","-0.357504957"," 0.532912018"," 0.288322119","-0.027888508"," 0.388528751","-0.314180132","-0.031512995"
"M565.421T1295.888","-0.588163895"," 0.002977212"," 0.034445403"," 0.227887597","-0.272468043","-0.125486758"," 0.305195327","-0.331615403"," 0.499721397"," 0.481101330","-0.272780527"," 0.039186358"
"M681.474T1424.253","-0.77655449","-0.36495100"," 0.33055268"," 0.22812719","-0.37453817","-0.27151145"," 0.36106770"," 0.07757038"," 0.45618825"," 0.61195508","-0.15853246","-0.11937371"
"M569.292T994.771"," 0.14833658"," 0.23556232","-0.09149577"," 0.19513378"," 0.27474515","-0.12261867","-0.96569549","-0.50048586","-0.31739053"," 0.13562531"," 0.41090407"," 0.59737911"
"M989.67T1341.992","-0.3246931"," 0.1158081"," 0.5581321"," 0.3757522","-0.4168822","-0.2788420","-0.4511940","-0.6658194","-0.2175119"," 0.1376000"," 0.8299973"," 0.3376529"
"M379.265T1245.233"," 0.093471230"," 0.609988572","-0.099298812"," 0.162904452","-0.109608502","-0.011041148","-0.296416207","-0.510061631"," 0.100066748","-0.009840698"," 0.070841079","-0.001005082"
"M679.452T1355.733","-0.66744517","-0.11083168"," 0.28049596"," 0.23703842","-0.14929743","-0.37988210"," 0.35831646","-0.07349395","-0.05623477"," 0.72125831","-0.03840810","-0.12151595"
"M713.46T1208.68","-0.40236387","-0.22363819"," 0.68920051"," 0.81920533","-0.31490081","-0.02054046"," 0.02448294","-0.89165524","-0.13246176"," 0.28373257","-0.13186468"," 0.30080364"
"M711.444T1322.388","-0.45399143","-0.10768761"," 0.27195905"," 0.41902988","-0.20580643","-0.40916175"," 0.20109385","-0.20194755","-0.23650706"," 0.57485618"," 0.13600255"," 0.01216034"
"M637.414T1384.421","-0.4052587450","-0.2874522057"," 0.2136681051"," 0.1575168309","-0.2686071686","-0.1054075319"," 0.2140140048","-0.0405031662"," 0.0901844356"," 0.4961080657","-0.0640292444","-0.0002333804"
"M637.411T1406.122","-0.462322381","-0.136409432"," 0.192949916"," 0.128582799","-0.337213848","-0.125778355"," 0.203052763","-0.008829234"," 0.147532238"," 0.480224300","-0.001317564","-0.080471202"
"M729.452T1109.944"," 0.2781384","-0.1380861"," 0.6087518"," 0.5377155","-0.1534474","-0.5271828","-0.1940212","-0.6538865","-0.1798275"," 0.4724400","-0.1465603"," 0.0959661"
"M571.365T1456.373","-0.07815689","-0.43005808"," 0.07944988"," 0.24411590"," 0.11171727","-0.25593337"," 0.33413060"," 0.02849237","-0.27471559"," 0.21265908","-0.06783107"," 0.09612990"
"M865.579T1358.969"," 0.45936889","-0.06556146"," 0.16495274","-0.57513822"," 1.31301364","-0.04891092","-0.82962006","-0.54915553"," 0.20120863","-0.01968992"," 0.04016805","-0.09063583"
"M867.584T1358.969"," 0.20236915"," 0.25459430"," 0.65105609"," 0.70807642"," 0.46259757"," 0.17871592","-0.94944072","-0.03908488","-1.84765504"," 0.21666438"," 0.12793799"," 0.03416883"
"M682.472T1373.006","-0.7247238","-0.1583569"," 0.3245406"," 0.3554168","-0.5232308","-0.2885290"," 0.3904143"," 0.1076445"," 0.1503291"," 0.5762021","-0.2232160"," 0.0135090"
"M589.459T1264.044"," 0.050218310"," 0.061152086"," 0.315876608"," 0.382648428","-0.004973611","-0.333651993","-0.093900936"," 0.094326184","-0.654882391"," 0.533705813","-0.199541643","-0.150976854"
"M633.478T1401.37","-0.53886395"," 0.16872444","-0.08052510"," 0.34788879","-0.11544847","-0.41300995","-0.04331257"," 0.16564072"," 0.52180339"," 0.15854235","-0.12479313","-0.04664653"
"M646.455T1423.013","-0.52527313","-0.26519926"," 0.15729856"," 0.04395857","-0.17397746","-0.48395203"," 0.55827691"," 0.11575078","-0.09791941"," 0.62856690"," 0.26136026","-0.21889069"
"M881.484T1273.289","-0.23131915"," 0.37800273","-0.40262435","-0.26158765","-0.16786209","-0.24946146"," 0.27895602","-0.12639008"," 0.38358698","-0.01129631"," 0.03059890"," 0.37939646"
"M637.412T1422.711","-0.480457994","-0.105797027"," 0.171170635"," 0.139313921","-0.377843092","-0.080935343"," 0.227063547"," 0.009127267"," 0.172778724"," 0.433059958","-0.050884859","-0.056595738"
"M591.474T1330.445","-0.674367033"," 0.009606463"," 0.138912380"," 0.183973383","-0.159415759","-0.198583707"," 0.238143094"," 0.238299856"," 0.184320787"," 0.444646677","-0.331710182","-0.073825961"
"M645.45T1333.909","-0.309594286"," 0.164176317","-0.006048652"," 0.250207717"," 0.126142898","-0.413389123"," 0.294473660","-0.236287711","-0.103292640"," 0.357764117","-0.034789318","-0.089362979"
"M826.523T1305.342","-0.657489614"," 0.257160598","-0.190531449","-0.050023478"," 0.343204278","-0.125326227"," 0.115821854"," 0.057633432"," 0.008372887","-0.007402291"," 0.244959520"," 0.003620491"
"M593.485T1401.37","-0.51249623","-0.17836787","-0.13823880"," 0.06489938"," 0.11423875","-0.15244991"," 0.15601985"," 0.22816313"," 0.43992867"," 0.21180315","-0.37666261"," 0.14316249"
"M591.474T1402.346","-0.75844663"," 0.05463541"," 0.09173259"," 0.21477206","-0.15442870","-0.18213768"," 0.24780986"," 0.20102281"," 0.23268978"," 0.43270885","-0.29768273","-0.08267562"
"M1123.351T817.469","-0.47840742"," 0.10568452"," 0.58031895"," 0.34800299","-0.15449317"," 0.25255313","-0.32977889","-0.30215048","-0.49098847"," 0.25606182"," 0.12711906"," 0.08607794"
"M645.458T1212.039","-0.26965133"," 0.41653939"," 0.03994767"," 0.06438994"," 0.25103252","-0.39873103"," 0.11360431","-0.24258744","-0.27803166"," 0.33120374"," 0.05104618","-0.07876230"
"M555.363T1275.021","-0.172584465","-0.002543272"," 0.670578698"," 0.059645984"," 0.510315316","-0.191438678","-0.185376516","-0.236600613","-0.447823689"," 0.156789880","-0.051350831","-0.109611815"
