"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M697.459T1191.472",0.0045418,-0.014552,-0.0059847,0.0021123,-0.040837,-0.045305,-0.025851,0.012359,-0.041357,0.0058676,-0.033934,-0.073492
"M695.447T1189.727",-0.0005684,0.00028157,-0.00095513,0.0067622,-0.034388,-0.038347,-0.01289,0.027706,-0.00025783,0.030375,-0.025802,-0.12271
"M917.581T1308.231",-0.0043702,-0.010605,-0.031088,0.027037,-0.016401,-0.026222,0.003916,0.03017,0.026277,0.028562,0.042083,0.63848
"M810.529T1306.211",-0.0044785,-0.017232,-0.014374,-0.0075193,-0.016243,-0.0095231,0.013742,0.018997,-0.0084422,0.012219,0.017568,-0.069523
"M385.182T1540.093",0.0027752,-0.00030839,0.032458,0.023924,-0.014713,-8.8583e-05,0.0039094,-0.010891,0.0031267,-0.029086,-0.020351,-0.3958
"M441.228T1306.216",-0.011804,0.00070041,0.0081142,0.0092276,-0.018048,0.034221,0.0063823,0.0090368,0.0055496,0.010679,0.0091357,-0.44806
"M711.445T1221.644",0.0078095,-0.0039542,0.0014685,0.031753,-0.018623,-0.045479,-0.011462,0.036716,-0.033839,0.027555,-0.022934,-0.3112
"M557.468T1423.166",0.010224,-0.019922,-0.012995,0.029876,-0.010043,-0.036539,-0.023144,-0.0096157,0.010479,0.0061261,0.017314,-0.059828
"M679.436T1338.726",0.014485,-0.017692,0.012963,0.030431,0.00044436,-0.034951,-0.023501,0.015881,-0.021528,0.0020324,-0.015768,0.27755
"M589.459T1372.544",0.017676,-0.018483,0.0015777,0.022596,-0.0012334,-0.048453,-0.014338,0.022262,0.0063083,0.0041778,-0.017726,-0.062326
"M681.469T1408.485",0.017781,-0.027527,0.020551,0.016773,0.0098475,-0.023116,-0.030534,0.015534,-0.012851,0.0096813,-0.015882,-0.0035455
"M695.451T1225.817",0.0050618,-0.0083959,0.003998,0.024434,-0.0028318,-0.047695,-0.018276,0.024164,-0.028758,0.0077116,-0.018664,-0.0016324
"M285.134T1052.907",-0.020159,0.00014342,-0.019504,-0.0033591,-0.066354,-0.013418,0.0025847,0.05301,-0.0044136,-0.0079923,0.023898,-0.0080419
"M681.469T1389.183",0.018861,-0.024669,0.018904,0.020019,0.0096134,-0.027361,-0.027518,0.014609,-0.011731,0.007569,-0.018588,-0.0023177
"M680.474T1439.81",0.0049674,-0.03234,0.020861,0.0056706,0.021183,0.0066043,-0.055188,0.015795,-0.0014152,0.022524,0.01249,0.00032554
"M574.467T1456.399",0.014126,-0.018696,0.0062681,0.024852,0.02395,-0.022924,-0.0092835,-0.010183,-0.012036,-0.020215,-0.040307,-0.0011995
"M565.421T1295.888",0.0071949,-0.023969,0.02248,0.011906,-0.0065775,-0.0082452,-0.025065,-0.0010848,-0.040904,0.012336,0.0078772,0.002498
"M681.474T1424.253",0.01823,-0.029273,0.021037,0.016182,0.012254,-0.022179,-0.030548,0.013781,-0.0091128,0.0069646,-0.013677,-0.0022526
"M569.292T994.771",-0.017093,0.0012384,-0.022271,-0.0060186,-0.052455,-0.010954,0.01929,0.061301,-0.011314,-0.0084204,0.014319,0.0019863
"M989.67T1341.992",0.0045534,-0.0058429,-0.0078957,0.0034103,-0.053125,-0.020461,0.0057991,0.073132,-0.0079941,0.071994,-0.040472,0.0038097
"M379.265T1245.233",-0.0071311,0.0044456,0.0010256,6.1191e-05,-0.040912,0.01731,-0.019087,0.0054376,-0.023413,0.020102,0.012905,0.0008225
"M679.452T1355.733",0.013932,-0.016582,0.0090142,0.033288,0.0020033,-0.028437,-0.023361,0.019,-0.023787,0.0039221,-0.01566,0.0032094
"M713.46T1208.68",0.0067468,-0.014051,0.0060599,-0.004412,-0.04089,-0.063072,-0.016773,0.0073054,-0.056562,0.048217,-0.040668,-0.0016719
"M711.444T1322.388",0.0086656,-0.010205,0.0063124,0.028784,-0.013477,-0.037559,-0.012328,0.02518,-0.012663,0.016958,-0.022157,0.002731
"M637.414T1384.421",0.011816,-0.013252,0.013028,0.010521,0.0048253,-0.024966,-0.011115,0.01719,-0.013624,0.0031587,-0.0052326,-0.0028691
"M637.411T1406.122",0.013638,-0.013284,0.013655,0.013572,0.00080993,-0.014469,-0.015936,0.017598,-0.0095525,0.0079881,-0.0031381,0.00090379
"M729.452T1109.944",-0.006871,0.0020919,0.0080427,0.0026673,-0.028871,-0.052482,-0.040979,0.036131,-0.028327,0.0061136,-0.057166,-0.0028494
"M571.365T1456.373",-0.00049129,-0.0038926,0.0026112,0.014583,0.014862,-0.03849,0.009504,-0.0028425,-0.00015444,-0.002678,-0.020071,0.0027154
"M865.579T1358.969",-0.02934,0.0028211,-0.043054,-0.022635,0.020156,0.013979,-0.037507,0.047359,-0.045682,-0.022552,0.01122,0.0023026
"M867.584T1358.969",0.0062603,0.033444,-0.058792,0.010233,-0.060368,-0.072315,0.0066828,0.019119,0.0028333,-0.045273,-0.022632,-0.0044
"M682.472T1373.006",0.020058,-0.022375,0.022174,0.021978,-0.0045885,-0.026308,-0.017557,0.0033962,-0.0091169,-0.0021557,-0.024704,-4.6141e-05
"M589.459T1264.044",0.0054757,0.0099245,-0.0053386,0.023313,-0.016258,-0.04081,-0.023628,0.010544,0.0013129,-0.038213,-0.025637,0.0013824
"M633.478T1401.37",0.0019947,-0.025737,0.0099416,0.015015,-0.01427,0.0083857,-0.028149,-0.0066071,0.019194,-0.0056706,-0.00032592,1.3625e-05
"M646.455T1423.013",0.01289,-0.010939,0.011117,0.038913,0.021603,-0.021593,-0.009771,0.027607,0.00075722,0.019401,-0.017861,-0.002509
"M881.484T1273.289",-0.0057486,-0.011798,0.018142,0.01345,-0.0070293,0.036601,0.022998,0.00055721,-0.020729,0.005509,0.0023338,-0.0010552
"M637.412T1422.711",0.014432,-0.013857,0.01526,0.012016,-0.00072914,-0.012168,-0.01365,0.010964,-0.010038,0.0069857,-0.0021834,-0.0030586
"M591.474T1330.445",0.014533,-0.020834,0.010116,0.020254,0.0012986,-0.0084785,-0.020812,-0.0095592,-0.0087334,-0.023667,-0.0056495,0.00015532
"M645.45T1333.909",-0.0015112,-0.0071613,0.0026006,0.030853,-0.0061731,-0.01369,-0.017487,-0.0017649,-0.023142,0.0092937,-0.0096064,0.0050148
"M826.523T1305.342",0.0019842,-0.01513,-0.015079,0.024301,-0.00014968,0.018281,0.010561,-0.004893,-0.0072781,0.014088,0.014912,0.00088846
"M593.485T1401.37",0.0021186,-0.026012,0.0088357,0.0072745,0.013007,-0.00065951,-0.0053853,-0.015057,-0.005342,-0.030089,0.0092214,0.0013619
