"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"C12.3",-16.594,19.886,6.2051,-6.3139,1.4294,-1.0652,-1.2741,0.80036,1.6344,-1.1034,-0.81753,3.2621e-15
"C12.4",0.96901,6.163,-1.7268,6.6756,-9.2572,9.2987,-1.8676,-2.0621,-2.0115,-0.80592,-0.32244,4.0584e-15
"D12.1",13.347,0.09139,-5.7248,-5.561,0.14903,-2.3345,-3.6824,1.7682,-1.7349,0.61579,-6.5638,-2.7368e-14
"D12.2",-3.2572,-5.3466,0.88963,1.694,-7.97,-8.9545,-2.2789,-4.167,3.2699,1.8197,0.81402,1.215e-14
"D12.3",-16.286,-4.39,-16.434,2.845,5.4841,-0.71153,-1.118,-1.5161,-2.063,-1.2954,0.91228,2.0933e-14
"D12.4",14.463,5.3816,-3.5263,-10.76,0.29197,-0.28096,2.1297,-2.4491,-2.618,0.80067,5.1012,-4.3258e-14
"F12.1",3.4512,2.1246,9.1222,8.4601,7.4835,-0.5671,2.4405,-4.7886,-2.492,3.062,-1.7373,5.4673e-15
"F12.2",11.262,-1.3518,-1.504,2.0489,3.8529,2.3812,1.6107,-1.4223,7.0741,-4.8766,-0.29312,-3.7478e-15
"F12.4",-6.4214,-16.065,8.8578,-7.2145,2.4276,5.9031,-4.4911,0.47891,0.58762,1.3485,0.96889,1.3481e-14
"X12.1",5.9963,-0.30455,5.8079,7.745,0.6365,-4.5325,-3.1365,5.7872,-2.9142,-3.293,3.0199,-4.4506e-15
"X12.2",0.4011,2.2292,-5.123,3.6472,-0.10414,1.8542,2.8873,5.8526,3.4423,6.1545,0.97867,2.0061e-15
"X12.3",-7.3306,-8.4181,3.1561,-3.2668,-4.4236,-0.99086,8.7806,1.7181,-2.1747,-2.4269,-2.0607,1.4895e-14
