"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M697.459T1191.472",0.012034,-0.016651,-0.008817,0.0075471,0.0020974,0.0082714,-0.028055,0.031432
"M695.447T1189.727",-3.9553e-05,0.0026408,0.0014295,0.0034618,0.011299,0.01262,-0.017306,0.028981
"M917.581T1308.231",0.0071496,0.01425,0.0035471,0.021005,-0.021094,0.050787,0.0011925,0.044359
"M810.529T1306.211",0.0099793,0.0019085,-0.0064485,0.031022,-0.0010891,0.010081,-0.0059574,0.020527
"M385.182T1540.093",0.011616,0.010463,-0.0045305,-0.035881,0.023631,-0.002755,-0.029038,-0.0013662
"M441.228T1306.216",-0.0050308,0.015118,-0.01217,-0.00010602,0.024395,0.019469,-0.0084777,-0.014269
"M711.445T1221.644",0.015059,0.0099201,0.011405,-0.013947,-0.0026483,0.023317,-0.018182,0.026842
"M557.468T1423.166",0.024691,-0.010399,-0.0029629,-0.0080245,-0.024535,0.030609,-0.00046725,0.042088
"M679.436T1338.726",0.032754,0.00028004,0.0039496,-0.024643,-0.0064069,0.01089,-0.0015873,0.013067
"M589.459T1372.544",0.032615,-0.0046051,0.01164,-0.010617,-0.013847,0.0093159,-0.0035735,0.023958
"M681.469T1408.485",0.042816,-0.0075198,-0.00052003,-0.019759,0.00048207,-0.0016867,0.016652,-0.0013745
"M695.451T1225.817",0.017123,0.010254,0.0043092,-0.014076,-0.011212,0.0092907,-0.0053031,0.022351
"M285.134T1052.907",-0.017139,0.014109,-0.012091,0.040359,0.027338,0.038122,-0.028465,0.033887
"M681.469T1389.183",0.041194,-0.0069605,0.0028772,-0.022199,-0.0025389,-0.00048153,0.011851,0.0017015
"M680.474T1439.81",0.037203,-0.0029424,-0.019295,-0.009723,0.0061429,0.0028713,0.056073,-0.021122
"M574.467T1456.399",0.031459,-0.0031964,0.0022821,-0.023848,-0.0279,-0.0049978,-0.011107,-0.010114
"M565.421T1295.888",0.031168,-0.0048999,-0.013833,-0.016176,0.013246,0.001184,0.010215,0.0097227
"M681.474T1424.253",0.044734,-0.0080572,-0.0011571,-0.019608,-0.00042634,-0.0029173,0.018874,-0.0021324
"M569.292T994.771",-0.015276,0.017388,-0.0025625,0.044289,0.020083,0.030678,-0.031403,0.022135
"M989.67T1341.992",0.0077747,0.0012112,0.012243,0.025836,0.029389,0.029771,-0.02986,0.013333
"M379.265T1245.233",-0.012142,-0.006661,-0.013002,0.0034637,0.028888,0.02323,-0.0071807,0.0074972
"M679.452T1355.733",0.031086,0.0010763,0.004901,-0.02356,-0.0089627,0.01695,-0.0016809,0.0069263
"M713.46T1208.68",0.015378,-0.014083,-0.0057111,0.0033819,0.0096968,-0.0091528,-0.025628,0.051134
"M711.444T1322.388",0.021299,0.0065937,0.006014,-0.015433,-0.0016253,0.017368,-0.014137,0.020422
"M637.414T1384.421",0.024749,-0.00048543,0.0060387,-0.011728,0.00092152,-0.0034137,0.0073078,0.0086804
"M637.411T1406.122",0.025505,-0.0043615,0.0057474,-0.014195,0.0058855,0.0040922,0.0087011,0.0030822
"M729.452T1109.944",-0.0043969,0.0077798,-0.0080239,-0.0042951,0.010689,-0.0021012,-0.013854,0.012158
"M571.365T1456.373",0.009257,0.016478,0.0033044,-0.01053,-0.021454,-0.0096335,-0.010171,0.01819
"M865.579T1358.969",-0.030751,0.014901,-0.018251,0.049217,-0.030814,0.016646,0.037227,-0.040975
"M867.584T1358.969",-0.039911,-0.021583,0.031728,0.02139,-0.03066,0.038339,-0.069999,0.064842
"M682.472T1373.006",0.039582,-0.010579,0.0023689,-0.026376,0.0048814,-0.0008212,-0.008297,0.0084855
