"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C12.3",-19.492,6.0327,-0.54,-2.225,3.9718,-6.2151,1.925,-1.3424
"C12.4",-6.9777,-6.0315,-4.7548,-5.1402,5.7566,9.8811,-4.475,-2.3844
"D12.1",0.3894,-8.8832,4.3589,2.109,-3.3252,-3.262,-1.8202,-4.9679
"D12.2",1.448,-2.7751,-8.7941,-1.9407,0.48046,1.0569,-1.1834,8.8122
"D12.3",-5.0278,3.1946,-7.7497,6.1723,-13.463,4.1732,1.0621,-0.23284
"D12.4",-3.2696,-8.7272,8.5826,4.5354,0.86972,-4.4119,3.2241,5.0013
"F12.1",4.7354,4.0013,1.1407,-13.726,-4.8642,-4.5873,-1.0141,0.12319
"F12.2",5.0508,-2.7538,5.3762,-2.4361,-3.4996,-0.59112,-0.93305,-2.5384
"F12.4",9.3508,-1.0289,-13.255,3.0494,5.5965,-2.7728,6.2828,-3.8322
"X12.1",7.1119,4.6689,6.3203,-5.1563,2.4601,4.2694,3.3166,0.97752
"X12.2",0.73782,5.999,10.084,6.4607,2.2168,7.7319,1.975,-0.075058
"X12.3",5.9425,6.3032,-0.76858,8.2973,3.8004,-5.2721,-8.3599,0.45902
