"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M436.428T1590.788",3.9513,3.6702,3.4799,3.4297,3.4218,3.421,3.4216,3.4216
"M443.333T1262.042",3.9279,3.3417,3.1494,3.101,3.095,3.0938,3.0934,3.0934
"M399.308T1262.042",3.7521,3.1872,3.0144,2.9687,2.9637,2.9625,2.9621,2.9621
"M722.259T892.9",3.7103,3.352,3.1653,3.1148,3.1163,3.1152,3.1153,3.1152
"M951.603T1424.253",3.6337,3.1764,2.9926,2.9447,2.938,2.9368,2.9365,2.9364
"M537.533T1295.888",3.4444,2.9074,2.7294,2.687,2.681,2.6799,2.6799,2.6799
"M609.455T1145.906",3.2863,2.7706,2.6006,2.5586,2.5539,2.553,2.5527,2.5527
"M517.372T1212.039",3.2625,2.874,2.6993,2.6743,2.6709,2.6713,2.6709,2.6709
"M847.517T1163.004",3.1677,2.7311,2.5648,2.5317,2.5279,2.527,2.5269,2.5268
"M781.432T903.94",3.1132,3.4828,3.4237,3.3734,3.3658,3.3653,3.3648,3.3648
"M619.438T1245.233",3.0101,2.6106,2.4682,2.4309,2.4277,2.4267,2.4265,2.4265
"M355.282T1278.929",2.9844,2.6306,2.4732,2.4517,2.4461,2.4459,2.4456,2.4456
"M576.533T1641.124",2.9453,2.5813,2.4311,2.3918,2.3889,2.388,2.3878,2.3878
"M833.242T1612.704",2.921,2.4641,2.3137,2.2765,2.2747,2.274,2.274,2.274
"M479.188T913.185",2.8367,2.441,2.3944,2.3634,2.3616,2.3607,2.3605,2.3605
"M341.283T1305.932",2.8008,2.362,2.2203,2.1852,2.1822,2.1813,2.181,2.181
"M374.303T1319.161",2.791,2.377,2.2367,2.2008,2.1959,2.1951,2.1949,2.1949
"M495.298T1036.333",2.765,2.5273,2.3748,2.3441,2.3435,2.343,2.3428,2.3427
"M771.504T1195.638",2.7593,2.3356,2.1978,2.1646,2.1609,2.16,2.1597,2.1597
"M973.671T1456.538",2.7526,3.0988,2.9298,2.8921,2.8868,2.886,2.8856,2.8856
"M666.518T1641.124",2.7264,2.4442,2.2941,2.2608,2.2576,2.2591,2.2588,2.2588
