"","Fold Change","log2(FC)"
"M722.259T892.9",0.022094,-5.5002
"M807.348T918.929",13.569,3.7623
"M399.308T1262.042",0.11072,-3.175
"M443.333T1262.042",0.11625,-3.1047
"M479.188T913.185",7.5765,2.9215
"M561.396T1195.638",0.13671,-2.8708
"M722.581T1518.016",0.14451,-2.7907
"M722.58T1595.75",0.18601,-2.4265
"M609.455T1145.906",0.20458,-2.2893
"M771.504T1195.638",0.21942,-2.1882
"M619.438T1245.233",0.24095,-2.0532
"M341.283T1305.932",0.24197,-2.0471
"M386.164T943.456",3.9157,1.9693
"M556.445T1212.039",0.27132,-1.8819
"M545.37T1372.761",0.27768,-1.8485
"M847.517T1163.004",0.29369,-1.7676
"M951.603T1424.253",3.3633,1.7499
"M832.307T992.353",3.3054,1.7248
"M537.533T1295.888",0.30648,-1.7061
"M576.533T1641.124",3.1606,1.6602
"M542.478T1573.977",3.0704,1.6184
"M523.36T1271.932",2.848,1.5099
"M541.474T1573.977",2.7816,1.4759
"M441.224T1179.269",0.3708,-1.4313
"M808.52T1220.972",0.37406,-1.4187
"M820.327T1006.792",2.6239,1.3917
"M813.332T1056.081",2.5992,1.378
"M504.265T1099.137",0.39172,-1.3521
"M817.317T940.819",2.4384,1.2859
"M475.412T1607.605",2.2034,1.1397
"M787.545T1575.098",2.1802,1.1245
"M677.438T1339.916",2.1782,1.1231
"M392.284T1436.378",0.48723,-1.0373
