"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"M285.134T1052.907",-0.039254,0.071639,0.035711,-0.073299,0.17474
"M569.292T994.771",-0.032382,0.079379,0.042697,-0.097842,0.08347
"M867.584T1358.969",0.063636,0.026004,-0.18955,-0.10075,0.12022
"M1123.351T817.469",0.065265,-0.12676,-0.046615,-0.019431,0.056256
"M985.571T1146.934",-0.056707,-0.040983,0.069736,-0.055457,-0.11392
"M986.591T1195.638",-0.076097,0.0041376,0.12881,-0.046438,-0.012287
"M423.198T1506.423",-0.038992,0.047787,0.019463,-0.067557,0.0066004
"M879.468T1338.726",0.030212,-0.041784,0.19766,-0.14277,0.093631
"M556.445T1212.039",-0.095982,-0.096244,0.2201,-0.17589,0.13387
"M618.492T1624.789",0.066277,0.0088287,0.10675,-0.12805,0.031325
"M393.189T1440.567",-0.0080578,0.084946,0.0012659,-0.033027,0.022339
"M629.464T1456.367",0.023693,0.03838,-0.027683,-0.098358,0.06042
"M889.305T842.452",0.088162,-0.088528,0.048987,-0.080621,0.024473
"M513.307T1059.952",-0.065792,0.11703,0.052392,-0.09205,0.094341
"M513.25T1338.968",-0.02629,0.10057,0.077548,-0.14026,0.090316
"M630.465T1474.173",0.031364,0.0019044,-0.050024,-0.098808,0.12092
"M329.158T1625.781",0.054704,0.060166,-0.10948,0.060305,0.05384
"M660.517T1423.005",0.066426,-0.059058,-0.066356,-0.035363,0.11716
"M882.48T1339.403",-0.035831,-0.046405,0.10372,-0.24257,-0.001565
"M564.208T942.149",0.078821,-0.070363,0.10173,-0.068526,0.10367
"M343.224T1621.712",-0.01114,-0.058378,-0.13683,0.022704,0.09462
"M609.455T1145.906",-0.14985,0.0086596,0.033781,-0.047537,-0.095959
"M771.504T1195.638",-0.14298,0.077001,-0.043307,-0.0021325,-0.084761
"M828.538T1289.688",-0.078752,-0.13562,-0.075003,0.11229,-0.077627
"M523.36T1271.932",0.11303,0.12926,-0.072008,0.13257,-0.10197
"M351.253T1019.694",-0.075063,0.1096,0.080135,-0.089403,0.10309
"M979.313T847.893",0.058448,-0.030084,0.11257,-0.057556,0.08078
"M691.436T1356.203",-0.068774,0.041375,0.08102,-0.069633,0.0036786
"M575.479T1456.772",0.061769,0.033956,-0.02741,-0.10821,0.032542
"M919.292T824.161",0.055843,-0.044966,-0.02364,-0.032124,0.074777
"M545.37T1372.761",-0.12259,-0.12642,-0.0089303,-0.042807,0.020722
"M1085.421T973.898",0.072258,-0.047716,0.15695,-0.077517,0.1488
"M1114.854T834.347",0.061122,-0.083651,0.0084067,-0.1795,0.059797
"M441.224T1179.269",-0.11728,-0.019587,0.083286,-0.049668,-0.029611
"M899.349T990.311",0.084656,-0.081079,0.066667,0.049359,-0.040021
"M659.418T1406.262",0.058438,0.055474,-0.056334,-0.062555,0.11876
"M841.471T1389.363",0.038907,-0.026967,0.01463,0.03518,-0.068818
"M575.479T1473.048",0.077099,0.034682,-0.019693,-0.085524,0.035548
"M575.481T1540.694",0.077286,0.03532,-0.020571,-0.084133,0.038798
"M331.187T1104.601",0.019181,0.01409,0.094184,-0.13067,-0.00015263
"M423.211T1338.363",-0.068208,0.073861,0.02167,-0.071432,-0.025909
"M886.353T1006.792",0.076841,-0.0938,0.06888,-0.048306,-0.056613
"M585.283T918.479",-0.033755,0.04445,0.028247,-0.056337,0.1499
"M956.379T959.199",0.086966,-0.095738,0.062174,-0.031702,0.019034
"M329.157T1608.526",0.05584,0.016779,-0.067738,0.069501,0.072323
"M351.108T857.905",-0.0073674,0.077509,-0.20715,0.043844,-0.014232
"M640.557T1608.472",0.063214,0.065045,0.084623,-0.070033,0.017924
"M423.212T1319.031",-0.070333,0.064149,0.026832,-0.061115,-0.034833
"M541.474T1573.977",0.10087,0.12961,0.041516,-0.12155,0.062826
"M629.459T1473.698",-0.012781,-0.043403,-0.18276,0.0061781,0.094324
"M847.517T1163.004",-0.12593,-0.087963,0.01894,0.030097,-0.067318
"M652.416T1356.524",-0.0040136,-0.029588,0.1244,-0.098047,0.025768
"M449.365T1540.699",0.012846,-0.071012,-0.036955,0.020656,0.10785
