"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M722.259T892.9",2.6841,2.6888,2.6862,2.686,2.6859
"M399.308T1262.042",2.1702,2.144,2.1424,2.1422,2.1422
"M443.333T1262.042",2.1642,2.1376,2.1364,2.1361,2.1361
"M807.348T918.929",2.148,2.1435,2.1416,2.1413,2.1413
"M479.188T913.185",2.13,2.1045,2.1025,2.1022,2.1022
"M722.581T1518.016",2.0552,2.0607,2.0587,2.0584,2.0584
"M609.455T1145.906",1.9514,1.9275,1.9256,1.9254,1.9253
"M619.438T1245.233",1.8727,1.8536,1.8519,1.8516,1.8516
"M722.58T1595.75",1.854,1.8581,1.8563,1.856,1.856
"M771.504T1195.638",1.8072,1.7903,1.7888,1.7885,1.7885
"M545.37T1372.761",1.725,1.7248,1.7231,1.7229,1.7229
"M847.517T1163.004",1.7241,1.7115,1.7098,1.7095,1.7095
"M576.533T1641.124",1.6814,1.6711,1.6695,1.6693,1.6693
"M341.283T1305.932",1.6557,1.6363,1.6347,1.6349,1.6349
"M537.533T1295.888",1.6479,1.6312,1.6297,1.6296,1.6296
"M561.396T1195.638",1.6374,1.6581,1.6566,1.6572,1.6572
"M523.36T1271.932",1.5947,1.5959,1.5944,1.5943,1.5943
"M542.478T1573.977",1.5874,1.6009,1.5994,1.5991,1.5991
"M832.307T992.353",1.5759,1.5865,1.5851,1.5848,1.5848
"M386.164T943.456",1.5667,1.5668,1.5654,1.5652,1.5652
"M441.224T1179.269",1.5424,1.5236,1.5224,1.5222,1.5222
"M808.52T1220.972",1.5252,1.5074,1.5059,1.5058,1.5058
"M504.265T1099.137",1.4908,1.4727,1.4719,1.472,1.472
"M813.332T1056.081",1.4683,1.4707,1.4704,1.4702,1.4702
"M820.327T1006.792",1.468,1.4631,1.4617,1.4615,1.4615
"M541.474T1573.977",1.4378,1.4439,1.4425,1.4425,1.4425
"M817.317T940.819",1.4212,1.4048,1.4073,1.4071,1.4071
"M787.545T1575.098",1.3512,1.3452,1.3444,1.3443,1.3443
"M556.445T1212.039",1.3193,1.3107,1.3124,1.3126,1.3126
"M392.284T1436.378",1.3094,1.2938,1.2928,1.2927,1.2926
"M475.412T1607.605",1.3015,1.3261,1.326,1.3258,1.3258
"M677.438T1339.916",1.2783,1.2712,1.27,1.27,1.2699
"M576.484T1557.453",1.27,1.2563,1.2553,1.2551,1.2551
"M951.603T1424.253",1.2671,1.2904,1.2892,1.2891,1.2891
"M772.55T1170.538",1.2417,1.241,1.2418,1.2418,1.2418
"M494.565T1319.161",1.241,1.226,1.2248,1.2249,1.2248
"M522.261T1109.944",1.2168,1.2019,1.2007,1.2005,1.2005
"M438.146T926.75",1.2122,1.2041,1.2029,1.2028,1.2028
"M374.303T1319.161",1.1908,1.1766,1.1781,1.178,1.178
"M828.538T1289.688",1.1608,1.1821,1.1811,1.1811,1.1811
"M467.383T1523.593",1.1369,1.1239,1.1242,1.1244,1.1244
"M576.484T1473.551",1.1219,1.1097,1.1086,1.1085,1.1085
"M617.489T1624.961",1.1217,1.1146,1.1152,1.1153,1.1153
"M691.433T1253.346",1.1169,1.1039,1.1029,1.1028,1.1028
"M869.334T919.017",1.1145,1.116,1.1155,1.1153,1.1153
"M629.509T1624.418",1.1143,1.1015,1.1052,1.1051,1.105
"M495.298T1036.333",1.0852,1.0783,1.0772,1.0774,1.0774
"M889.305T842.452",1.0729,1.0742,1.0732,1.0732,1.0731
"M956.379T959.199",1.0565,1.0586,1.0579,1.0577,1.0577
"M899.349T990.311",1.046,1.0419,1.042,1.0419,1.0419
"M764.518T1295.888",1.0414,1.0406,1.0408,1.0406,1.0406
"M471.313T1295.888",1.0413,1.0299,1.0336,1.0334,1.0334
"M575.481T1540.694",1.034,1.0226,1.0222,1.0221,1.0221
"M575.479T1473.048",1.031,1.0196,1.0191,1.0191,1.0191
"M764.517T1325.086",1.0301,1.0284,1.0283,1.0282,1.0282
"M494.565T1422.678",1.0099,0.99769,0.99671,0.99669,0.99668
"M821.505T1179.269",1.0013,0.99389,0.99302,0.99297,0.99297
"M564.208T942.149",0.97883,0.97353,0.9737,0.9736,0.9736
"M986.591T1195.638",0.9737,0.9629,0.9639,0.96381,0.96381
"M549.424T1473.203",0.96555,0.97866,0.97791,0.97776,0.97775
"M629.529T1601.79",0.96116,0.94946,0.95454,0.9544,0.95439
"M812.538T1253.346",0.96116,0.95186,0.95486,0.95476,0.95476
"M617.506T1594.034",0.94401,0.93759,0.94013,0.9402,0.94019
"M487.775T1256.694",0.94162,0.9599,0.96151,0.96138,0.96137
"M523.599T1382.768",0.93664,0.92541,0.92476,0.92466,0.92465
"M886.353T1006.792",0.92432,0.92999,0.92935,0.92931,0.92931
"M1085.421T973.898",0.92338,0.91327,0.91584,0.91574,0.91576
"M494.563T1509.9",0.90707,0.91554,0.91472,0.91477,0.91476
"M339.172T1490.329",0.90123,0.89321,0.89433,0.89419,0.89418
"M640.557T1608.472",0.89589,0.89792,0.89756,0.89755,0.89754
"M455.315T1295.888",0.8835,0.87332,0.87262,0.87272,0.87271
"M618.492T1624.789",0.88308,0.87299,0.87259,0.87292,0.87291
"M351.253T1019.694",0.87163,0.89426,0.89383,0.89381,0.89382
"M330.263T1492.022",0.87096,0.86306,0.86222,0.86208,0.86208
