"","sample","condition","sodium_formate","M285.134T1052.907","M569.292T994.771","M867.584T1358.969","M1123.351T817.469","M985.571T1146.934","M986.591T1195.638","M423.198T1506.423"
"1","D12.1","Drought",4036645.716,153462.067,94825.907,70727.559,99948.896,145460.725,88307.664,637786.87
"2","D12.2","Drought",3843867.149,292000,120000,74000,79100,97400,92900,637000
"3","D12.3","Drought",3845185.216,232329.913,129907.456,49353.927,53031.152,149300.626,123095.507,717697.444
"4","D12.4","Drought",4021607.908,151000,91600,32300,76700,155000,113000,621000
"5","F12.1","Fusarium",4043455.006,59500,39900,5040,48500,111000,78600,672000
"6","F12.2","Fusarium",3773975.074,95671.297,59084.648,21154.058,46274.717,112383.819,86026.052,665182.277
"7","F12.3","Fusarium",3345590.809,3603.0154,5226.939,7990.8268,25621.5242,15277.6498,0,524318.7379
"8","F12.4","Fusarium",3565069.568,128288.515,66932.652,0,37609.786,92054.447,86764.012,682051.171
"9","BLANK.2","Other",3680698.477,2482.1616,2515.551,6016.5501,22717.8872,11917.3594,7312.2013,566826.0527
"10","QC.1","Other",4066641.635,160927.1464,102229.2876,32248.8127,59455.6587,125480.2053,91905.4998,623271.4154
"11","QC.2","Other",3879395.65,191000,111000,20500,76400,129000,87000,658000
"12","QC.3","Other",4076296.312,153403.204,104590.73,24506.329,53650.729,128808.398,101335.693,659107.696
"13","C12.1","Control",3985225.417,10686.981,1421.487,18354.2891,12835.0605,1537.3531,6681.5984,593411.8484
"14","C12.3","Control",3922751.054,221176.579,116906.609,32761.048,41799.868,178876.252,148335.411,738161.86
"15","C12.4","Control",3861917.098,269413.681,125497.818,35158.164,65524.289,191828.13,172198.193,724434.323
"16","X12.1","Xanthomonas",3815932.471,212892.242,112297.945,32630.246,72981.005,115500.518,79847.172,565841.49
"17","X12.2","Xanthomonas",3878102.735,259981.006,149970.546,28642.034,66931.733,145428.538,107246.557,587766.044
"18","X12.3","Xanthomonas",3825451.14,304000,178000,24200,63900,125000,1e+05,618000
