"","Comp 1","Comp 2","Comp 3","Comp 4"
"M285.134T1052.907",-0.083713,-0.13867,0.075206,0.11203
"M569.292T994.771",-0.077085,-0.09917,0.068529,0.10355
"M867.584T1358.969",-0.12236,0.21294,0.23278,-0.10722
"M1123.351T817.469",-0.022632,-0.055813,0.099686,-0.14054
"M985.571T1146.934",-0.070379,-0.010393,0.03343,-0.026464
"M986.591T1195.638",-0.072196,-0.074108,0.041811,0.017489
"M423.198T1506.423",-0.014767,-0.05812,0.012114,0.070955
"M879.468T1338.726",0.077107,-0.098211,0.0028679,-0.15387
"M556.445T1212.039",-0.11537,-0.1601,0.13225,-0.15561
"M618.492T1624.789",0.079329,-0.112,0.01996,-0.0018356
"M393.189T1440.567",0.02595,-0.026519,-0.015276,0.087193
"M629.464T1456.367",0.057451,-0.035305,-0.041582,-0.019431
"M889.305T842.452",0.016477,-0.0085517,0.20229,-0.1295
"M513.307T1059.952",-0.092304,-0.10841,0.030986,0.11015
"M513.25T1338.968",0.046861,-0.043308,0.028811,-0.032204
"M630.465T1474.173",0.063759,-0.028141,-0.01672,-0.075558
"M329.158T1625.781",0.063199,0.078527,0.016495,0.068526
"M660.517T1423.005",0.083702,0.02809,0.03579,-0.10638
"M882.48T1339.403",0.0575,-0.10814,0.08371,-0.10634
"M564.208T942.149",0.067752,-0.067283,0.13395,-0.09813
"M343.224T1621.712",0.056768,-0.039224,0.016718,0.052997
"M609.455T1145.906",-0.14105,0.016382,0.01715,0.011989
"M771.504T1195.638",-0.12208,0.0012161,-0.068312,0.12826
"M828.538T1289.688",-0.079012,-0.10518,-0.058973,0.09246
"M523.36T1271.932",0.044851,0.23767,-0.11481,0.075435
"M351.253T1019.694",-0.09321,-0.11259,0.069856,0.12332
"M979.313T847.893",-0.020619,-0.016276,0.17883,-0.090058
"M691.436T1356.203",-0.015352,-0.082207,-0.062332,-0.024109
"M575.479T1456.772",0.068198,-0.018375,0.02039,-0.0062841
"M919.292T824.161",0.0051195,-0.02246,0.15676,-0.016563
"M545.37T1372.761",-0.096867,-0.12404,-0.0076689,-0.068
"M1085.421T973.898",0.081145,-0.048182,0.19818,-0.069623
"M1114.854T834.347",-0.047012,0.024708,0.14928,-0.21326
"M441.224T1179.269",-0.089877,-0.025352,0.015715,-0.050158
"M899.349T990.311",0.069231,-0.041104,0.073031,0.0085736
"M659.418T1406.262",0.058479,0.13041,0.042804,-0.12765
"M841.471T1389.363",0.068234,-0.062206,-0.04584,0.064411
"M575.479T1473.048",0.076699,-0.013947,0.015493,-0.0070542
"M575.481T1540.694",0.076769,-0.013212,0.014839,-0.0083037
"M331.187T1104.601",-0.06505,-0.026878,0.11445,0.0017265
"M423.211T1338.363",-0.052775,-0.060235,-0.042082,0.081549
"M886.353T1006.792",0.071437,-0.076279,0.070789,-0.025421
"M585.283T918.479",-0.084007,-0.044589,0.042216,-0.015751
"M956.379T959.199",0.064147,-0.081518,0.12973,-0.025496
"M329.157T1608.526",0.063523,-0.016666,0.036179,0.11022
"M351.108T857.905",-0.061646,-0.020179,-0.037145,0.17252
"M640.557T1608.472",0.071823,-0.05652,0.027505,0.052942
"M423.212T1319.031",-0.065882,-0.033033,0.0040396,0.075924
"M541.474T1573.977",0.11075,0.065069,0.064162,-0.021376
"M629.459T1473.698",0.055238,-0.025979,-0.06219,0.0062308
"M847.517T1163.004",-0.12725,-0.11636,-0.039657,0.04691
"M652.416T1356.524",0.05008,-0.056213,0.085674,-0.004728
"M449.365T1540.699",0.069785,-0.037729,-0.012096,-0.026823
"M537.533T1295.888",-0.1535,0.13714,0.045597,-0.13669
"M561.396T1195.638",-0.10446,-0.18973,0.1239,-0.24561
"M812.538T1253.346",-0.08285,-0.071464,0.0077598,-0.026843
"M495.298T1036.333",-0.091014,-0.13834,0.024953,0.14773
"M617.489T1624.961",0.093145,-0.092716,0.039191,0.016646
"M535.409T1440.116",0.085161,0.026383,0.08157,0.021934
"M433.152T909.874",0.044286,-0.059287,0.041363,-0.048362
"M817.317T940.819",0.089197,-0.033981,0.14241,-0.083843
"M438.146T926.75",0.070859,-0.060157,0.076538,0.006093
"M535.375T1490.352",0.071211,-0.070615,0.043432,-0.027316
"M808.52T1220.972",-0.10066,-0.0999,0.077872,0.044547
"M577.49T1591.335",0.073513,-0.0448,0.0036478,0.035928
"M813.332T1056.081",0.092532,-0.046379,0.18128,-0.14607
"M869.334T919.017",0.06858,-0.046653,0.095601,-0.13299
"M325.162T1642.868",0.051517,-0.041622,0.0065472,0.068625
"M449.347T1490.033",0.082213,-0.022682,-0.0055846,-0.0083579
"M374.303T1319.161",-0.10389,0.081774,0.082451,-0.087079
"M605.427T1212.039",-0.070309,0.042626,-0.036479,-0.11401
"M504.265T1099.137",-0.092724,-0.035909,-0.017172,-0.0096156
"M479.188T913.185",0.12623,0.022147,0.12369,-0.022982
"M291.195T1053.001",-0.067709,-0.11037,0.10696,0.093303
"M821.505T1179.269",-0.05218,-0.075749,-0.021172,0.078075
"M820.327T1006.792",0.084592,-0.023898,0.13702,-0.10979
"M682.262T843.183",-0.048856,0.048228,0.1302,0.069769
"M576.484T1473.551",0.080637,-0.032458,0.033592,-0.0061576
"M764.518T1295.888",-0.010701,-0.20905,0.058223,0.063855
"M471.313T1295.888",-0.07306,0.085923,-0.089722,0.040731
"M617.506T1594.034",0.084879,-0.10661,0.049388,-0.0076953
"M534.402T1422.678",0.073937,-0.10512,0.048063,-0.0069495
"M765.518T1313.696",-0.047027,-0.066275,0.017758,0.031549
"M415.326T1295.888",-0.05554,0.016413,0.10015,-0.005833
"M1102.351T817.469",-0.038639,-0.060649,0.15542,-0.00089538
"M549.424T1473.203",0.088143,-0.018555,0.087253,-0.0027435
