"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M722.259T892.9",2.1411,2.1455,2.145,2.145
"M537.533T1295.888",1.9435,1.9413,1.9408,1.9407
"M443.333T1262.042",1.9224,1.9118,1.9113,1.9112
"M399.308T1262.042",1.8755,1.8654,1.865,1.8649
"M609.455T1145.906",1.8346,1.8235,1.823,1.8229
"M847.517T1163.004",1.7211,1.7193,1.7188,1.7187
"M479.188T913.185",1.6714,1.6623,1.6622,1.6621
"M619.438T1245.233",1.6443,1.6349,1.6344,1.6343
"M771.504T1195.638",1.5967,1.5869,1.5864,1.5864
"M556.445T1212.039",1.5793,1.5842,1.5839,1.5839
"M951.603T1424.253",1.5791,1.5722,1.5718,1.5717
"M542.478T1573.977",1.5483,1.5501,1.5497,1.5496
"M576.533T1641.124",1.5142,1.5083,1.5079,1.5079
"M541.474T1573.977",1.4841,1.479,1.4786,1.4786
"M867.584T1358.969",1.4822,1.5163,1.5169,1.5169
"M561.396T1195.638",1.4551,1.4714,1.471,1.4713
"M772.55T1170.538",1.4375,1.4286,1.4283,1.4282
"M341.283T1305.932",1.4094,1.4035,1.4032,1.4032
"M808.52T1220.972",1.3551,1.3519,1.3518,1.3518
"M545.37T1372.761",1.3291,1.3346,1.3343,1.3342
"M374.303T1319.161",1.3158,1.3142,1.3139,1.3138
"M629.509T1624.418",1.289,1.2824,1.2821,1.2821
"M475.412T1607.605",1.2729,1.2698,1.2694,1.2695
"M351.253T1019.694",1.2612,1.26,1.2603,1.2603
"M629.529T1601.79",1.2584,1.2506,1.2504,1.2503
"M513.307T1059.952",1.2514,1.251,1.2509,1.2509
"M495.298T1036.333",1.2478,1.2525,1.2524,1.2525
"M504.265T1099.137",1.2315,1.2253,1.225,1.2249
"M576.484T1557.453",1.2271,1.2197,1.2194,1.2193
"M722.581T1518.016",1.2089,1.2079,1.2087,1.2087
"M813.332T1056.081",1.1983,1.1915,1.1917,1.1918
"M392.284T1436.378",1.1934,1.1867,1.1863,1.1863
