"","FC","log2(FC)","raw.pval","-log10(p)"
"M535.447T1540.43",2.3175,1.2125,8.4388e-05,4.0737
"M504.265T1099.137",0.38715,-1.369,0.00012249,3.9119
"M576.484T1557.453",2.5893,1.3725,0.00059135,3.2282
"M541.474T1573.977",4.0792,2.0283,0.0014347,2.8432
"M772.55T1170.538",0.2725,-1.8757,0.0019838,2.7025
"M609.455T1145.906",0.11954,-3.0644,0.0027656,2.5582
"M619.438T1245.233",0.18278,-2.4518,0.0038249,2.4174
"M535.409T1440.116",2.3104,1.2081,0.0045255,2.3443
"M951.603T1424.253",5.2274,2.3861,0.007139,2.1464
"M847.517T1163.004",0.15561,-2.684,0.0095653,2.0193
"M449.347T1490.033",2.0618,1.0439,0.011497,1.9394
"M808.52T1220.972",0.30136,-1.7304,0.013896,1.8571
"M467.383T1523.593",2.2811,1.1897,0.01696,1.7706
"M441.224T1179.269",0.40834,-1.2921,0.018471,1.7335
"M629.529T1601.79",2.8272,1.4994,0.018493,1.733
"M534.444T1557.26",2.1193,1.0836,0.022218,1.6533
"M629.509T1624.418",3.2339,1.6933,0.024211,1.616
"M628.514T1473.756",2.327,1.2184,0.026196,1.5818
"M828.538T1289.688",0.45416,-1.1387,0.029435,1.5311
"M585.283T918.479",0.45159,-1.1469,0.036973,1.4321
"M513.307T1059.952",0.35811,-1.4815,0.037067,1.431
"M669.531T1507.08",2.2668,1.1807,0.041394,1.3831
"M669.562T1624.559",2.0475,1.0339,0.041865,1.3781
"M522.261T1109.944",0.4581,-1.1263,0.042295,1.3737
"M537.533T1295.888",0.092778,-3.4301,0.044199,1.3546
"M374.303T1319.161",0.31754,-1.655,0.045988,1.3374
"M479.188T913.185",6.0197,2.5897,0.047123,1.3268
"M351.253T1019.694",0.34694,-1.5272,0.047171,1.3263
"M569.292T994.771",0.47404,-1.0769,0.049406,1.3062
"M285.134T1052.907",0.40192,-1.315,0.051404,1.289
"M481.362T1591.564",2.0108,1.0078,0.057264,1.2421
"M392.284T1436.378",0.39851,-1.3273,0.059868,1.2228
"M495.298T1036.333",0.35276,-1.5032,0.062449,1.2045
"M576.484T1473.551",2.0098,1.0071,0.068668,1.1632
"M812.538T1253.346",0.4493,-1.1542,0.068986,1.1612
"M617.489T1624.961",2.6066,1.3821,0.069963,1.1551
"M549.424T1473.203",2.3696,1.2447,0.076747,1.1149
"M628.528T1608.773",3.04,1.6041,0.079983,1.097
"M558.46T1591.049",2.3197,1.214,0.082501,1.0835
"M660.517T1423.005",2.2533,1.1721,0.083523,1.0782
"M576.533T1641.124",4.2199,2.0772,0.087355,1.0587
"M628.529T1624.373",3.0568,1.612,0.088013,1.0555
