"","C12.3","C12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Xanthomonas","Xanthomonas","Xanthomonas"
"M285.134T1052.907","-0.24462678"," 0.11776580","-0.26261243"," 0.04998731"," 0.33948609"
"M569.292T994.771","-0.2327066","-0.1036053","-0.2515203"," 0.1559159"," 0.4319163"
"M867.584T1358.969"," 0.1008780"," 0.2504678"," 0.1418237","-0.1123078","-0.3808617"
"M1123.351T817.469","-0.54725249"," 0.09497307"," 0.26032330"," 0.11854171"," 0.07341441"
"M985.571T1146.934"," 0.2444635"," 0.3670179","-0.3427102","-0.0357370","-0.2330342"
"M986.591T1195.638"," 0.2658559"," 0.4633839","-0.4434095","-0.1091807","-0.1766496"
"M423.198T1506.423"," 0.2378148"," 0.2316923","-0.2263389","-0.1837617","-0.0594065"
"M879.468T1338.726","-0.6928339"," 0.2146597"," 0.1267342"," 0.1155851"," 0.2358548"
"M556.445T1212.039","-0.06980314"," 1.08059546","-0.25521085","-0.48934967","-0.26623179"
"M618.492T1624.789","-0.59468623","-0.09214131"," 0.36679119"," 0.05010974"," 0.26992660"
"M393.189T1440.567","-0.12423810","-0.27194984"," 0.06107686"," 0.08959355"," 0.24551754"
"M629.464T1456.367","-0.28818433","-0.14809546"," 0.33937163","-0.06182112"," 0.15872928"
"M889.305T842.452","-0.66418521"," 0.08680927"," 0.23439545"," 0.17726983"," 0.16571065"
"M513.307T1059.952"," 0.06274613"," 0.06380013","-0.37844381"," 0.36988921","-0.11799165"
"M513.25T1338.968","-0.4549987","-0.2109453"," 0.2011935"," 0.2871634"," 0.1775871"
"M630.465T1474.173","-0.42318293","-0.09590708"," 0.37901097","-0.08058711"," 0.22066616"
"M329.158T1625.781","-0.1878206","-0.5094150"," 0.2108040"," 0.3135497"," 0.1728819"
"M660.517T1423.005","-0.47974441","-0.09105355"," 0.63555252","-0.05119517","-0.01355938"
"M882.48T1339.403","-0.57315276"," 0.29658246"," 0.09880517","-0.10861940"," 0.28638453"
"M564.208T942.149","-0.76493340","-0.01034928"," 0.23258719"," 0.31868368"," 0.22401181"
"M343.224T1621.712","-0.29067395","-0.21825807"," 0.06129049"," 0.19087501"," 0.25676652"
"M609.455T1145.906"," 0.8089678"," 0.6310349","-0.4065810","-0.3494205","-0.6840013"
"M771.504T1195.638"," 0.9337264"," 0.3359386","-0.6589333","-0.2591222","-0.3516094"
"M828.538T1289.688"," 0.5609544"," 0.4256153","-0.3431928","-0.1998083","-0.4435686"
"M523.36T1271.932"," 0.1912804","-0.8495323"," 0.1392548"," 0.0485758"," 0.4704213"
"M351.253T1019.694"," 0.01945325"," 0.12436937","-0.45568751"," 0.35385851","-0.04199363"
"M979.313T847.893","-0.4834779"," 0.1407332"," 0.2870451"," 0.1830035","-0.1273040"
"M691.436T1356.203"," 0.07731760"," 0.23629198","-0.17908027"," 0.03105622","-0.16558552"
"M575.479T1456.772","-0.3607837","-0.1873124"," 0.4868227","-0.1427344"," 0.2040078"
"M919.292T824.161","-0.4484715","-0.1097434"," 0.2477561"," 0.2829506"," 0.0275082"
"M545.37T1372.761"," 0.3575329"," 0.7739295","-0.2345195","-0.4234782","-0.4734647"
"M1085.421T973.898","-0.8679396","-0.0720294"," 0.3703005"," 0.3178868"," 0.2517817"
"M1114.854T834.347","-0.63247564"," 0.22418936"," 0.09114398"," 0.36754235","-0.05040006"
"M441.224T1179.269"," 0.4397663"," 0.5883010","-0.3709425","-0.2863196","-0.3708051"
"M899.349T990.311","-0.50122580","-0.16601785"," 0.09461344"," 0.32925534"," 0.24337488"
"M659.418T1406.262","-0.4969875","-0.3954144"," 0.4011490"," 0.1378284"," 0.3534244"
"M841.471T1389.363","-0.29791993","-0.32698374"," 0.30582810","-0.02582821"," 0.34490378"
"M575.479T1473.048","-0.42082206","-0.25607916"," 0.50335427","-0.05631718"," 0.22986413"
"M575.481T1540.694","-0.4228126","-0.2586721"," 0.4984233","-0.0588671"," 0.2419284"
"M331.187T1104.601","-0.09915949"," 0.30942426","-0.26571403"," 0.13559041","-0.08014115"
"M423.211T1338.363"," 0.4413129"," 0.2896561","-0.1790129","-0.4460795","-0.1058766"
"M886.353T1006.792","-0.5631234"," 0.0379601"," 0.1242365"," 0.1747635"," 0.2261632"
"M585.283T918.479"," 0.163618209"," 0.379217944","-0.581855595"," 0.031424894"," 0.007594548"
"M956.379T959.199","-0.59890127"," 0.10609345"," 0.13651387"," 0.04076354"," 0.31553040"
"M329.157T1608.526","-0.2893721","-0.4066404"," 0.1236769"," 0.3460481"," 0.2262875"
"M351.108T857.905"," 0.60139076"," 0.05349421","-0.43373332","-0.14741730","-0.07373435"
"M640.557T1608.472","-0.35292913","-0.17352553"," 0.46047842"," 0.00570047"," 0.06027576"
"M423.212T1319.031"," 0.47392348"," 0.33664084","-0.31695943","-0.43307166","-0.06053323"
"M541.474T1573.977","-0.6012456","-0.4829447"," 0.4886905"," 0.2910470"," 0.3044527"
"M629.459T1473.698","-0.1872804","-0.2129234"," 0.3402952","-0.1129190"," 0.1728277"
"M847.517T1163.004"," 0.64101732"," 0.65184492","-0.74739411","-0.49331417","-0.05215396"
"M652.416T1356.524","-0.35797486"," 0.07623238","-0.18362252"," 0.16964631"," 0.29571868"
"M449.365T1540.699","-0.34359356"," 0.00480618"," 0.03414227"," 0.03529695"," 0.26934816"
"M537.533T1295.888"," 0.7700607"," 0.6776825","-0.7232747","-0.2709204","-0.4535481"
"M561.396T1195.638","-0.1144306"," 1.2471620","-0.2944151","-0.4595109","-0.3788055"
"M812.538T1253.346"," 0.2495105"," 0.5025102","-0.2022568","-0.1642435","-0.3855204"
"M495.298T1036.333"," 0.5425918"," 0.5171411","-0.2680300","-0.1476469","-0.6440560"
"M617.489T1624.961","-0.6247029","-0.1553631"," 0.3446614"," 0.1094843"," 0.3259203"
"M535.409T1440.116","-0.4687826","-0.3357057"," 0.3072766"," 0.3611402"," 0.1360715"
"M433.152T909.874","-0.44145580","-0.05911582"," 0.02294407"," 0.18006654"," 0.29756101"
"M817.317T940.819","-0.8443686","-0.1895042"," 0.3862739"," 0.4577430"," 0.1898559"
"M438.146T926.75","-0.46788659","-0.05497459","-0.04101358"," 0.05059918"," 0.51327558"
"M535.375T1490.352","-0.55382393","-0.07711127"," 0.25532026"," 0.27003777"," 0.10557717"
"M808.52T1220.972"," 0.4048667"," 0.6436971","-0.7314220","-0.1700494","-0.1470923"
"M577.49T1591.335","-0.39452547","-0.26878729"," 0.27315674"," 0.06171338"," 0.32844263"
"M813.332T1056.081","-0.95255905"," 0.07319264"," 0.22024617"," 0.29526143"," 0.36385881"
"M869.334T919.017","-0.68149426"," 0.12488348"," 0.22857994"," 0.09954339"," 0.22848746"
"M325.162T1642.868","-0.28448992","-0.28544453","-0.03385465"," 0.22062433"," 0.38316476"
"M449.347T1490.033","-0.3398249","-0.1409191"," 0.3697685","-0.1705810"," 0.2815564"
"M374.303T1319.161"," 0.49322454"," 0.56846470","-0.52401406"," 0.02760507","-0.56528025"
"M605.427T1212.039"," 0.13199070"," 0.21441765","-0.06842541","-0.02936846","-0.24861448"
"M504.265T1099.137"," 0.48013324"," 0.48752640","-0.47011441","-0.02209304","-0.47545219"
"M479.188T913.185","-0.9040247","-0.5598040"," 0.4494378"," 0.7455605"," 0.2688304"
"M291.195T1053.001"," 0.12835403"," 0.44043804","-0.42286593","-0.02118045","-0.12474569"
"M821.505T1179.269"," 0.39058784"," 0.32265957","-0.47485795","-0.22298331","-0.01540615"
"M820.327T1006.792","-0.76181074"," 0.03251332"," 0.33227403"," 0.28106558"," 0.11595781"
"M682.262T843.183"," 0.35375618"," 0.24728087","-0.20749199","-0.06592019","-0.32762487"
"M576.484T1473.551","-0.51240660","-0.26076275"," 0.55019300"," 0.06708282"," 0.15589354"
"M764.518T1295.888"," 0.1548366"," 0.6419692","-0.2723691","-0.2559889","-0.2684477"
"M471.313T1295.888"," 0.66304442"," 0.06983175","-0.03185026","-0.25564990","-0.44537602"
"M617.506T1594.034","-0.624231354","-0.030064552"," 0.397584418"," 0.007591098"," 0.249120390"
"M534.402T1422.678","-0.55155461","-0.02346264"," 0.49856232","-0.03843090"," 0.11488583"
"M765.518T1313.696"," 0.2726976"," 0.3611595","-0.3075997","-0.1684546","-0.1578027"
"M415.326T1295.888"," 0.3310967"," 0.4398634","-0.1973285","-0.1876241","-0.3860074"
"M1102.351T817.469","-0.37541007"," 0.16035958"," 0.06755433"," 0.30343532","-0.15593916"
"M549.424T1473.203","-0.52933068","-0.13146091"," 0.46895320"," 0.03303448"," 0.15880390"
"M787.545T1575.098","-0.2284130","-0.8339118"," 0.1029802"," 0.1313038"," 0.8280408"
"M567.43T1421.35","-0.3852640","-0.1282195"," 0.1429237"," 0.1861871"," 0.1843728"
"M764.517T1325.086"," 0.2942807"," 0.4872282","-0.3394063","-0.2112839","-0.2308186"
"M487.775T1256.694","-0.3223799","-0.3963120"," 0.2040411"," 0.2936570"," 0.2209938"
"M677.438T1339.916","-0.58566888","-0.33083196"," 0.52326627"," 0.03622084"," 0.35701373"
"M832.307T992.353","-0.8299527"," 0.1840045"," 0.2676408"," 0.1335982"," 0.2447093"
"M455.315T1295.888"," 0.4840072"," 0.1868755","-0.1408055","-0.2249781","-0.3050991"
"M297.239T1626.197","-0.09899021","-0.42598832"," 0.30795099"," 0.03801672"," 0.17901083"
"M425.216T1401.37"," 0.17547698"," 0.28787087","-0.31567426","-0.10341304","-0.04426055"
"M430.319T1557.453","-0.25751425","-0.24217681"," 0.13277644"," 0.05495731"," 0.31195732"
"M392.284T1436.378"," 0.6243961"," 0.3761354","-0.2915959","-0.2792184","-0.4297171"
"M386.164T943.456","-0.403434751"," 0.004807185","-0.006860187"," 0.336000976"," 0.069486777"
"M635.491T1472.841","-0.2405936","-0.1374290"," 0.1980406","-0.1273117"," 0.3072938"
"M399.308T1262.042"," 1.1504760"," 0.4707902","-0.5387254","-0.5072863","-0.5752545"
"M578.503T1590.788","-0.3050871","-0.1437946"," 0.1178964","-0.1444163"," 0.4754017"
"M549.428T1523.962","-0.4948213","-0.2174384"," 0.4160455"," 0.1055053"," 0.1907089"
"M807.348T918.929","-0.73241435"," 0.03511293","-0.23089241"," 0.85301871"," 0.07517511"
"M542.478T1573.977","-0.3251514","-0.8223735"," 0.3738125"," 0.3534135"," 0.4202989"
"M522.261T1109.944"," 0.29610435"," 0.47373514","-0.63313842","-0.21822458"," 0.08152352"
"M425.215T1355.365"," 0.21099376"," 0.17000519","-0.23335875","-0.07141166","-0.07622854"
"M605.427T1490.314","-0.46230484","-0.15941297"," 0.42203850"," 0.09360935"," 0.10606996"
"M475.412T1607.605","-0.1526052","-0.8551711"," 0.2004603"," 0.3479936"," 0.4593225"
"M330.263T1492.022"," 0.2439320"," 0.2884747","-0.1015458","-0.1999999","-0.2308610"
"M629.463T1474.173","-0.29806191","-0.19311780"," 0.31879648","-0.09720951"," 0.26959274"
"M722.259T892.9"," 0.3254657"," 1.4787030","-0.6186542","-0.6341378","-0.5513767"
"M737.493T1439.78","-0.48274286","-0.13320733"," 0.26834399"," 0.27715888"," 0.07044732"
"M523.599T1382.768"," 0.3685312"," 0.3795337","-0.4813327","-0.2162953","-0.0504370"
"M549.431T1507.08","-0.4172641","-0.3085694"," 0.4263062"," 0.1058245"," 0.1937029"
"M351.179T1358.969"," 0.12514605"," 0.30667551","-0.07594664","-0.13098347","-0.22489144"
"M330.262T1456.934"," 0.19823432"," 0.26817618"," 0.01765387","-0.10068502","-0.38337935"
"M576.484T1557.453","-0.47011797","-0.40778024"," 0.51281868","-0.02192147"," 0.38700100"
"M467.383T1523.593","-0.43258848","-0.21125577"," 0.63599790"," 0.02276371","-0.01491737"
"M951.603T1424.253","-0.8160077","-0.6237068"," 0.5506178"," 0.2978300"," 0.5912667"
"M477.403T1542.988","-0.423903752","-0.005346227"," 0.385762668","-0.025327642"," 0.068814953"
"M477.407T1590.788","-0.42857622","-0.04573680"," 0.36799502"," 0.06895826"," 0.03735974"
"M549.426T1489.95","-0.51596258","-0.17828107"," 0.51119702"," 0.04642802"," 0.13661860"
"M471.336T1557.26","-0.47105993","-0.13133215"," 0.51347532"," 0.07598647"," 0.01293030"
"M330.263T1439.913"," 0.22001675"," 0.27217543","-0.02657498","-0.09913291","-0.36648429"
"M629.529T1601.79","-0.31202477","-0.57215647"," 0.49340625"," 0.01349334"," 0.37728165"
"M449.369T1557.545","-0.40167772","-0.05613511"," 0.36571796","-0.26271857"," 0.35481344"
"M576.533T1641.124","-0.4616486","-0.7847319"," 0.5115239"," 0.2940585"," 0.4407981"
"M619.438T1245.233"," 0.6055412"," 0.7226630","-0.2519347","-0.6093648","-0.4669048"
"M652.503T1490.314","-0.1341552","-0.3702378"," 0.4780597","-0.2649143"," 0.2912476"
"M313.161T1621.4","-0.1400852","-0.4535727"," 0.3104587"," 0.1301027"," 0.1530965"
"M295.151T1624.873","-0.26458812","-0.12878402"," 0.02615182"," 0.13083079"," 0.23638953"
"M772.55T1170.538"," 0.51067504"," 0.45813553","-0.77585772","-0.15033295","-0.04261989"
"M494.565T1319.161"," 0.46858987"," 0.07886479"," 0.07737766","-0.52268512","-0.10214719"
"M423.321T1473.286","-0.18948400","-0.04469490"," 0.45025049","-0.26493930"," 0.04886771"
"M722.581T1518.016"," 0.9930226"," 0.4152312","-0.9821904","-0.1775737","-0.2484897"
"M535.447T1540.43","-0.28005363","-0.25983828"," 0.41200716","-0.09996028"," 0.22784502"
"M477.398T1574.327","-0.422611071","-0.005841447"," 0.385871912","-0.025853744"," 0.068434350"
"M691.433T1253.346"," 0.2347753"," 0.3486184","-0.1837928","-0.2220486","-0.1775523"
"M605.416T1473.993","-0.36146928","-0.20719547"," 0.61311221","-0.01255432","-0.03189313"
"M465.26T1373.143"," 0.4772565"," 0.1759802","-0.2516832"," 0.0680317","-0.4695852"
"M341.283T1305.932"," 1.0063704"," 0.2241304","-0.3742924","-0.3847156","-0.4714928"
"M330.261T1473.013"," 0.16110144"," 0.22765420"," 0.06590189","-0.05868923","-0.39596830"
"M533.435T1510.689","-0.58216553","-0.20239308"," 0.46167029"," 0.03327568"," 0.28961265"
"M471.796T1446.028"," 0.30728804"," 0.35190159","-0.16457728","-0.07811566","-0.41649669"
"M339.172T1490.329","-0.3143163","-0.5375504"," 0.1518871"," 0.4482581"," 0.2517214"
"M558.46T1591.049","-0.11059236","-0.50689280"," 0.41988732","-0.03686102"," 0.23445886"
"M516.434T1624.418","-0.03305677","-0.64195374"," 0.07543688"," 0.43553115"," 0.16404248"
"M722.58T1595.75"," 0.93947567"," 0.17718236","-0.70521762","-0.06979709","-0.34164332"
"M477.343T1423.013"," 0.01987058"," 0.17128602","-0.06179062"," 0.09774909","-0.22711508"
"M332.328T1440.13"," 0.126135776"," 0.393802522","-0.215964032"," 0.007184031","-0.311158297"
"M494.563T1509.9","-0.24562953","-0.55647976"," 0.45308846"," 0.02118876"," 0.32783208"
"M481.362T1591.564","-0.07020116","-0.47839376"," 0.36026638"," 0.20004819","-0.01171966"
"M443.333T1262.042"," 1.1349581"," 0.5069071","-0.4909203","-0.5259229","-0.6250220"
"M510.367T1523.593","-0.20047508","-0.16453951"," 0.26076690","-0.02410577"," 0.12835345"
"M545.456T1607.833","-0.25763947","-0.32557965"," 0.03797055","-0.04613387"," 0.59138244"
"M669.539T1543.447","-0.45225830"," 0.01381691"," 0.17373716"," 0.06178334"," 0.20292089"
"M669.531T1507.08","-0.47962294","-0.06948144"," 0.27271002","-0.02945736"," 0.30585172"
"M629.509T1624.418","-0.31447234","-0.61653950"," 0.35671952"," 0.03516329"," 0.53912902"
"M383.284T1439.726"," 0.4644920"," 0.2119033","-0.2235976","-0.2085945","-0.2442033"
"M589.501T1621.712","-0.19788862","-0.47795125","-0.01396727"," 0.04964390"," 0.64016323"
"M534.444T1557.26","-0.32102449","-0.40169642"," 0.38631842"," 0.07201157"," 0.26439092"
"M494.565T1422.678"," 0.31809550","-0.01001907"," 0.17316721","-0.44812868","-0.03311495"
"M516.411T1568.021","-0.10159892","-0.30885480"," 0.06286636"," 0.23896376"," 0.10862360"
"M492.408T1557.26","-0.26539667","-0.20222657"," 0.10889295"," 0.08580547"," 0.27292481"
"M533.436T1590.96","-0.44592557"," 0.09120646"," 0.13773344"," 0.41329663","-0.19631095"
"M628.514T1473.756","-0.56022960","-0.31465165"," 0.42737927"," 0.06592729"," 0.38157470"
"M628.529T1624.373","-0.12906031","-0.46339438"," 0.24538761","-0.06399667"," 0.41106375"
"M609.518T1624.418"," 0.04642784","-0.54542989"," 0.23031808"," 0.01337198"," 0.25531199"
"M465.265T1237.073"," 0.191079238"," 0.341965870","-0.009184026","-0.278964268","-0.244896814"
"M669.562T1624.559","-0.341722612","-0.179043836"," 0.227350270"," 0.002789737"," 0.290626441"
"M628.528T1608.773","-0.05438048","-0.55253626"," 0.25565007","-0.09571354"," 0.44698021"
