"","Comp 1","Comp 2","Comp 3","Comp 4"
"M285.134T1052.907",0.012715,-0.003855,0.05813,-0.18581
"M569.292T994.771",0.030992,0.05608,0.040598,-0.18462
"M867.584T1358.969",-0.03206,-0.07833,0.013024,0.12684
"M1123.351T817.469",0.050546,-0.10304,0.083847,-0.00033276
"M985.571T1146.934",-0.063339,-0.0025966,0.058611,-0.020586
"M986.591T1195.638",-0.074489,-0.014678,0.058059,-0.072682
"M423.198T1506.423",-0.046801,-0.012434,-0.014762,-0.04936
"M879.468T1338.726",0.05404,-0.12354,0.11924,-0.10025
"M556.445T1212.039",-0.089827,-0.25918,0.097191,-0.10638
"M618.492T1624.789",0.075207,-0.094364,0.025104,-0.030647
"M393.189T1440.567",0.038444,0.04607,-0.025723,-0.0414
"M629.464T1456.367",0.04868,-0.060325,-0.037381,0.014221
"M889.305T842.452",0.06297,-0.10212,0.10653,-0.037297
"M513.307T1059.952",-0.020935,0.10051,0.12297,-0.01967
"M513.25T1338.968",0.06672,0.0023215,0.062625,-0.0010957
"M630.465T1474.173",0.058928,-0.094322,-0.024152,-0.011025
"M329.158T1625.781",0.065759,0.095511,-0.0098111,0.047193
"M660.517T1423.005",0.066059,-0.13704,-0.014813,0.11662
"M882.48T1339.403",0.036297,-0.15317,0.064815,-0.13834
"M564.208T942.149",0.081076,-0.073618,0.13289,-0.043472
"M343.224T1621.712",0.049948,0.030313,0.025205,-0.052564
"M609.455T1145.906",-0.14559,-0.028947,-0.0088227,0.09663
"M771.504T1195.638",-0.13426,0.097053,-0.049726,-0.022588
"M828.538T1289.688",-0.10088,-0.0025198,0.0045509,0.048181
"M523.36T1271.932",0.060196,0.18345,-0.18152,-0.027974
"M351.253T1019.694",-0.022324,0.092957,0.13498,-0.069544
"M979.313T847.893",0.038558,-0.10139,0.10825,0.073338
"M691.436T1356.203",-0.032566,-0.0095225,0.057661,-0.00036802
"M575.479T1456.772",0.062516,-0.093295,-0.067103,0.024982
"M919.292T824.161",0.05681,-0.025909,0.082064,0.047497
"M545.37T1372.761",-0.10786,-0.14359,0.024778,0.021654
"M1085.421T973.898",0.09912,-0.093063,0.12362,-0.023383
"M1114.854T834.347",0.042717,-0.080306,0.19153,0.0034847
"M441.224T1179.269",-0.10213,-0.05675,0.021898,-0.0088786
"M899.349T990.311",0.066086,0.0099276,0.088783,-0.048689
"M659.418T1406.262",0.092385,-0.014059,-0.020749,-0.010408
"M841.471T1389.363",0.06595,-0.013973,-0.064231,-0.03398
"M575.479T1473.048",0.074435,-0.076463,-0.053356,0.029032
"M575.481T1540.694",0.074897,-0.07571,-0.054466,0.02408
"M331.187T1104.601",-0.022499,-0.016622,0.11554,-0.05584
"M423.211T1338.363",-0.070264,-0.044682,-0.091491,-0.036029
"M886.353T1006.792",0.055874,-0.064409,0.090853,-0.069857
"M585.283T918.479",-0.058444,0.031884,0.088987,-0.14947
"M956.379T959.199",0.0553,-0.10211,0.068428,-0.11332
"M329.157T1608.526",0.065916,0.0808,0.028992,-0.0014938
"M351.108T857.905",-0.071362,0.10064,-0.061172,-0.048966
"M640.557T1608.472",0.058034,-0.071681,-0.021034,0.074645
"M423.212T1319.031",-0.079456,-0.028061,-0.077616,-0.081393
"M541.474T1573.977",0.11044,-0.00015497,0.01005,0.036393
"M629.459T1473.698",0.044628,-0.042812,-0.072197,0.018213
"M847.517T1163.004",-0.12978,-0.017824,-0.031397,-0.1991
"M652.416T1356.524",0.027812,-0.0036767,0.089694,-0.14955
"M449.365T1540.699",0.036552,-0.038458,0.031322,-0.096631
"M537.533T1295.888",-0.14924,0.016258,0.03084,-0.045463
"M561.396T1195.638",-0.10151,-0.28888,0.14483,-0.094647
"M812.538T1253.346",-0.073873,-0.069047,0.047988,0.03697
"M495.298T1036.333",-0.10777,-0.028353,0.039403,0.12227
"M617.489T1624.961",0.083449,-0.073089,0.030926,-0.045072
"M535.409T1440.116",0.07977,0.020408,0.05671,0.050488
"M433.152T909.874",0.051073,-0.014719,0.065743,-0.097859
"M817.317T940.819",0.10582,-0.049916,0.13749,0.021565
"M438.146T926.75",0.054935,-0.025667,0.031429,-0.19113
"M535.375T1490.352",0.06538,-0.046915,0.091485,0.014195
"M808.52T1220.972",-0.10791,-0.0012155,0.074813,-0.15611
"M577.49T1591.335",0.06941,-0.019933,-0.020036,-0.040609
"M813.332T1056.081",0.093742,-0.11244,0.15536,-0.1109
"M869.334T919.017",0.062306,-0.12132,0.093193,-0.068419
"M325.162T1642.868",0.05453,0.063637,0.020426,-0.10457
"M449.347T1490.033",0.055382,-0.086413,-0.064848,-0.029644
"M374.303T1319.161",-0.11167,0.018176,0.108,0.047126
"M605.427T1212.039",-0.034742,-0.024101,0.030551,0.050705
"M504.265T1099.137",-0.10146,0.018862,0.076182,0.033191
"M479.188T913.185",0.14377,0.049541,0.14448,0.06018
