"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M722.259T892.9",2.4099,2.4265,2.4242,2.4241
"M443.333T1262.042",2.1931,2.1659,2.1638,2.1637
"M399.308T1262.042",2.1656,2.1387,2.1368,2.1367
"M479.188T913.185",1.9553,1.9419,1.9422,1.942
"M537.533T1295.888",1.9338,1.9104,1.9078,1.9077
"M609.455T1145.906",1.9234,1.9003,1.8977,1.8976
"M951.603T1424.253",1.9231,1.8992,1.8966,1.8965
"M722.581T1518.016",1.881,1.8791,1.8766,1.8766
"M619.438T1245.233",1.7741,1.7771,1.775,1.7749
"M847.517T1163.004",1.7269,1.7074,1.7057,1.7058
"M771.504T1195.638",1.6959,1.6828,1.6809,1.6808
"M576.533T1641.124",1.6648,1.6482,1.6464,1.6463
"M341.283T1305.932",1.6436,1.6247,1.624,1.6239
"M542.478T1573.977",1.5328,1.5301,1.5285,1.5284
"M561.396T1195.638",1.513,1.5782,1.5784,1.5784
"M545.37T1372.761",1.5113,1.5178,1.5159,1.5158
"M722.58T1595.75",1.4915,1.5063,1.5044,1.5043
"M541.474T1573.977",1.4482,1.4302,1.4283,1.4282
"M787.545T1575.098",1.419,1.4163,1.4185,1.4186
"M374.303T1319.161",1.4181,1.4052,1.4056,1.4055
"M495.298T1036.333",1.4155,1.398,1.3967,1.3968
"M808.52T1220.972",1.4006,1.3835,1.382,1.3821
"M817.317T940.819",1.381,1.3638,1.3654,1.3653
"M441.224T1179.269",1.3732,1.3601,1.3583,1.3582
"M556.445T1212.039",1.3501,1.4172,1.4163,1.4163
"M475.412T1607.605",1.3461,1.3658,1.365,1.3649
"M392.284T1436.378",1.3364,1.32,1.3183,1.3183
"M828.538T1289.688",1.3178,1.3014,1.2997,1.2996
"M772.55T1170.538",1.2941,1.2839,1.2821,1.2823
"M504.265T1099.137",1.2925,1.2799,1.2794,1.2793
"M1085.421T973.898",1.2555,1.2449,1.2459,1.2458
"M629.509T1624.418",1.2436,1.2282,1.2292,1.2291
"M677.438T1339.916",1.2242,1.2202,1.2187,1.2186
"M659.418T1406.262",1.192,1.178,1.1765,1.1764
"M629.529T1601.79",1.181,1.1672,1.1677,1.1677
"M813.332T1056.081",1.1746,1.1684,1.1705,1.1705
"M576.484T1557.453",1.1726,1.1672,1.1667,1.1666
"M628.514T1473.756",1.1686,1.1606,1.1592,1.1591
"M339.172T1490.329",1.1379,1.1531,1.1518,1.1517
"M423.212T1319.031",1.0827,1.0759,1.0763,1.0763
"M535.409T1440.116",1.0746,1.0647,1.0642,1.0641
"M494.563T1509.9",1.0714,1.0583,1.059,1.0589
"M764.518T1295.888",1.0643,1.0684,1.0675,1.0674
"M533.435T1510.689",1.0479,1.051,1.0495,1.0495
"M764.517T1325.086",1.0439,1.034,1.0327,1.0326
"M617.489T1624.961",1.0419,1.0378,1.0365,1.0365
"M564.208T942.149",1.0356,1.0249,1.0271,1.027
"M576.484T1473.551",1.0327,1.032,1.0306,1.0306
"M415.326T1295.888",1.0298,1.0204,1.0193,1.0192
"M522.261T1109.944",1.0283,1.0155,1.0141,1.0146
"M812.538T1253.346",1.0045,0.99758,0.99691,0.99686
"M523.599T1382.768",0.9992,0.98679,0.98551,0.98561
"M471.313T1295.888",0.97891,0.96679,0.96671,0.96693
"M423.211T1338.363",0.97637,0.97701,0.97797,0.97791
"M820.327T1006.792",0.97413,0.9699,0.97267,0.9726
"M986.591T1195.638",0.97406,0.96196,0.96114,0.96114
"M549.431T1507.08",0.96951,0.96014,0.95885,0.9588
"M534.444T1557.26",0.96535,0.95391,0.95317,0.95311
"M487.775T1256.694",0.95997,0.95654,0.95532,0.95525
"M821.505T1179.269",0.9527,0.94097,0.93997,0.94009
"M549.428T1523.962",0.95138,0.946,0.94475,0.94469
"M807.348T918.929",0.9314,0.97514,0.994,0.99397
"M329.158T1625.781",0.93131,0.94026,0.93898,0.93894
"M329.157T1608.526",0.92968,0.93663,0.93556,0.93549
"M549.426T1489.95",0.92731,0.93339,0.93213,0.93211
"M618.492T1624.789",0.91741,0.92387,0.9227,0.92265
"M575.481T1540.694",0.91027,0.91865,0.91804,0.91798
"M575.479T1473.048",0.90415,0.91278,0.91213,0.91207
"M383.284T1439.726",0.90347,0.89225,0.89136,0.89131
"M589.501T1621.712",0.90273,0.89808,0.89982,0.90016
"M516.434T1624.418",0.90162,0.96147,0.96016,0.96012
"M455.315T1295.888",0.89611,0.88515,0.88439,0.88438
"M899.349T990.311",0.89125,0.88329,0.88377,0.88374
"M513.25T1338.968",0.88951,0.8797,0.87953,0.87947
"M577.49T1591.335",0.886,0.877,0.876,0.87596
"M549.424T1473.203",0.88263,0.89242,0.89124,0.89119
"M471.796T1446.028",0.88049,0.86976,0.86926,0.86929
"M523.36T1271.932",0.87924,0.90413,0.91183,0.91177
"M351.108T857.905",0.87474,0.87855,0.87865,0.87862
"M617.506T1594.034",0.87395,0.8941,0.89301,0.89296
"M465.26T1373.143",0.87254,0.87697,0.87652,0.87664
"M832.307T992.353",0.8628,0.88434,0.88634,0.88636
"M467.383T1523.593",0.85999,0.87205,0.87086,0.87107
"M765.518T1313.696",0.84665,0.837,0.83587,0.83584
"M535.375T1490.352",0.84275,0.83295,0.83429,0.83423
"M841.471T1389.363",0.83469,0.82781,0.82807,0.82803
"M605.427T1490.314",0.83044,0.82968,0.82871,0.82869
"M558.46T1591.049",0.82478,0.81485,0.81716,0.81714
"M737.493T1439.78",0.82273,0.81252,0.81343,0.81339
"M985.571T1146.934",0.81677,0.80723,0.807,0.80695
"M628.528T1608.773",0.81067,0.80074,0.80664,0.80661
"M471.336T1557.26",0.80462,0.81216,0.81135,0.81143
"M682.262T843.183",0.80281,0.79367,0.79278,0.79276
"M313.161T1621.4",0.79296,0.78636,0.78588,0.78588
"M628.529T1624.373",0.79135,0.78154,0.78494,0.78492
"M691.433T1253.346",0.77925,0.77645,0.7754,0.77535
"M545.456T1607.833",0.77902,0.76937,0.77127,0.77168
"M889.305T842.452",0.77121,0.77492,0.77686,0.77683
"M534.402T1422.678",0.76806,0.80474,0.80372,0.80368
"M660.517T1423.005",0.76242,0.80246,0.80138,0.80153
"M325.162T1642.868",0.76127,0.76329,0.76225,0.76238
"M291.195T1053.001",0.75974,0.75045,0.75101,0.75108
"M605.416T1473.993",0.75957,0.77506,0.77404,0.77429
"M919.292T824.161",0.74562,0.73639,0.73798,0.73797
"M869.334T919.017",0.74347,0.7597,0.76068,0.7607
"M669.531T1507.08",0.73345,0.74561,0.74462,0.74464
"M481.362T1591.564",0.73277,0.73297,0.73212,0.73237
"M575.479T1456.772",0.7321,0.75983,0.76,0.75995
"M494.565T1319.161",0.73124,0.75019,0.75692,0.75688
"M585.283T918.479",0.72508,0.72405,0.7243,0.72464
"M535.447T1540.43",0.72114,0.72887,0.7295,0.72945
"M465.265T1237.073",0.712,0.72741,0.72647,0.72644
"M330.263T1492.022",0.71114,0.70881,0.70785,0.70781
"M640.557T1608.472",0.70319,0.71099,0.71004,0.71008
"M886.353T1006.792",0.70147,0.69734,0.69844,0.69848
"M297.239T1626.197",0.70122,0.69303,0.69378,0.69376
"M438.146T926.75",0.69839,0.69188,0.69094,0.69155
"M669.562T1624.559",0.6956,0.69268,0.69202,0.69201
"M332.328T1440.13",0.69449,0.68599,0.6876,0.68756
"M630.465T1474.173",0.69336,0.71661,0.71586,0.71581
"M567.43T1421.35",0.68587,0.67736,0.67707,0.67704
"M343.224T1621.712",0.67979,0.67529,0.67445,0.67445
"M652.503T1490.314",0.67373,0.69347,0.70029,0.70024
"M433.152T909.874",0.66862,0.66032,0.66024,0.66037
"M430.319T1557.453",0.66745,0.65916,0.65865,0.65867
"M609.518T1624.418",0.66653,0.66557,0.66931,0.66927
"M956.379T959.199",0.65825,0.67389,0.67377,0.67396
"M330.263T1439.913",0.65743,0.65249,0.652,0.65211
"M629.463T1474.173",0.65608,0.6652,0.66559,0.66556
"M449.347T1490.033",0.64214,0.67276,0.67354,0.67351
"M879.468T1338.726",0.63871,0.65762,0.66035,0.66049
"M477.407T1590.788",0.63355,0.64247,0.64217,0.64217
"M423.198T1506.423",0.62713,0.62072,0.62008,0.62009
"M492.408T1557.26",0.62461,0.6169,0.61614,0.61615
"M330.262T1456.934",0.62299,0.62057,0.62019,0.62037
"M425.216T1401.37",0.6189,0.61124,0.61046,0.61053
"M449.369T1557.545",0.61151,0.67735,0.67877,0.67882
"M1123.351T817.469",0.60412,0.61656,0.61837,0.61833
"M578.503T1590.788",0.59958,0.60768,0.6094,0.60977
"M669.539T1543.447",0.58563,0.59058,0.59029,0.5903
"M629.464T1456.367",0.58275,0.59406,0.59372,0.59369
"M351.179T1358.969",0.57679,0.57809,0.57758,0.57755
"M477.403T1542.988",0.57336,0.60336,0.60266,0.60264
"M477.398T1574.327",0.57229,0.60234,0.60163,0.60161
"M516.411T1568.021",0.54825,0.56553,0.56481,0.56478
"M1114.854T834.347",0.54535,0.5398,0.55479,0.55475
"M629.459T1473.698",0.53456,0.5447,0.54599,0.54596
"M386.164T943.456",0.53245,0.53218,0.53758,0.53756
"M393.189T1440.567",0.52919,0.52762,0.52738,0.52739
"M295.151T1624.873",0.52543,0.52002,0.5194,0.51946
"M330.261T1473.013",0.51927,0.51758,0.51773,0.51807
"M425.215T1355.365",0.50891,0.50337,0.50268,0.50267
"M635.491T1472.841",0.50493,0.51684,0.51815,0.51822
"M510.367T1523.593",0.48756,0.48865,0.48845,0.48842
"M533.436T1590.96",0.4738,0.47076,0.48591,0.48606
"M867.584T1358.969",0.4693,0.48329,0.48324,0.48363
"M605.427T1212.039",0.4627,0.45753,0.45771,0.45774
"M979.313T847.893",0.45781,0.46961,0.47624,0.47634
"M449.365T1540.699",0.45252,0.4523,0.45178,0.45201
"M569.292T994.771",0.44922,0.45965,0.45905,0.45994
"M691.436T1356.203",0.41889,0.41413,0.41543,0.4154
"M494.565T1422.678",0.4115,0.45334,0.46379,0.46379
"M652.416T1356.524",0.37633,0.37326,0.37521,0.37593
"M882.48T1339.403",0.36942,0.46476,0.46493,0.46541
"M423.321T1473.286",0.3128,0.42038,0.42266,0.42272
"M1102.351T817.469",0.28725,0.28392,0.30212,0.3022
"M331.187T1104.601",0.28085,0.27977,0.28852,0.28864
"M477.343T1423.013",0.25533,0.25354,0.2582,0.25831
"M351.253T1019.694",0.19211,0.33254,0.34246,0.34261
"M285.134T1052.907",0.16945,0.16757,0.1682,0.17074
"M513.307T1059.952",0.16903,0.33165,0.34109,0.34108
