"","correlation","t-stat","p-value","FDR"
"M285.134T1052.907",1,212220000,1.3283e-79,2.2714e-77
"M569.292T994.771",0.97181,13.034,1.3378e-07,1.1438e-05
"M513.307T1059.952",0.95055,9.679,2.1419e-06,0.00011943
"M351.253T1019.694",0.94781,9.4002,2.7936e-06,0.00011943
"M481.362T1591.564",-0.79252,-4.1095,0.0021123,0.067958
"M585.283T918.479",0.787,4.0339,0.0023845,0.067958
"M331.187T1104.601",0.7389,3.4677,0.0060444,0.14766
"M449.369T1557.545",-0.6828,-2.9554,0.014401,0.27968
"M535.447T1540.43",-0.67524,-2.8949,0.015972,0.27968
"M609.518T1624.418",-0.67348,-2.8811,0.016355,0.27968
"M467.383T1523.593",-0.66151,-2.7894,0.019138,0.29751
"M812.538T1253.346",0.64608,2.6767,0.023222,0.33092
"M549.424T1473.203",-0.62751,-2.5486,0.028932,0.35373
"M449.347T1490.033",-0.62342,-2.5213,0.030317,0.35373
"M449.365T1540.699",-0.61406,-2.4603,0.033659,0.35373
"M556.445T1212.039",0.61239,2.4496,0.034282,0.35373
"M660.517T1423.005",-0.61006,-2.4347,0.035166,0.35373
"M1102.351T817.469",0.57513,2.2232,0.050418,0.42238
"M635.491T1472.841",-0.56909,-2.1886,0.053464,0.42238
"M558.46T1591.049",-0.56696,-2.1765,0.054569,0.42238
"M522.261T1109.944",0.5656,2.1688,0.055281,0.42238
"M291.195T1053.001",0.5569,2.1203,0.059996,0.42238
"M986.591T1195.638",0.54514,2.0563,0.066803,0.42238
"M533.436T1590.96",-0.54275,-2.0435,0.068248,0.42238
"M549.426T1489.95",-0.5371,-2.0136,0.071748,0.42238
"M808.52T1220.972",0.53699,2.013,0.071816,0.42238
"M867.584T1358.969",0.53588,2.0071,0.072519,0.42238
"M471.336T1557.26",-0.53447,-1.9997,0.073423,0.42238
"M535.409T1440.116",-0.53434,-1.999,0.073506,0.42238
"M516.434T1624.418",-0.53341,-1.9942,0.074102,0.42238
"M351.179T1358.969",0.52631,1.9573,0.078782,0.43457
"M605.427T1490.314",-0.51207,-1.8853,0.088753,0.44199
"M886.353T1006.792",-0.51083,-1.879,0.089665,0.44199
"M605.427T1212.039",0.5066,1.8581,0.092804,0.44199
