"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas","Xanthomonas"
"M285.134T1052.907"," 0.1781856"," 0.3755652","-0.1871834"," 0.4545394"," 0.2423068","-0.1987169","-1.0670846","-0.5628619","-0.2381155"," 0.1683896"," 0.3386492"," 0.4963265"
"M569.292T994.771"," 0.1483364"," 0.2355622","-0.0914959"," 0.1951337"," 0.2747450","-0.1226188","-0.9656945","-0.5004858","-0.3173906"," 0.1356252"," 0.4109040"," 0.5973791"
"M867.584T1358.969"," 0.20229472"," 0.25453178"," 0.65108486"," 0.70811839"," 0.46258278"," 0.17863612","-0.94971303","-0.03921355","-1.84681842"," 0.21659321"," 0.12784669"," 0.03405645"
"M1123.351T817.469","-0.47840687"," 0.10568433"," 0.58031872"," 0.34800274","-0.15449317"," 0.25255289","-0.32977865","-0.30215028","-0.49098789"," 0.25606158"," 0.12711885"," 0.08607775"
"M985.571T1146.934"," 0.41371694"," 0.53479344"," 0.08049110","-0.41797631"," 0.18615686"," 0.17568654","-0.30461680","-0.18944959","-0.39129469","-0.16637829"," 0.13689489","-0.05802406"
"M986.591T1195.638"," 0.46296943"," 0.68201928","-0.26445577","-0.13202619"," 0.24160091"," 0.06823114","-0.42148694","-0.20981480","-0.12277019","-0.32358262"," 0.04706831","-0.02775257"
"M423.198T1506.423"," 0.23334696"," 0.22653165","-0.14570460","-0.04225444"," 0.21568564","-0.19545719","-0.03603431"," 0.09142987"," 0.26924218","-0.28333519","-0.23593959","-0.09751099"
"M879.468T1338.726","-0.832838944"," 0.081884081","-0.355836301","-0.114900904","-0.005607784","-0.211407108"," 0.680993806"," 0.160605598"," 0.518576077","-0.006739130","-0.017976728"," 0.103247337"
"M556.445T1212.039"," 0.212217827"," 1.492944752","-0.229880707"," 0.199985070"," 0.262315993","-0.016165876","-0.604963131","-0.476815750","-0.583870227"," 0.005761474","-0.255017760","-0.006511666"
"M618.492T1624.789","-0.80180166","-0.26614340","-0.09580620","-0.08751898"," 0.17017026","-0.15284168"," 0.19516886"," 0.12408097"," 0.68641650"," 0.22302078","-0.11452118"," 0.11977571"
"M393.189T1440.567","-0.05887342","-0.20796534","-0.27566732","-0.07182077"," 0.05151443","-0.29284350","-0.05388471"," 0.03539691"," 0.27467842"," 0.12817286"," 0.15695595"," 0.31433650"
