"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"sodium_formate","3985225","3922751","3861917","4036646","3843867","3845185","4021608","4043455","3773975","3345591","3565070","3680698","4066642","3879396","4076296","3815932","3878103","3825451"
"M285.134T1052.907"," 10686.981","221176.579","269413.681","153462.067","292000.000","232329.913","151000.000"," 59500.000"," 95671.297","  3603.015","128288.515","  2482.162","160927.146","191000.000","153403.204","212892.242","259981.006","304000.000"
"M569.292T994.771","  1421.487","116906.609","125497.818"," 94825.907","120000.000","129907.456"," 91600.000"," 39900.000"," 59084.648","  5226.939"," 66932.652","  2515.551","102229.288","111000.000","104590.730","112297.945","149970.546","178000.000"
"M867.584T1358.969","18354.289","32761.048","35158.164","70727.559","74000.000","49353.927","32300.000"," 5040.000","21154.058"," 7990.827","    0.000"," 6016.550","32248.813","20500.000","24506.329","32630.246","28642.034","24200.000"
"M1123.351T817.469","12835.06","41799.87","65524.29","99948.90","79100.00","53031.15","76700.00","48500.00","46274.72","25621.52","37609.79","22717.89","59455.66","76400.00","53650.73","72981.01","66931.73","63900.00"
"M985.571T1146.934","  1537.353","178876.252","191828.130","145460.725"," 97400.000","149300.626","155000.000","111000.000","112383.819"," 15277.650"," 92054.447"," 11917.359","125480.205","129000.000","128808.398","115500.518","145428.538","125000.000"
"M986.591T1195.638","  6681.598","148335.411","172198.193"," 88307.664"," 92900.000","123095.507","113000.000"," 78600.000"," 86026.052","     0.000"," 86764.012","  7312.201"," 91905.500"," 87000.000","101335.693"," 79847.172","107246.557","100000.000"
"M423.198T1506.423","593411.8","738161.9","724434.3","637786.9","637000.0","717697.4","621000.0","672000.0","665182.3","524318.7","682051.2","566826.1","623271.4","658000.0","659107.7","565841.5","587766.0","618000.0"
"M879.468T1338.726","  3205.691"," 44184.472"," 98451.371"," 69612.409"," 82200.000"," 90657.927"," 78900.000","176000.000","103215.973","  7454.359","134227.258"," 11896.540"," 73566.546"," 93800.000"," 70470.566"," 89877.390"," 90429.685"," 99400.000"
"M556.445T1212.039","  3942.292"," 31930.752","163353.676"," 18602.835"," 30800.000"," 33383.517"," 24400.000"," 11500.000"," 12657.841","  2138.860"," 10418.402"," 10398.115"," 21989.765"," 29200.000"," 19674.738"," 23814.668"," 17303.352"," 23500.000"
"M618.492T1624.789"," 50694.60"," 70032.29","106798.06","128297.16","123000.00","151873.74","122000.00","163000.00","143552.87"," 43068.22","214683.51"," 56998.35","137223.93","134000.00","129062.14","157368.42","121387.96","145000.00"
"M393.189T1440.567","146768.0","169388.2","155747.6","157820.8","165000.0","174654.8","156000.0","175000.0","170158.8","163621.4","179369.3","143534.7","157168.0","168000.0","161297.8","179523.6","184871.0","196000.0"
"M629.464T1456.367","156744.3","286333.2","305526.0","337661.7","341000.0","344133.6","290000.0","462000.0","363209.3","100140.6","420063.9"," 90429.3","304003.4","325000.0","298773.9","399494.7","322401.8","361000.0"
"M889.305T842.452"," 5406.244","32551.846","61297.672","99537.774","74100.000","69766.621","83500.000","49200.000","65277.940"," 8757.159","37932.111","19658.833","54469.651","62300.000","56081.294","68800.160","66555.649","65000.000"
"M513.307T1059.952","      0.0"," 942716.4"," 928715.8"," 467060.4"," 793000.0"," 927941.2"," 483000.0"," 229000.0"," 315444.7","  14535.7"," 420868.1","   9123.4"," 484322.3"," 867000.0"," 457639.0"," 693698.2","1131877.9"," 820000.0"
"M513.25T1338.968"," 23738.50","283677.14","334033.41","227615.07","316000.00","387096.50","219000.00","404000.00","371940.41"," 32978.45","375239.18"," 20351.35","200245.63","374000.00","339813.34","446571.98","483391.87","440000.00"
"M630.465T1474.173"," 58363.92"," 95043.93","118291.15","131454.34","146000.00","121561.38","101000.00","193000.00","144984.42"," 45568.17","154746.67"," 41543.10","101020.23","132000.00","106510.65","164246.44","120097.68","147000.00"
"M329.158T1625.781","115728.44"," 94952.88"," 72574.31","117679.49","133000.00","102079.73","104000.00","133000.00","148447.81","130689.50","122532.02","118875.95","137886.03","120000.00","129731.65","126411.51","139292.70","123000.00"
"M660.517T1423.005"," 44944.44"," 59501.12"," 83916.64","123230.60","130000.00"," 81819.60"," 90700.00","194000.00","158401.18"," 33612.44","123931.90"," 30557.38"," 96138.78"," 99100.00"," 80796.79","162355.22"," 87432.44"," 89300.00"
"M882.48T1339.403"," 2833.867","41238.903","83587.362","50047.893","36600.000","62152.400","38500.000","93600.000","84624.714"," 2081.161","90899.988"," 2217.107","52645.160","71400.000","50754.363","70084.716","59958.009","82100.000"
"M564.208T942.149","     0.000"," 72261.713","154063.082","182264.911","205000.000","158378.459","183000.000","185000.000","206672.112","  3494.878","175518.853","     0.000","149868.503","136000.000","128398.861","195224.054","216690.617","194000.000"
"M343.224T1621.712"," 92913.62"," 74256.78"," 76141.65"," 80808.97"," 82700.00"," 57266.22"," 65400.00","101000.00","101756.24"," 84635.87","112674.13"," 71345.10"," 97398.71"," 79300.00"," 86661.91"," 88033.24"," 96225.80"," 98500.00"
"M609.455T1145.906","  6740.162","213102.146","159285.699"," 34086.016"," 23600.000"," 56132.184"," 39900.000"," 21700.000"," 27294.339","     0.000"," 16178.189"," 11974.308"," 29296.799"," 32900.000"," 35900.426"," 31575.697"," 35059.624"," 20600.000"
"M771.504T1195.638","  15659.564","2245550.871"," 923252.551"," 298331.091"," 264000.000"," 520888.168"," 314000.000"," 233000.000"," 253350.645","   5150.772"," 290009.218","   5031.365"," 305789.317"," 321000.000"," 319015.275"," 213308.063"," 388733.561"," 335000.000"
"M828.538T1289.688","  4376.986","461720.098","393724.598","292329.971","174000.000","135223.855","306000.000","168000.000","150585.188","  7592.868","243094.650"," 14637.401","286429.318","134000.000","347148.680","172000.038","203542.569","155000.000"
"M523.36T1271.932","     0.00"," 90698.73"," 26915.41","171328.28","139000.00","167483.68","198000.00","114000.00"," 93568.47","     0.00"," 55499.29","     0.00","198384.68"," 78200.00","205727.82"," 83096.01"," 76072.45","122000.00"
"M351.253T1019.694","  1520.072","527161.428","557457.259","227626.276","429000.000","502151.661","257000.000","112000.000","191952.109","     0.000","237060.000","  2448.558","256953.356","503000.000","222283.925","370944.738","654572.844","493000.000"
"M979.313T847.893"," 19186.61"," 92208.48","141842.26","149586.98","168000.00","154039.91","161000.00"," 95100.00","121816.27"," 36576.67"," 79708.72"," 44393.64","126586.74","140000.00","127857.60","155608.78","146807.15","116000.00"
"M691.436T1356.203","154783.55","474924.56","498460.37","303062.32","328000.00","423289.77","334000.00","485000.00","395947.44"," 65129.23","443493.31"," 86819.08","379234.41","383000.00","394081.95","416685.12","460855.97","420000.00"
"M575.479T1456.772"," 48282.80","370685.51","418133.84","604087.93","556000.00","599343.17","466000.00","655000.00","613891.81"," 44420.26","628544.72"," 10280.92","474626.95","394000.00","486647.62","701091.35","434828.83","563000.00"
"M919.292T824.161"," 18116.16"," 79143.52"," 98309.01","125706.74","124000.00","100252.27","109000.00"," 83400.00","101938.21"," 25439.98"," 80671.30"," 20505.34"," 93212.57","113000.00"," 95871.31","124151.23","129258.78","107000.00"
"M545.37T1372.761"," 64437.89","302206.96","501401.30","135805.93","108000.00"," 91537.25","118000.00","133000.00"," 97473.12"," 32301.45","126419.27"," 61524.20","100815.42"," 90200.00","103419.77","139966.70","112248.60","104000.00"
"M1085.421T973.898"," 2067.740","16936.010","42844.698","39370.151","59800.000","43807.161","46000.000","52500.000","85924.806"," 3957.285","57430.330"," 1964.032","63343.835","60800.000","55622.957","71519.151","68305.752","62300.000"
"M1114.854T834.347"," 1632.204","18760.064","39563.037","51423.471","38500.000","38679.597","32400.000","21700.000","23021.589"," 5239.230","10167.475","16697.919","28041.973","33900.000","30195.053","34730.724","45129.218","30700.000"
"M441.224T1179.269"," 21410.82","204453.41","236662.00"," 71925.39"," 67900.00","101269.67"," 89600.00"," 98500.00"," 90716.89"," 19551.30"," 75087.62"," 15295.16"," 83939.50"," 92200.00"," 91236.93"," 82182.65"," 91593.24"," 82400.00"
"M899.349T990.311"," 9439.344","36165.836","46198.488","80806.453","59500.000","55254.179","95800.000","63700.000","70914.600"," 6700.315","70731.452"," 7022.509","63950.918","64900.000","65914.277","55894.897","68165.655","62900.000"
"M659.418T1406.262","20041.84","41430.61","45006.68","62706.24","79700.00","63426.71","48300.00","98800.00","86844.92","24062.35","45771.09","25324.90","63719.47","73700.00","67784.27","96218.59","75766.66","92100.00"
"M841.471T1389.363","11133.017","49892.710","48079.150","60880.243","50200.000","52988.957","63100.000","79800.000","67697.389"," 4701.369","98147.197","12351.922","62567.373","72800.000","69035.571","75696.560","60264.215","78100.000"
"M575.479T1473.048"," 53767.99","330893.10","375060.77","616729.29","582000.00","604621.60","483000.00","673000.00","619324.84"," 49585.96","644739.48"," 10280.14","493930.35","394000.00","480147.22","709622.62","446816.53","563000.00"
"M575.481T1540.694"," 55946.60","330893.10","375060.77","616845.48","589000.00","604896.90","483000.00","676000.00","619595.56"," 49567.22","643868.21"," 10281.04","493930.35","397000.00","480239.92","709890.26","447113.37","571000.00"
"M331.187T1104.601"," 23353.74","294471.29","357966.74","354493.09","326000.00","401204.19","343000.00","171000.00","230103.08"," 26853.91","170578.07"," 22405.60","401873.14","279000.00","423320.61","262856.22","328619.04","290000.00"
"M423.211T1338.363","122076.26","310222.07","269250.68","189278.81","189000.00","263841.30","187000.00","191000.00","179991.11"," 94977.37","215295.11","114683.97","211481.45","172000.00","220211.82","180229.81","146713.11","192000.00"
"M886.353T1006.792"," 9396.463","35386.349","54429.982","87661.627","53600.000","62524.275","84600.000","73200.000","74981.799"," 7985.668","82175.224","12367.085","64002.678","55500.000","57012.543","57339.016","60500.361","62000.000"
