"","filter","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"sodium_formate",194200.147,3985225.417,3922751.054,3861917.098,4036645.716,3843867.149,3845185.216,4021607.908,4043455.006,3773975.074,3345590.809,3565069.568,3680698.477,4066641.635,3879395.65,4076296.312,3815932.471,3878102.735,3825451.14
"M285.134T1052.907",125715.978,10686.981,221176.579,269413.681,153462.067,292000,232329.913,151000,59500,95671.297,3603.0154,128288.515,2482.1616,160927.1464,191000,153403.204,212892.242,259981.006,304000
"M569.292T994.771",58180.00325,1421.487,116906.609,125497.818,94825.907,120000,129907.456,91600,39900,59084.648,5226.939,66932.652,2515.551,102229.2876,111000,104590.73,112297.945,149970.546,178000
"M867.584T1358.969",13837.630675,18354.2891,32761.048,35158.164,70727.559,74000,49353.927,32300,5040,21154.058,7990.8268,1008,6016.5501,32248.8127,20500,24506.329,32630.246,28642.034,24200
"M1123.351T817.469",28550.10675,12835.0605,41799.868,65524.289,99948.896,79100,53031.152,76700,48500,46274.717,25621.5242,37609.786,22717.8872,59455.6587,76400,53650.729,72981.005,66931.733,63900
"M985.571T1146.934",44652.67825,1537.3531,178876.252,191828.13,145460.725,97400,149300.626,155000,111000,112383.819,15277.6498,92054.447,11917.3594,125480.2053,129000,128808.398,115500.518,145428.538,125000
"M986.591T1195.638",24376.949,6681.5984,148335.411,172198.193,88307.664,92900,123095.507,113000,78600,86026.052,1336.31968,86764.012,7312.2013,91905.4998,87000,101335.693,79847.172,107246.557,1e+05
"M423.198T1506.423",70736.6829499999,593411.8484,738161.86,724434.323,637786.87,637000,717697.444,621000,672000,665182.277,524318.7379,682051.171,566826.0527,623271.4154,658000,659107.696,565841.49,587766.044,618000
"M879.468T1338.726",27461.58,3205.6913,44184.472,98451.371,69612.409,82200,90657.927,78900,176000,103215.973,7454.3585,134227.258,11896.5402,73566.5465,93800,70470.566,89877.39,90429.685,99400
"M556.445T1212.039",16210.53975,3942.2917,31930.752,163353.676,18602.835,30800,33383.517,24400,11500,12657.841,2138.8598,10418.402,10398.1149,21989.7654,29200,19674.738,23814.668,17303.352,23500
"M618.492T1624.789",34192.68525,50694.5957,70032.295,106798.057,128297.163,123000,151873.744,122000,163000,143552.872,43068.2222,214683.51,56998.3487,137223.9275,134000,129062.144,157368.423,121387.96,145000
"M393.189T1440.567",17582.5379,146768.0189,169388.244,155747.588,157820.758,165000,174654.81,156000,175000,170158.796,163621.3769,179369.326,143534.668,157167.9668,168000,161297.751,179523.573,184871.039,196000
"M629.464T1456.367",64589.90625,156744.2698,286333.224,305526.038,337661.667,341000,344133.568,290000,462000,363209.301,100140.6145,420063.859,90429.305,304003.377,325000,298773.943,399494.738,322401.825,361000
"M889.305T842.452",27489.949,5406.244,32551.846,61297.672,99537.774,74100,69766.621,83500,49200,65277.94,8757.1595,37932.111,19658.8328,54469.6513,62300,56081.294,68800.16,66555.649,65000
"M513.307T1059.952",513449.4355,1824.67994,942716.402,928715.846,467060.357,793000,927941.227,483000,229000,315444.731,14535.6959,420868.065,9123.3997,484322.2754,867000,457639.024,693698.247,1131877.916,820000
"M513.25T1338.968",162978.4025,23738.5,283677.141,334033.409,227615.066,316000,387096.5,219000,404000,371940.412,32978.4483,375239.176,20351.3471,200245.634,374000,339813.342,446571.981,483391.871,440000
"M630.465T1474.173",44741.04755,58363.9243,95043.929,118291.147,131454.341,146000,121561.385,101000,193000,144984.421,45568.1669,154746.674,41543.0986,101020.2308,132000,106510.648,164246.443,120097.685,147000
"M329.158T1625.781",16206.17725,115728.4351,94952.883,72574.306,117679.489,133000,102079.73,104000,133000,148447.812,130689.5033,122532.021,118875.9459,137886.0331,120000,129731.652,126411.515,139292.698,123000
"M660.517T1423.005",42704.0895,44944.4427,59501.118,83916.64,123230.604,130000,81819.603,90700,194000,158401.178,33612.4398,123931.905,30557.3778,96138.782,99100,80796.786,162355.216,87432.444,89300
"M882.48T1339.403",40240.27425,2833.8675,41238.903,83587.362,50047.893,36600,62152.4,38500,93600,84624.714,2081.1607,90899.988,2217.1069,52645.1597,71400,50754.363,70084.716,59958.009,82100
"M564.208T942.149",61450.85425,698.97552,72261.713,154063.082,182264.911,205000,158378.459,183000,185000,206672.112,3494.8776,175518.853,698.97552,149868.5035,136000,128398.861,195224.054,216690.617,194000
"M343.224T1621.712",20174.25205,92913.615,74256.778,76141.645,80808.974,82700,57266.216,65400,101000,101756.236,84635.8675,112674.128,71345.0996,97398.7144,79300,86661.91,88033.238,96225.8,98500
"M609.455T1145.906",14815.2255,6740.1617,213102.146,159285.699,34086.016,23600,56132.184,39900,21700,27294.339,1348.03234,16178.189,11974.3082,29296.7987,32900,35900.426,31575.697,35059.624,20600
