Id,Label,Degree,Betweenness
M443.333T1262.042,M443.333T1262.042,7,14.67
M392.284T1436.378,M392.284T1436.378,6,30.08
M399.308T1262.042,M399.308T1262.042,6,16.75
M576.533T1641.124,M576.533T1641.124,4,39
M619.438T1245.233,M619.438T1245.233,4,7.92
M341.283T1305.932,M341.283T1305.932,4,1.58
M722.259T892.9,M722.259T892.9,3,23
M609.455T1145.906,M609.455T1145.906,3,0
M455.315T1295.888,M455.315T1295.888,3,0
M383.284T1439.726,M383.284T1439.726,2,0
M817.317T940.819,M817.317T940.819,1,0
M545.37T1372.761,M545.37T1372.761,1,0
M561.396T1195.638,M561.396T1195.638,1,0
M542.478T1573.977,M542.478T1573.977,1,0
