Id,Label
M285.134T1052.907,M285.134T1052.907
M569.292T994.771,M569.292T994.771
M867.584T1358.969,M867.584T1358.969
M1123.351T817.469,M1123.351T817.469
M985.571T1146.934,M985.571T1146.934
M986.591T1195.638,M986.591T1195.638
M423.198T1506.423,M423.198T1506.423
M879.468T1338.726,M879.468T1338.726
M556.445T1212.039,M556.445T1212.039
M618.492T1624.789,M618.492T1624.789
M393.189T1440.567,M393.189T1440.567
M629.464T1456.367,M629.464T1456.367
M889.305T842.452,M889.305T842.452
M513.307T1059.952,M513.307T1059.952
M513.25T1338.968,M513.25T1338.968
M630.465T1474.173,M630.465T1474.173
M329.158T1625.781,M329.158T1625.781
M660.517T1423.005,M660.517T1423.005
M882.48T1339.403,M882.48T1339.403
M564.208T942.149,M564.208T942.149
M343.224T1621.712,M343.224T1621.712
M609.455T1145.906,M609.455T1145.906
M771.504T1195.638,M771.504T1195.638
M828.538T1289.688,M828.538T1289.688
M523.36T1271.932,M523.36T1271.932
M351.253T1019.694,M351.253T1019.694
M979.313T847.893,M979.313T847.893
M691.436T1356.203,M691.436T1356.203
M575.479T1456.772,M575.479T1456.772
M919.292T824.161,M919.292T824.161
M545.37T1372.761,M545.37T1372.761
M1085.421T973.898,M1085.421T973.898
M1114.854T834.347,M1114.854T834.347
M441.224T1179.269,M441.224T1179.269
M899.349T990.311,M899.349T990.311
M659.418T1406.262,M659.418T1406.262
M841.471T1389.363,M841.471T1389.363
M575.479T1473.048,M575.479T1473.048
M575.481T1540.694,M575.481T1540.694
M331.187T1104.601,M331.187T1104.601
M423.211T1338.363,M423.211T1338.363
M886.353T1006.792,M886.353T1006.792
M585.283T918.479,M585.283T918.479
M956.379T959.199,M956.379T959.199
M329.157T1608.526,M329.157T1608.526
M351.108T857.905,M351.108T857.905
M640.557T1608.472,M640.557T1608.472
M423.212T1319.031,M423.212T1319.031
M541.474T1573.977,M541.474T1573.977
M629.459T1473.698,M629.459T1473.698
M847.517T1163.004,M847.517T1163.004
M652.416T1356.524,M652.416T1356.524
M449.365T1540.699,M449.365T1540.699
M537.533T1295.888,M537.533T1295.888
M561.396T1195.638,M561.396T1195.638
M812.538T1253.346,M812.538T1253.346
M495.298T1036.333,M495.298T1036.333
M617.489T1624.961,M617.489T1624.961
M535.409T1440.116,M535.409T1440.116
M433.152T909.874,M433.152T909.874
M817.317T940.819,M817.317T940.819
M438.146T926.75,M438.146T926.75
M535.375T1490.352,M535.375T1490.352
M808.52T1220.972,M808.52T1220.972
M577.49T1591.335,M577.49T1591.335
M813.332T1056.081,M813.332T1056.081
M869.334T919.017,M869.334T919.017
M325.162T1642.868,M325.162T1642.868
M449.347T1490.033,M449.347T1490.033
M374.303T1319.161,M374.303T1319.161
M605.427T1212.039,M605.427T1212.039
M504.265T1099.137,M504.265T1099.137
M479.188T913.185,M479.188T913.185
M291.195T1053.001,M291.195T1053.001
M821.505T1179.269,M821.505T1179.269
M820.327T1006.792,M820.327T1006.792
M682.262T843.183,M682.262T843.183
M576.484T1473.551,M576.484T1473.551
M764.518T1295.888,M764.518T1295.888
M471.313T1295.888,M471.313T1295.888
M617.506T1594.034,M617.506T1594.034
M534.402T1422.678,M534.402T1422.678
M765.518T1313.696,M765.518T1313.696
M415.326T1295.888,M415.326T1295.888
M1102.351T817.469,M1102.351T817.469
M549.424T1473.203,M549.424T1473.203
M787.545T1575.098,M787.545T1575.098
M567.43T1421.35,M567.43T1421.35
M764.517T1325.086,M764.517T1325.086
M487.775T1256.694,M487.775T1256.694
M677.438T1339.916,M677.438T1339.916
M832.307T992.353,M832.307T992.353
M455.315T1295.888,M455.315T1295.888
M297.239T1626.197,M297.239T1626.197
M425.216T1401.37,M425.216T1401.37
M430.319T1557.453,M430.319T1557.453
M392.284T1436.378,M392.284T1436.378
M386.164T943.456,M386.164T943.456
M635.491T1472.841,M635.491T1472.841
