"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M285.134T1052.907",-0.060976,-0.048792,-0.1867,-0.12973,0.18054,-0.12318,-0.12308,-0.00066588,0.048853,-0.025977,0.024869,0.21396
"M569.292T994.771",-0.0521,-0.061216,-0.18742,-0.095889,0.16551,-0.10726,-0.024955,0.015644,0.032829,-0.10821,0.032954,-0.45819
"M867.584T1358.969",-0.097193,-0.23005,-0.13592,-0.069789,-0.18845,-0.015298,-0.21442,-0.050233,-0.065326,-0.18728,-0.050291,-0.038963
"M1123.351T817.469",-0.001249,-0.12526,-0.0057923,-0.11426,-0.027121,-0.12969,-0.012961,-0.07173,-0.076897,0.044375,-0.082911,-0.42093
"M985.571T1146.934",-0.071697,-0.024114,0.011013,-0.01559,0.016702,0.035212,0.15051,0.024564,0.045112,-0.098687,0.005635,-0.3204
"M986.591T1195.638",-0.078622,0.015762,-0.0015992,-0.03844,0.098558,0.061967,0.024166,0.051194,0.036486,-0.011584,0.084265,-0.0075805
"M423.198T1506.423",-0.019902,0.052074,0.034908,0.022126,0.072251,0.098856,-0.070446,-0.019406,0.013535,-0.047293,-0.00952,0.22815
"M879.468T1338.726",0.073581,0.066113,0.027858,-0.10144,0.027858,0.16063,0.080024,0.0010857,-0.10097,0.13427,0.033319,0.0039421
"M556.445T1212.039",-0.11849,-0.015109,-0.0088026,-0.24289,0.048472,0.077735,-0.046452,-0.1416,-0.027595,0.060024,0.12721,0.48487
"M618.492T1624.789",0.082947,0.023914,0.0088357,-0.0608,0.10158,0.082845,0.0052578,-0.076207,0.071275,0.014571,-0.0025481,0.11558
"M393.189T1440.567",0.024862,0.041195,-0.088358,-0.006552,0.062635,-0.0073797,0.0056718,0.030567,0.033764,-0.07255,0.013853,-0.027642
"M629.464T1456.367",0.056757,0.05953,-0.014915,-0.02135,-0.0007455,0.041585,-0.0095015,-0.086987,0.0042522,0.015856,-0.065406,-0.0077356
"M889.305T842.452",0.022086,-0.1452,0.0096606,-0.11038,-0.0213,0.016629,-0.031983,-0.019227,-0.039016,-0.068421,-0.012043,-0.023454
"M513.307T1059.952",-0.075013,-0.031743,-0.20099,-0.091548,0.15914,-0.064193,-0.044789,0.06032,0.12133,0.018408,-0.063461,0.04676
"M513.25T1338.968",0.035506,0.073048,-0.15833,-0.090358,0.01215,0.083359,0.040988,0.076532,0.051,-0.033342,-0.047054,-0.017122
"M630.465T1474.173",0.06505,0.05338,-0.024107,-0.063986,-0.039821,0.027899,-0.046392,-0.10094,-0.070108,0.02007,-0.074576,-0.03024
"M329.158T1625.781",0.067169,0.0046893,-0.054232,0.036839,-0.042954,-0.042289,-0.090404,0.12736,0.0033002,-0.045409,-0.067847,0.0043601
"M660.517T1423.005",0.084822,0.027036,0.05383,-0.064322,-0.15412,0.019478,-0.087961,-0.079918,-0.010982,0.050306,-0.082501,-0.04492
"M882.48T1339.403",0.0468,0.10753,0.00016506,-0.12457,0.030013,0.14512,0.14089,-0.023289,-0.021017,-0.21427,-0.023331,-0.020124
