"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"C12.3",-7.5591,2.5224,-0.45583,2.287,-0.42956,-0.76364,-0.15113,-0.0038912,0.25365,-0.19088,-0.022209,1.5526e-15
"C12.4",-6.4883,1.3495,1.2971,-2.8324,0.18689,0.54088,0.26934,-0.11994,-0.26423,0.043074,0.019643,4.9613e-16
"D12.1",0.38236,-3.2906,1.687,0.41129,0.030083,-0.70838,0.15878,-0.66106,-0.39968,-0.57654,-1.0108,3.6082e-16
"D12.2",0.15568,-1.1152,-0.67483,-0.33963,-0.084526,-0.42681,-2.0568,0.039806,-0.59595,0.80529,-0.03352,3.7904e-16
"D12.3",-1.1263,-1.829,-1.3317,0.79584,0.97268,2.2194,-0.10172,-0.61464,0.53802,-0.0071395,-0.10494,1.6642e-15
"D12.4",-0.43979,-3.2932,1.7449,0.69061,0.13719,-0.40587,0.60667,0.29236,0.32254,0.51517,1.0811,4.6491e-16
"F12.1",3.5321,2.2998,0.47729,0.84275,-1.4856,0.83179,0.84333,-0.37705,-0.94233,0.67834,-0.12875,-2.6021e-16
"F12.2",2.8529,0.62483,1.0349,-0.057868,-1.2377,0.8097,-0.8598,1.021,0.23332,-1.0359,0.28335,-6.3773e-16
"F12.4",4.5017,3.4491,1.336,0.17804,2.14,-0.40233,-0.17437,-0.021441,0.58599,0.17821,-0.16859,-2.5813e-15
"X12.1",2.4269,0.093615,-1.4049,-1.269,-1.3805,-0.8509,0.19224,-0.99871,1.2374,0.02005,0.060158,-1.1644e-15
"X12.2",0.16479,-0.96506,-1.6615,-0.41959,0.15377,-0.2593,0.85475,1.7392,0.16394,0.31771,-0.64834,-5.2042e-17
"X12.3",1.5971,0.15381,-2.0485,-0.28697,0.99728,-0.58452,0.4187,-0.29571,-1.1327,-0.74737,0.67291,-2.871e-16
