"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M285.134T1052.907",-0.055567,0.20301,0.040438,-0.10875,-0.054702,0.07953,-0.047204,0.20977
"M569.292T994.771",-0.046419,0.20293,0.085141,-0.091915,0.012241,0.080791,-0.03867,0.20098
"M867.584T1358.969",-0.097398,0.10834,0.26078,-0.28645,-0.063435,0.080067,0.27177,-0.10617
"M1123.351T817.469",-0.0012715,0.011133,0.19894,-0.10685,-0.16173,-0.031999,0.038931,0.064867
"M985.571T1146.934",-0.073759,0.023426,0.082137,0.024555,0.04753,0.064498,-0.050882,0.0085778
"M986.591T1195.638",-0.080498,0.030413,-0.021109,0.016027,0.023438,0.10147,-0.11495,0.046581
"M423.198T1506.423",-0.022148,-0.043144,-0.12037,0.017183,0.042104,0.082038,-0.042503,0.024826
"M879.468T1338.726",0.075839,-0.021723,-0.095185,0.05119,-0.092845,0.097948,-0.19951,-0.036642
"M556.445T1212.039",-0.12053,0.068149,-0.0046589,-0.05889,-0.24461,0.20461,-0.10601,0.07714
"M618.492T1624.789",0.085173,-0.029684,-0.057719,-0.00249,-0.030573,0.10111,-0.1162,0.069788
"M393.189T1440.567",0.029446,0.089091,-0.058261,0.021907,0.051572,0.041697,-0.01854,0.053596
"M629.464T1456.367",0.059433,0.0056711,-0.10696,0.026066,-0.03988,0.014429,-0.013396,0.0049589
"M889.305T842.452",0.021472,-0.026988,0.2055,-0.13515,-0.089525,0.11416,0.014196,0.0050894
"M513.307T1059.952",-0.069357,0.22275,0.029331,-0.080077,0.0084841,0.056442,-0.11239,0.12534
"M513.25T1338.968",0.044075,0.17824,-0.097343,0.034651,-0.0025368,0.12009,-0.090881,-0.044939
"M630.465T1474.173",0.068525,0.018123,-0.10207,0.0097393,-0.10651,0.023869,0.020282,-0.0066532
"M329.158T1625.781",0.071033,0.030512,-0.0080472,-0.0043104,0.047853,-0.019758,0.075433,-0.065246
"M660.517T1423.005",0.085815,-0.062917,-0.05038,0.0094445,-0.16068,0.010254,0.097068,-0.12047
"M882.48T1339.403",0.050484,0.040349,-0.11095,0.12023,-0.039978,0.24419,-0.086232,0.022891
"M564.208T942.149",0.077252,0.0083981,0.08928,-0.044243,-0.11625,0.12776,-0.09623,-0.017316
"M343.224T1621.712",0.054643,0.034407,-0.063795,0.11027,-0.045861,0.031276,0.033966,0.033285
"M609.455T1145.906",-0.15632,0.03418,-0.027908,0.048815,0.023154,0.060001,0.018897,-0.065467
"M771.504T1195.638",-0.13544,0.056691,-0.11023,0.071508,0.13991,0.0015039,-0.013078,0.050029
"M828.538T1289.688",-0.084684,-0.083683,0.03635,0.12469,-0.04938,-0.10597,-0.00091344,0.11024
"M523.36T1271.932",0.037214,-0.073832,0.10388,-0.19163,0.22671,-0.20319,0.14484,-0.0034289
"M351.253T1019.694",-0.070183,0.23445,0.02286,-0.065183,0.013588,0.10766,-0.11015,0.1288
"M979.313T847.893",-0.0079767,0.032231,0.14749,-0.13881,-0.10514,0.086629,-0.016295,-0.050321
"M691.436T1356.203",-0.0082151,0.091671,-0.11959,0.099355,0.015263,0.068373,-0.11169,-0.032626
"M575.479T1456.772",0.071509,-0.025384,-0.062005,-0.040987,-0.041039,0.063218,0.055532,0.022468
"M919.292T824.161",0.018675,0.062179,0.13827,-0.08038,-0.085173,0.052467,0.024494,0.0041115
"M545.37T1372.761",-0.098779,0.0029561,-0.069626,0.13452,-0.18681,0.028771,-0.0097995,0.04418
"M1085.421T973.898",0.094925,0.054488,0.046077,-0.01398,-0.11761,0.22124,-0.052976,-0.062719
"M1114.854T834.347",-0.026375,0.082681,0.22212,-0.15907,-0.11434,0.071335,-0.01973,-0.054192
"M441.224T1179.269",-0.094521,0.035101,-0.085331,0.10384,-0.01933,0.096302,-0.043279,-0.049274
"M899.349T990.311",0.061909,-0.10485,0.14355,-0.010213,0.020074,0.021777,-0.066169,0.039437
"M659.418T1406.262",0.074172,0.11749,-0.0028656,-0.053517,-0.051382,0.036191,0.11796,-0.11433
"M841.471T1389.363",0.073658,-0.0040908,-0.042922,0.089311,0.019722,0.00014338,-0.005613,0.10091
"M575.479T1473.048",0.08233,-0.031152,-0.042843,-0.054529,-0.034871,0.042983,0.039585,0.015089
"M575.481T1540.694",0.082585,-0.029312,-0.043748,-0.05614,-0.03581,0.04182,0.04099,0.017075
"M331.187T1104.601",-0.055902,0.045121,0.12579,-0.12779,0.010242,0.0915,-0.039318,0.048784
"M423.211T1338.363",-0.056122,-0.026135,-0.15353,0.0045945,0.043574,0.056189,-0.0057009,0.080831
"M886.353T1006.792",0.063722,-0.13597,0.086969,0.0078028,0.0015033,0.085561,-0.089726,0.054489
"M585.283T918.479",-0.079074,0.068306,0.024841,-0.12228,-0.025316,0.02404,-0.078071,0.069741
"M956.379T959.199",0.058034,-0.13654,0.090612,-0.051005,-0.057174,0.11433,-0.03378,0.084002
"M329.157T1608.526",0.069953,0.015046,-0.00020043,0.020238,0.02489,0.01216,0.0027994,0.028868
"M351.108T857.905",-0.067313,-0.06505,-0.0096335,-0.093965,0.08875,-0.071906,0.034909,0.13979
"M640.557T1608.472",0.069368,-0.064428,-0.074167,-0.030168,0.010512,0.077721,-0.056412,-0.0017622
"M423.212T1319.031",-0.072784,-0.04093,-0.11369,-0.01708,0.06422,0.081446,0.013135,0.086294
"M541.474T1573.977",0.11542,-0.0031417,-0.070005,-0.089123,0.059793,0.12112,-0.017801,-0.129
"M629.459T1473.698",0.05359,0.024907,-0.10436,0.094021,-0.097857,-0.039573,0.088057,0.027535
"M847.517T1163.004",-0.13967,-0.015327,-0.0043467,0.045055,0.0035719,-0.0089937,-0.038035,0.2411
"M652.416T1356.524",0.042664,0.0034441,-0.049664,0.077615,0.031787,0.16803,-0.09456,0.016621
"M449.365T1540.699",0.06173,-0.055388,-0.10248,0.09368,-0.05743,0.014645,-0.020993,-0.0078898
"M537.533T1295.888",-0.16326,0.094406,-0.0079153,-0.1144,-0.08657,-0.031136,0.092282,-0.1647
"M561.396T1195.638",-0.11429,0.011088,-0.02027,0.055797,-0.29359,0.24058,-0.13548,0.044244
"M812.538T1253.346",-0.084291,0.071088,-0.028948,-0.023464,-0.10648,-0.0024756,-0.083583,-0.0067119
"M495.298T1036.333",-0.10208,-0.067138,-0.0035659,-0.010479,-0.096392,-0.045701,-0.041061,0.083822
"M617.489T1624.961",0.094851,-0.059877,-0.062702,-0.021761,0.018122,0.12315,-0.1357,0.042369
"M535.409T1440.116",0.090739,-0.022525,0.024383,0.076671,-0.0022159,0.074962,0.034893,-0.077989
"M433.152T909.874",0.043856,-0.033503,0.10437,-0.029617,-0.024122,0.021961,-0.059127,0.084432
"M817.317T940.819",0.094519,-0.017126,0.17294,-0.054715,-0.045631,0.10555,-0.11815,-0.066277
"M438.146T926.75",0.056347,-0.1502,0.090701,-0.065276,0.03574,0.063172,-0.038136,0.13123
"M535.375T1490.352",0.075884,-0.0086084,0.00732,0.088803,-0.089364,0.051511,-0.050284,-0.005555
"M808.52T1220.972",-0.11153,0.032462,-0.062654,0.037206,0.011004,0.16234,-0.089295,0.10785
"M577.49T1591.335",0.075789,-0.0048747,-0.088174,-0.02219,0.050037,0.089125,-0.062753,0.042035
"M813.332T1056.081",0.093219,-0.11887,0.16236,-0.068426,-0.12305,0.13769,-0.063812,-0.015311
"M869.334T919.017",0.06518,-0.11965,0.088828,-0.070365,-0.13217,0.047767,-0.041928,-0.006173
"M325.162T1642.868",0.05441,0.060966,-0.018824,0.05461,0.01692,0.015767,-0.030137,0.074587
"M449.347T1490.033",0.080069,-0.062114,-0.11036,0.077877,-0.070697,0.020144,0.054235,0.00388
"M374.303T1319.161",-0.12007,-0.026892,0.075445,-0.029366,-0.0072104,0.023978,-0.025792,-0.18073
"M605.427T1212.039",-0.058683,0.10533,0.076491,-0.092356,0.00013874,-0.024278,-0.0091811,-0.020105
"M504.265T1099.137",-0.097342,0.055184,-0.065682,0.086851,0.026603,0.06443,-0.093682,-0.041759
"M479.188T913.185",0.12314,-0.057645,0.27047,-0.093936,0.10757,0.075953,-0.10967,-0.05253
"M291.195T1053.001",-0.068171,-0.058618,0.14411,-0.096792,0.04747,0.094468,-0.064103,0.16676
"M821.505T1179.269",-0.056466,-0.00053876,-0.12859,0.061293,0.088515,0.091393,-0.087796,0.082013
"M820.327T1006.792",0.074535,-0.16425,0.16148,-0.086535,-0.064883,0.081787,-0.05026,-0.044073
"M682.262T843.183",-0.050463,-0.13538,0.14605,-0.064948,0.0034687,-0.0017846,0.10685,0.00058781
"M576.484T1473.551",0.088949,-0.015004,-0.017968,-0.055812,-0.070534,0.032476,0.0037558,-0.011408
"M764.518T1295.888",-0.025315,-0.098047,-0.14513,0.12739,-0.11607,0.10289,-0.10119,0.067432
"M471.313T1295.888",-0.07403,0.035389,-0.08942,0.022353,-0.00011141,-0.10754,0.14528,-0.07661
"M617.506T1594.034",0.086373,-0.054138,-0.0741,-0.017653,-0.035847,0.12984,-0.12663,0.032326
"M534.402T1422.678",0.079138,-0.02012,-0.030841,0.1028,-0.15614,0.058256,0.031454,0.047683
