"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C12.3",-7.1983,0.47936,-1.1264,1.2722,1.2089,-0.94838,0.96319,-0.061388
"C12.4",-6.3318,-0.1081,-0.13612,1.0754,-1.8174,1.1496,-0.75204,0.16356
"D12.1",-0.13896,-1.7902,1.6199,-0.76735,-0.097176,-0.26827,0.6712,0.80726
"D12.2",0.14419,-0.063662,-1.0133,-2.8913,-1.2535,-0.64006,0.21042,-0.18286
"D12.3",-1.0561,0.12047,-0.81121,-3.0219,1.3815,0.72712,-0.89867,-0.22795
"D12.4",-0.91212,-1.673,2.0601,-0.066655,0.3188,-0.57708,-0.33709,0.019586
"F12.1",3.3009,-0.56515,-1.1065,0.94949,-0.2799,-1.0693,-0.36724,-1.1919
"F12.2",2.5182,-0.95803,-0.099456,0.80109,0.60175,1.6498,1.1374,-1.2941
"F12.4",4.0676,-1.2478,-1.5102,1.8105,0.14917,-0.0044962,-0.83729,1.3055
"X12.1",2.8221,1.737,0.37295,0.0041837,-1.2553,-0.17097,0.91693,-0.2407
"X12.2",0.70193,2.0964,1.6137,0.8987,0.51906,-0.22334,-1.1705,-0.86268
"X12.3",2.0825,1.9727,0.13638,-0.064297,0.52412,0.37545,0.46373,1.7657
