sample,condition,sodium_formate,M589.459T1372.544,M285.134T1052.907,M569.292T994.771,M637.414T1384.421,M867.584T1358.969,M593.485T1401.37,M985.571T1146.934,M593.49T1490.213,M639.424T1291.55,M986.591T1195.638,M926.605T1358.969,M593.49T1557.453,M587.442T1269.605,M593.49T1539.529,M423.198T1506.423,M547.402T1437.709,M879.468T1338.726,M556.445T1212.039,M668.509T1456.373,M618.492T1624.789,M393.189T1440.567,M629.464T1456.367,M555.454T1439.586,M592.477T1439.652,M889.305T842.452,M513.307T1059.952,M630.465T1474.173,M329.158T1625.781,M660.517T1423.005,M670.538T1472.8,M513.251T1355.541,M882.48T1339.403,M839.506T1306.415,M575.477T1491.784,M564.206T918.312,M564.208T942.149,M343.224T1621.712,M609.455T1145.906,M771.504T1195.638,M523.36T1271.932,M660.514T1439.78,M351.253T1019.694,M949.553T1173.004,M875.492T1306.216,M979.313T847.893,M349.196T1335.803,M691.436T1356.203,M575.479T1456.772,M919.292T824.161,M545.37T1372.761,M1085.421T973.898,M1114.854T834.347,M987.579T1163.004,M441.224T1179.269,M899.349T990.311,M659.418T1406.262,M841.471T1389.363,M655.418T1389.36,M575.479T1473.048,M575.481T1540.694,M684.476T1302.601,M331.187T1104.601,M549.424T1386.472,M423.211T1338.363,M886.353T1006.792,M585.283T918.479,M956.379T959.199,M329.157T1608.526,M549.19T901.604,M822.526T1212.039,M351.108T857.905,M640.557T1608.472,M423.212T1319.031,M541.474T1573.977,M519.225T1025.439,M817.32T1025.439,M629.459T1473.698,M847.517T1163.004,M898.349T936.403,M652.416T1356.524,M449.365T1540.699,M537.533T1295.888,M561.396T1195.638,M530.218T901.604,M812.538T1253.346,M495.298T1036.333,M367.15T410.425,M589.228T896.878,M617.489T1624.961,M535.409T1440.116,M673.432T1355.711,M817.317T940.819,M438.146T926.75,M535.375T1490.352,M808.52T1220.972,M577.49T1591.335,M1059.419T884.787,M813.332T1056.081,M869.334T919.017,M449.347T1490.033,M374.303T1319.161,M504.265T1099.137,M479.188T913.185,M291.195T1053.001,M821.505T1179.269,M820.327T1006.792,M764.518T1295.888,M471.313T1295.888,M534.402T1422.678,M765.518T1313.696,M1003.558T1223.957,M415.326T1295.888,M653.413T1286.062,M1102.351T817.469,M549.424T1473.203,M787.545T1575.098,M567.43T1421.35,M798.839T1023.188,M764.517T1325.086,M677.438T1339.916,M832.307T992.353,M455.315T1295.888,M297.239T1626.197,M471.314T1308.231,M455.313T1308.231,M392.284T1436.378,M399.308T1262.042,M549.428T1523.962,M807.348T918.929,M542.478T1573.977,M522.261T1109.944,M653.412T1258.482,M475.412T1607.605,M653.413T1377.63,M330.263T1492.022,M447.35T1507.107,M722.259T892.9,M523.599T1382.768,M549.431T1507.08,M330.262T1456.934,M435.346T1540.43,M576.484T1557.453,M467.383T1523.593,M951.603T1424.253,M477.403T1542.988,M477.407T1590.788,M549.426T1489.95,M471.336T1557.26,M330.263T1439.913,M629.529T1601.79,M505.27T1240.129,M576.533T1641.124,M619.438T1245.233,M313.161T1621.4,M505.253T1269.605,M494.565T1319.161,M535.447T1540.43,M477.398T1574.327,M691.433T1253.346,M341.283T1305.932,M330.261T1473.013,M339.172T1490.329,M477.343T1423.013,M332.328T1440.13,M494.563T1509.9,M481.362T1591.564,M443.333T1262.042,M510.367T1523.593,M545.456T1607.833,M669.539T1543.447,M669.531T1507.08,M383.284T1439.726,M589.501T1621.712,M534.444T1557.26,M494.565T1422.678,M609.518T1624.418,M465.265T1237.073,M605.432T1239.559
D12.1,Drought,4036645.716,226027.719,153462.067,94825.907,211600.274,70727.559,282573.673,145460.725,289759.181,136206.788,88307.664,21307.465,299213.898,63126.516,292686.325,637786.87,351511.651,69612.409,18602.835,116576.693,128297.163,157820.758,337661.667,264694.247,198719.125,99537.774,467060.357,131454.341,117679.489,123230.604,141942.002,173294.397,50047.893,100146.092,611083.55,184154.155,182264.911,80808.974,34086.016,298331.091,171328.284,125330.569,227626.276,176281.393,103790.238,149586.982,388023.08,303062.323,604087.932,125706.736,135805.933,39370.151,51423.471,175855.759,71925.386,80806.453,62706.236,60880.243,147693.546,616729.292,616845.483,85455.616,354493.088,339992.926,189278.809,87661.627,46107.503,134121.394,123320.676,157256.999,118934.355,255208.657,78178.298,194131.083,124532.059,448614.275,95930.257,315554.708,279290.478,102085.497,179345.927,208962.22,9693.615,71730.84,116481.239,41197.952,77717.034,150378.66,69535.283,230807.574,168446.347,161917.57,157911.83,145821.692,194845.03,50551.562,216002.902,137583.518,85113.502,165720.877,149596.968,48331.565,118054.691,431684.869,442613.04,145096.405,125801.709,115943.171,147749.417,154960.032,132439.83,103945.046,180245.778,181515.971,78703.363,277157.343,97073.496,88830.092,70931.888,153436.609,295698.899,246891.814,234281.334,138049.368,267955.708,315931.602,154919.199,132589.419,106404.593,11604876.95,60094.731,76183.448,160775.707,42608.113,161604.022,135283.934,69949.354,93337.556,208311.899,168451.468,102728.976,75207.081,126762.876,155396.475,142506.451,70969.575,93016.962,193435.432,130067.098,108400.102,246765.089,338101.753,56505.779,104462.331,65577.015,199025.692,170665.03,86982.884,79089.542,255155.928,98908.37,102728.976,39829.137,54302.075,118710.287,274363.253,44825.319,189027.685,89218.123,104034.303,98310.4,92604.528,154353.278,56077.757,111317.126,254955.065,60977.184,201901.283,185347.275
D12.2,Drought,3843867.149,2.28E+05,2.92E+05,1.20E+05,1.95E+05,7.40E+04,3.06E+05,9.74E+04,3.25E+05,1.09E+05,9.29E+04,2.99E+04,3.30E+05,7.41E+04,3.20E+05,6.37E+05,3.33E+05,8.22E+04,3.08E+04,1.43E+05,1.23E+05,1.65E+05,3.41E+05,2.23E+05,2.18E+05,7.41E+04,7.93E+05,1.46E+05,1.33E+05,1.30E+05,1.35E+05,2.55E+05,3.66E+04,1.10E+05,5.75E+05,2.16E+05,2.05E+05,8.27E+04,2.36E+04,2.64E+05,1.39E+05,1.38E+05,4.29E+05,1.92E+05,1.26E+05,1.68E+05,3.13E+05,3.28E+05,5.56E+05,1.24E+05,1.08E+05,5.98E+04,3.85E+04,1.38E+05,6.79E+04,5.95E+04,7.97E+04,5.02E+04,1.43E+05,5.82E+05,5.89E+05,8.47E+04,3.26E+05,2.84E+05,1.89E+05,5.36E+04,7.01E+04,1.05E+05,1.41E+05,2.73E+05,1.12E+05,2.36E+05,8.26E+04,1.89E+05,1.69E+05,1.90E+05,5.40E+04,3.17E+05,1.92E+05,7.85E+04,1.74E+05,2.25E+05,3.88E+04,4.89E+04,1.47E+05,6.87E+04,1.02E+05,2.02E+05,5.95E+04,2.47E+05,1.47E+05,1.59E+05,1.52E+05,9.72E+04,1.76E+05,5.25E+04,2.16E+05,2.23E+05,7.09E+04,1.56E+05,1.58E+05,5.56E+04,8.68E+04,1.34E+05,2.47E+05,1.43E+05,7.41E+04,1.46E+05,1.36E+05,1.40E+05,1.26E+05,1.22E+05,1.22E+05,1.67E+05,6.63E+04,1.86E+05,7.99E+04,9.81E+04,7.12E+04,1.41E+05,2.60E+05,1.40E+05,2.41E+05,1.33E+05,1.73E+05,2.72E+05,1.42E+05,2.14E+05,1.20E+05,1.20E+06,5.54E+04,1.13E+05,1.38E+05,5.07E+04,1.25E+05,1.21E+05,8.50E+04,6.64E+04,2.35E+05,1.49E+05,1.07E+05,7.99E+04,1.31E+05,9.40E+04,5.11E+05,9.41E+04,1.07E+05,1.26E+05,1.08E+05,1.07E+05,2.39E+05,3.04E+05,5.52E+04,1.05E+05,6.54E+04,1.93E+05,2.16E+05,9.24E+04,9.98E+04,2.95E+05,1.12E+05,1.07E+05,3.73E+04,5.66E+04,1.13E+05,3.22E+05,4.16E+04,1.79E+05,8.45E+04,9.36E+04,1.45E+05,1.31E+05,1.80E+05,7.00E+04,1.00E+05,2.93E+05,6.23E+04,2.36E+05,2.31E+05
D12.3,Drought,3845185.216,126610.206,232329.913,129907.456,152124.445,49353.927,315815.576,149300.626,329718.667,101587.379,123095.507,47911.428,336005.66,52482.374,336590.26,717697.444,251916.895,90657.927,33383.517,96121.832,151873.744,174654.81,344133.568,177272.735,175740.263,69766.621,927941.227,121561.385,102079.73,81819.603,99916.286,196237.028,62152.4,147035.777,599231.77,162588.284,158378.459,57266.216,56132.184,520888.168,167483.681,85843.712,502151.661,236564.455,151978.813,154039.91,304952.73,423289.766,599343.168,100252.272,91537.25,43807.161,38679.597,219407.718,101269.672,55254.179,63426.708,52988.957,128895.229,604621.6,604896.897,74305.472,401204.188,228902.476,263841.304,62524.275,57735.618,91598.976,102079.73,135376.525,158530.027,214382.285,99667.144,263685.58,226777.296,191944.522,46374.544,212653.253,224740.629,75940.387,193038.666,163592.969,16166.711,68542.446,92985.446,59027.318,58880.389,51157.363,55760.024,336486.533,117830.612,170442.84,153473.812,98395.849,137076.318,63695.341,279259.416,73948.295,44266.014,108493.753,113759.953,55980.849,145850.339,287562.593,368403.096,202588.397,70964.707,106402.624,134672.789,93524.218,151163.635,147201.719,144091.106,141001.252,59550.559,156161.062,78335.827,68037.971,28014.41,132726.69,160332.039,82943.155,200179.372,104980.909,180197.744,244282.928,142158.075,135846.553,65794.911,2373636.177,99626.698,87559.793,127405.776,55928.277,101088.931,128550.539,81049.611,57704.086,209973.236,118372.837,109555.22,75514.832,122421.81,124758.187,335187.966,77218.281,87247.953,117594.929,80275.754,112890.062,164330.099,316976.845,58843.445,103155.111,60961.809,209952.555,148350.007,65632.346,77171.896,323104.094,94421.857,105959.531,34150.477,50316.099,125971.397,291615.877,34704.152,167800.688,81016.558,82007.949,70367.84,61504.121,165413.507,47558.667,59693.29,249733.748,53759.67,203943.557,151869.449
D12.4,Drought,4021607.908,1.24E+05,1.51E+05,9.16E+04,1.75E+05,3.23E+04,2.79E+05,1.55E+05,2.91E+05,8.97E+04,1.13E+05,2.43E+04,3.02E+05,4.69E+04,2.97E+05,6.21E+05,2.85E+05,7.89E+04,2.44E+04,9.38E+04,1.22E+05,1.56E+05,2.90E+05,1.93E+05,1.85E+05,8.35E+04,4.83E+05,1.01E+05,1.04E+05,9.07E+04,1.19E+05,1.74E+05,3.85E+04,1.20E+05,4.78E+05,1.93E+05,1.83E+05,6.54E+04,3.99E+04,3.14E+05,1.98E+05,8.83E+04,2.57E+05,1.98E+05,1.01E+05,1.61E+05,2.85E+05,3.34E+05,4.66E+05,1.09E+05,1.18E+05,4.60E+04,3.24E+04,1.49E+05,8.96E+04,9.58E+04,4.83E+04,6.31E+04,1.29E+05,4.83E+05,4.83E+05,6.35E+04,3.43E+05,2.76E+05,1.87E+05,8.46E+04,4.55E+04,1.30E+05,1.18E+05,1.64E+05,1.24E+05,1.93E+05,8.11E+04,1.97E+05,1.00E+05,3.88E+05,8.49E+04,2.26E+05,3.48E+05,1.12E+05,1.87E+05,1.96E+05,1.33E+04,5.15E+04,1.05E+05,6.14E+04,8.79E+04,1.88E+05,6.23E+04,2.62E+05,1.56E+05,1.57E+05,2.39E+05,1.34E+05,1.77E+05,4.52E+04,1.90E+05,9.80E+04,8.82E+04,1.62E+05,1.36E+05,7.60E+04,9.12E+04,3.75E+05,3.66E+05,1.59E+05,1.08E+05,1.40E+05,1.06E+05,1.32E+05,1.25E+05,9.21E+04,1.81E+05,1.60E+05,8.28E+04,2.24E+05,9.05E+04,7.45E+04,7.89E+04,1.89E+05,2.98E+05,2.15E+05,2.42E+05,1.08E+05,2.03E+05,3.04E+05,1.52E+05,1.41E+05,1.03E+05,1.13E+07,6.02E+04,7.42E+04,1.46E+05,3.33E+04,1.40E+05,1.40E+05,7.87E+04,8.28E+04,2.34E+05,1.34E+05,1.03E+05,7.51E+04,1.34E+05,1.03E+05,9.79E+04,8.54E+04,1.07E+05,1.66E+05,1.13E+05,1.06E+05,1.49E+05,4.66E+05,6.39E+04,9.61E+04,7.54E+04,3.18E+05,1.92E+05,7.71E+04,9.01E+04,2.39E+05,1.52E+05,1.03E+05,3.19E+04,5.21E+04,1.21E+05,3.03E+05,6.56E+04,1.71E+05,9.61E+04,9.15E+04,8.83E+04,7.37E+04,1.52E+05,3.97E+04,1.10E+05,2.74E+05,5.39E+04,2.30E+05,1.47E+05
F12.1,Fusarium,4043455.006,1.77E+05,5.95E+04,3.99E+04,2.12E+05,5.04E+03,3.41E+05,1.11E+05,3.50E+05,1.21E+05,7.86E+04,2.69E+04,3.61E+05,5.23E+04,3.39E+05,6.72E+05,4.02E+05,1.76E+05,1.15E+04,1.48E+05,1.63E+05,1.75E+05,4.62E+05,2.88E+05,3.02E+05,4.92E+04,2.29E+05,1.93E+05,1.33E+05,1.94E+05,2.01E+05,2.20E+05,9.36E+04,1.59E+05,6.67E+05,1.90E+05,1.85E+05,1.01E+05,2.17E+04,2.33E+05,1.14E+05,1.95E+05,1.12E+05,1.42E+05,1.34E+05,9.51E+04,2.44E+05,4.85E+05,6.55E+05,8.34E+04,1.33E+05,5.25E+04,2.17E+04,1.47E+05,9.85E+04,6.37E+04,9.88E+04,7.98E+04,1.85E+05,6.73E+05,6.76E+05,7.02E+04,1.71E+05,4.85E+05,1.91E+05,7.32E+04,2.76E+04,9.29E+04,1.23E+05,3.15E+05,1.51E+05,1.09E+05,9.14E+04,1.65E+05,2.27E+05,1.16E+05,4.89E+04,4.32E+05,1.17E+05,8.01E+04,2.33E+05,3.41E+05,7.97E+03,5.70E+04,1.37E+05,4.18E+04,2.83E+04,2.61E+04,5.28E+04,3.25E+05,2.15E+05,1.74E+05,1.60E+05,9.37E+04,2.47E+05,3.08E+04,2.70E+05,2.33E+05,6.72E+04,1.52E+05,2.53E+05,3.73E+04,1.15E+05,1.97E+05,1.14E+05,1.63E+05,7.98E+04,1.42E+05,1.40E+05,1.95E+05,1.32E+05,1.57E+05,1.01E+05,1.98E+05,3.88E+04,2.67E+05,8.39E+04,1.20E+05,6.39E+04,1.73E+05,2.42E+05,8.43E+04,2.05E+05,1.39E+05,2.19E+05,3.02E+05,1.27E+05,1.28E+05,1.61E+05,8.91E+05,1.08E+05,7.53E+04,1.85E+05,5.29E+04,1.74E+05,1.25E+05,8.63E+04,6.31E+04,1.89E+05,1.98E+05,1.09E+05,7.56E+04,1.61E+05,1.78E+05,3.95E+05,1.28E+05,1.37E+05,2.34E+05,1.51E+05,1.12E+05,3.59E+05,3.65E+05,8.51E+04,7.99E+04,8.06E+04,2.02E+05,2.37E+05,1.53E+05,1.28E+05,4.23E+05,9.90E+04,1.09E+05,4.15E+04,6.07E+04,1.22E+05,3.59E+05,9.52E+04,1.25E+05,1.33E+05,1.15E+05,1.50E+05,1.35E+05,1.49E+05,2.16E+05,1.32E+05,3.36E+05,9.87E+04,2.34E+05,2.37E+05
F12.2,Fusarium,3773975.074,163865.837,95671.297,59084.648,170563.001,21154.058,333144.566,112383.819,353585.379,126508.987,86026.052,35548.104,353179.638,43834.814,350202.442,665182.277,297278.502,103215.973,12657.841,132930.815,143552.872,170158.796,363209.301,232846.781,235415.74,65277.94,315444.731,144984.421,148447.812,158401.178,158984.608,199376.318,84624.714,147184.836,635533.517,207224.117,206672.112,101756.236,27294.339,253350.645,93568.47,139082.376,191952.109,141496.239,144519.086,121816.271,252792.326,395947.442,613891.808,101938.209,97473.122,85924.806,23021.589,179227.086,90716.888,70914.6,86844.916,67697.389,153174.454,619324.84,619595.562,63881.172,230103.078,370673.474,179991.11,74981.799,29533.315,115383.971,148481.04,318256.923,102818.522,128616.234,95379.421,179869.195,261700.702,237803.141,86247.989,338296.082,102017.624,103903.108,253448.438,277249.221,8347.275,41886.214,180134.215,37960.585,41769.5,67136.915,83163.393,322768.168,273711.83,150591.258,200632.057,104474.432,231613.795,45389.747,254996.071,251100.083,87189.783,139916.306,214091.118,46823.164,101751.407,303139.477,183139.386,159894.235,92224.196,157640.652,115348.914,188992.166,131971.857,137683.264,124953.624,151322.052,53149.746,320723.932,63978.407,91435.257,71667.855,180994.3,177280.703,151845.349,212516.818,139724.491,194088.799,299855.531,124648.618,117667.682,135569.581,320161.972,109751.451,73667.373,143856.105,54371.933,144679.772,132584.786,94581.533,82529.257,187901.643,166259.475,113688.708,87098.201,168693.101,150611.838,291989.228,94716.514,115987.442,189085.359,152414.519,116439.588,258398.43,401896.939,70381.221,81726.498,62762.731,296611.507,181237.479,150770.061,113245.367,299154.633,99290.489,110712.569,24189.409,65143.335,114870.313,314190.655,85785.75,123040.332,113300.223,109342.913,158046.374,152131.341,160963.186,67764.741,146223.226,271628.714,72865.323,262652.716,155309.795
F12.3,Fusarium,3345590.809,14712.6626,3603.0154,5226.939,48200.3358,7990.8268,66489.44,15277.6498,77789.3816,10545.5781,0,5609.031,77778.7776,8001.3613,77749.3774,524318.7379,222711.2835,7454.3585,2138.8598,37228.8252,43068.2222,163621.3769,100140.6145,66422.4307,40815.9744,8757.1595,14535.6959,45568.1669,130689.5033,33612.4398,38953.4584,34222.4394,2081.1607,35186.681,44426.6845,3573.035,3494.8776,84635.8675,0,5150.7721,0,39450.5652,0,2217.4747,7261.7666,36576.6719,79357.0105,65129.2343,44420.2585,25439.9825,32301.4517,3957.2852,5239.2299,11778.7768,19551.3025,6700.3149,24062.352,4701.369,20453.2298,49585.9596,49567.2153,6989.1055,26853.907,94674.485,94977.372,7985.6678,4625.1565,7025.1252,128071.1241,3281.8508,16834.8815,16492.6358,45035.0672,100973.0051,9605.7539,8510.0997,4066.658,97407.3634,6572.7834,8246.6208,17937.724,156073.219,9502.7629,34395.2096,1509.4282,11133.278,0,21682.0108,3383.002,71725.8192,52800.0806,19517.9384,30482.1778,2844.2707,79513.8467,10077.1133,102007.6504,1271.8575,0,12469.3783,104197.3027,27078.3991,12353.5359,3816.3356,9053.3052,0,1709.2317,16302.922,35012.7303,50417.317,33497.9305,2150.9941,66840.9955,22145.2373,13546.5985,96277.1994,23373.3521,35101.1883,4390.8707,38676.9239,4938.6162,2710.1738,51062.5881,128714.0523,78045.7873,75720.8829,96782.6622,72558.2042,63593.8205,12989.1786,0,19380.7157,19291.7287,36194.638,30026.8467,143946.0237,68236.5698,8841.8462,136725.8644,89217.532,109616.6357,80222.4129,32816.8324,41926.7419,11904.0538,53846.9849,72678.4973,93543.9258,86749.9269,113143.7459,99408.1433,65216.201,26382.3995,22931.4815,86826.8179,59251.7678,325727.6019,62284.7386,65287.2167,25347.4399,98014.9341,104715.9323,55847.73,38625.1666,129346.2146,489330.3933,42591.8727,81901.0392,79412.1113,106818.1635,64128.0678,60730.7014,148961.4287,8998.775,62296.0866,439102.2024,37909.5555,81968.7926,487181.7122
F12.4,Fusarium,3565069.568,117960.702,128288.515,66932.652,173888.749,0,359844.889,92054.447,392041.697,119890.222,86764.012,31699.993,399154.394,44082.819,390489.949,682051.171,303207.901,134227.258,10418.402,136490.024,214683.51,179369.326,420063.859,228223.782,270650.17,37932.111,420868.065,154746.674,122532.021,123931.905,134731.479,225397.195,90899.988,143205.077,628600.599,179505.162,175518.853,112674.128,16178.189,290009.218,55499.285,123238.256,237060,181233.844,163853.759,79708.723,213177.098,443493.31,628544.722,80671.3,126419.267,57430.33,10167.475,145291.469,75087.616,70731.452,45771.089,98147.197,145605.827,644739.478,643868.214,54439.822,170578.066,336726.319,215295.112,82175.224,25711.265,111144.508,160809.376,426018.396,172864.45,153354.746,115510.812,182964.435,174759.356,163429.823,73676.076,400797.367,174655.045,112179.365,246905.74,317794.473,0,37385.455,181839.103,39303.614,69761.11,28918.809,102191.767,467331.438,218933.963,194914.761,149283.049,110000.288,263495.049,46258.9,309666.434,351432.379,54107.162,117993.47,244854.871,17076.367,99608.191,198149.805,194649.973,191155.507,64943.838,256218.372,95587.757,248373.138,137101.674,173934.925,88474.092,160333.854,42336.295,291152.486,108466.074,124535.242,119034.899,283217.163,180539.475,93960.953,210972.281,145069.031,156426.684,272068.497,98501.067,91878.445,140501.978,1231520.939,79386.131,75303.924,147664.815,66108.413,142662.19,126797.13,75445.921,71557.1,211283.462,184426.032,104960.973,89019.633,168850.105,101095.872,538493.035,111848.974,123815.635,220140.569,141845.353,104941.687,363855.34,281110.983,71076.644,63128.596,51501.376,205886.039,241284.985,141824.758,116774.079,334288.159,90301.759,104960.973,40215.54,59394.568,107630.86,396602.79,51280.622,90706.526,253461.846,143797.685,224496.822,210952.262,142025.401,326276.896,178976.951,360053.818,73531.533,235810.566,323848.024
BLANK.2,Other,3680698.477,3998.0049,2482.1616,2515.551,41628.8069,6016.5501,53538.4039,11917.3594,61226.368,20888.2664,7312.2013,2755.3582,63930.3186,5165.6322,63948.6407,566826.0527,211829.8932,11896.5402,10398.1149,39634.4379,56998.3487,143534.668,90429.305,63742.674,36834.8188,19658.8328,9123.3997,41543.0986,118875.9459,30557.3778,41175.4122,19934.4674,2217.1069,19981.2021,10283.4097,1776.7739,0,71345.0996,11974.3082,5031.3647,0,30183.3746,2448.5578,2113.1167,8491.7552,44393.6405,88713.4531,86819.0775,10280.9155,20505.3414,61524.2045,1964.0316,16697.9195,2884.6405,15295.1596,7022.509,25324.895,12351.9222,22387.8042,10280.1445,10281.0416,11649.7717,22405.6023,82403.0942,114683.9707,12367.085,4650.5535,13239.1722,131589.0839,1478.5832,10029.2057,13940.7375,58549.35,120480.4626,7623.7215,6390.1904,0,88275.6055,6238.8333,10802.243,38683.3068,177806.3072,10747.8212,24687.1412,0,16771.6336,0,14097.3879,0,137437.2228,48198.5045,31389.8695,31295.8318,6159.4053,67239.6344,15597.0669,106120.8037,2780.896,2515.6189,14597.4355,121515.8769,40727.625,3387.6853,1322.6863,14287.068,3320.6786,0,26886.1738,42536.7744,68297.3919,60358.0469,7185.5128,90118.4999,27169.0832,14036.0322,87631.5591,10677.7506,35505.7125,6205.1757,69756.3985,15242.5163,7681.9787,100429.2939,123567.6635,82504.9773,127520.2274,119570.133,100576.9347,46480.2344,1847.9355,3359.1357,18615.3622,23195.1037,25983.5593,30567.0668,135806.3923,69448.0106,11995.7253,210897.2758,79866.9456,114084.608,66094.4827,25245.283,73786.5943,2991.372,56109.5131,68590.9235,81157.4442,83888.4283,114060.2786,63886.8421,178912.5361,17797.8111,64598.9192,63797.5098,93218.0304,181959.6172,62173.2235,63482.4869,32157.0411,102105.6752,114084.608,37688.7671,36096.3154,118662.2812,321096.2535,46768.8111,129068.699,83273.7186,108125.3894,72368.8783,65684.4322,141114.1729,24637.5779,65764.097,273742.5189,54735.6979,107135.9163,125434.2664
QC.1,Other,4066641.635,104409.0261,160927.1464,102229.2876,139944.5964,32248.8127,272104.2977,125480.2053,289607.0826,95363.5705,91905.4998,17132.1935,292353.5566,44571.1142,289508.9724,623271.4154,276375.4688,73566.5465,21989.7654,104592.5187,137223.9275,157167.9668,304003.377,178568.0123,167705.2697,54469.6513,484322.2754,101020.2308,137886.0331,96138.782,100401.588,156313.2123,52645.1597,103178.3335,488346.8245,150000.642,149868.5035,97398.7144,29296.7987,305789.3173,198384.6804,100335.561,256953.3558,164930.2646,90397.9922,126586.7449,235243.8086,379234.4117,474626.9531,93212.574,100815.4162,63343.8351,28041.9727,164060.4205,83939.4958,63950.9175,63719.4718,62567.3732,122554.1057,493930.3513,493930.3513,58708.3981,401873.1447,259504.9943,211481.4517,64002.6781,25439.9773,80937.1736,145660.0344,164716.2175,121785.99,148098.7458,80158.4933,211316.6492,124988.6426,267834.7441,75782.5518,285452.661,328151.5409,91227.812,201532.9432,185330.088,18270.7546,51353.1282,108216.9492,55497.2738,80532.315,145910.3187,45681.1605,246421.2727,131365.0613,145661.5323,155674.9852,87106.5401,156692.304,47163.1337,231100.4514,107488.4434,55681.0671,113498.765,131822.7661,56551.2584,114212.4009,303354.9733,425410.4427,162897.8392,55443.153,145936.5132,103692.3171,116439.2733,147989.4663,108165.9555,160861.6963,148538.7358,55500.4531,227203.6331,121841.6792,101591.0896,67887.5964,215420.063,164956.9918,167830.2626,202242.3598,143638.237,201023.9374,262257.4906,153390.5138,122073.0509,116249.2284,4863569.698,56845.2864,90833.0683,143660.6152,58074.3031,138299.4139,157056.408,68686.5427,68042.5539,264040.2347,145549.236,123821.9636,87745.3609,119350.2081,78910.7123,148407.7854,58914.8385,77279.8996,179581.4385,134566.7156,120764.4175,212935.6676,322269.6976,54376.0282,88823.6815,72393.5838,157923.9017,233923.5235,86278.9036,69188.0151,283373.5272,119120.7285,114707.6804,41072.9414,43198.3125,115954.1101,350573.4375,47650.3954,119173.7738,93472.3433,133002.0623,129836.0651,121139.8689,130752.7509,48466.1092,115738.0799,325184.7454,62616.9089,146463.6862,106029.4818
