"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4"
"Label","Control","Control","Drought","Drought","Drought","Drought"
"M589.459T1372.544","-0.52067928","-0.27593586"," 0.47536691"," 0.53486901","-0.07289424","-0.14072654"
"M285.134T1052.907"," 0.04418015"," 0.30014113","-0.42962589"," 0.40255468"," 0.12733216","-0.44458223"
"M569.292T994.771"," 0.06622642"," 0.20467238","-0.31443447"," 0.14050353"," 0.26686416","-0.36383201"
"M637.414T1384.421","-0.2895867","-0.1716782"," 0.3298788"," 0.2736784","-0.1528169"," 0.0105246"
"M867.584T1358.969","-0.36380408","-0.27212030"," 0.42401662"," 0.52414795"," 0.09308618","-0.40532638"
"M593.485T1401.37","-0.421325127","-0.049648032","-0.005009254"," 0.220957801"," 0.275842020","-0.020817409"
"M985.571T1146.934"," 0.24238874"," 0.35904656","-0.07867448","-0.55894112"," 0.02313423"," 0.01304608"
"M593.49T1490.213","-0.41814496","-0.07121551","-0.02726273"," 0.25304268"," 0.27713641","-0.01355589"
"M639.424T1291.55"," 0.01521140"," 0.34990866"," 0.23800093","-0.03711085","-0.14907679","-0.41693336"
"M986.591T1195.638"," 0.27352145"," 0.48259363","-0.42075637","-0.29436359"," 0.06223763","-0.10323275"
"M926.605T1358.969","-0.71486173"," 0.04020420","-0.16298448"," 0.20922220"," 0.66169037","-0.03327056"
"M593.49T1557.453","-0.428639695","-0.091832187","-0.008009684"," 0.242110246"," 0.272240831"," 0.014130488"
"M587.442T1269.605"," 0.24506089"," 0.31465355","-0.06403556"," 0.22434827","-0.25159468","-0.46843247"
"M593.49T1539.529","-0.397081651","-0.164342541","-0.004422678"," 0.227567086"," 0.311867364"," 0.026412420"
"M423.198T1506.423"," 0.1849383"," 0.1781125","-0.1946935","-0.0910850"," 0.1672499","-0.2445222"
"M547.402T1437.709","-0.17682277","-0.53436805"," 0.34013521"," 0.33336946","-0.03258867"," 0.07027481"
"M879.468T1338.726","-0.64422900"," 0.34943973","-0.12607931"," 0.13565871"," 0.25439084"," 0.03081902"
"M556.445T1212.039","-0.10401341"," 1.12848281","-0.52917660","-0.11578184","-0.05581524","-0.32369573"
