"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought"
"sodium_formate","3985225.417","3922751.054","3861917.098","4036645.716","3843867.149","3845185.216","4021607.908"
"M589.459T1372.544","22898.1671","83715.581","104461.691","226027.719","228000","126610.206","124000"
"M285.134T1052.907","10686.981","221176.579","269413.681","153462.067","292000","232329.913","151000"
"M569.292T994.771","1421.487","116906.609","125497.818","94825.907","120000","129907.456","91600"
"M637.414T1384.421","53442.2594","143299.106","151115.548","211600.274","195000","152124.445","175000"
"M867.584T1358.969","18354.2891","32761.048","35158.164","70727.559","74000","49353.927","32300"
"M593.485T1401.37","156741.0441","216680.445","263561.921","282573.673","306000","315815.576","279000"
"M985.571T1146.934","1537.3531","178876.252","191828.13","145460.725","97400","149300.626","155000"
"M593.49T1490.213","171483.425","224110.018","270191.106","289759.181","325000","329718.667","291000"
"M639.424T1291.55","13470.6348","114977.203","139862.171","136206.788","109000","101587.379","89700"
"M986.591T1195.638","6681.5984","148335.411","172198.193","88307.664","92900","123095.507","113000"
"M926.605T1358.969","8431.9458","11644.476","25191.321","21307.465","29900","47911.428","24300"
"M593.49T1557.453","180130.219","227135.224","272513.5","299213.898","330000","336005.66","302000"
"M587.442T1269.605","13190.0309","76765.522","79488.415","63126.516","74100","52482.374","46900"
"M593.49T1539.529","168190.1966","225122.252","254580.076","292686.325","320000","336590.26","297000"
"M423.198T1506.423","593411.8484","738161.86","724434.323","637786.87","637000","717697.444","621000"
"M547.402T1437.709","200879.6187","230201.896","172493.958","351511.651","333000","251916.895","285000"
"M879.468T1338.726","3205.6913","44184.472","98451.371","69612.409","82200","90657.927","78900"
"M556.445T1212.039","3942.2917","31930.752","163353.676","18602.835","30800","33383.517","24400"
"M668.509T1456.373","46595.9331","71107.661","95899.971","116576.693","143000","96121.832","93800"
"M618.492T1624.789","50694.5957","70032.295","106798.057","128297.163","123000","151873.744","122000"
"M393.189T1440.567","146768.0189","169388.244","155747.588","157820.758","165000","174654.81","156000"
"M629.464T1456.367","156744.2698","286333.224","305526.038","337661.667","341000","344133.568","290000"
"M555.454T1439.586","86625.4791","158662.419","198439.434","264694.247","223000","177272.735","193000"
"M592.477T1439.652","53174.349","129919.406","189541.22","198719.125","218000","175740.263","185000"
"M889.305T842.452","5406.244","32551.846","61297.672","99537.774","74100","69766.621","83500"
"M513.307T1059.952","93412.0714","942716.402","928715.846","467060.357","793000","927941.227","483000"
"M630.465T1474.173","58363.9243","95043.929","118291.147","131454.341","146000","121561.385","101000"
"M329.158T1625.781","115728.4351","94952.883","72574.306","117679.489","133000","102079.73","104000"
"M660.517T1423.005","44944.4427","59501.118","83916.64","123230.604","130000","81819.603","90700"
"M670.538T1472.8","90766.6722","79878.439","110017.904","141942.002","135000","99916.286","119000"
"M513.251T1355.541","22679.4349","226532.943","284481.147","173294.397","255000","196237.028","174000"
"M882.48T1339.403","2833.8675","41238.903","83587.362","50047.893","36600","62152.4","38500"
"M839.506T1306.415","21629.3499","123667.664","134406.402","100146.092","110000","147035.777","120000"
"M575.477T1491.784","51828.3738","396062.429","474009.313","611083.55","575000","599231.77","478000"
"M564.206T918.312","14449.2054","72246.027","159157.715","184154.155","216000","162588.284","193000"
"M564.208T942.149","14452.3426","72261.713","154063.082","182264.911","205000","158378.459","183000"
"M343.224T1621.712","92913.615","74256.778","76141.645","80808.974","82700","57266.216","65400"
"M609.455T1145.906","6740.1617","213102.146","159285.699","34086.016","23600","56132.184","39900"
"M771.504T1195.638","15659.5635","2245550.871","923252.551","298331.091","264000","520888.168","314000"
"M523.36T1271.932","5383.0818","90698.732","26915.409","171328.284","139000","167483.681","198000"
"M660.514T1439.78","53435.1168","64048.514","84776.995","125330.569","138000","85843.712","88300"
"M351.253T1019.694","1520.0722","527161.428","557457.259","227626.276","429000","502151.661","257000"
"M949.553T1173.004","6534.1658","287701.91","304004.312","176281.393","192000","236564.455","198000"
"M875.492T1306.216","8245.2166","155010.606","163775.175","103790.238","126000","151978.813","101000"
"M979.313T847.893","19186.6118","92208.476","141842.26","149586.982","168000","154039.91","161000"
"M349.196T1335.803","75647.5845","276402.411","325289.758","388023.08","313000","304952.73","285000"
"M691.436T1356.203","154783.5503","474924.558","498460.371","303062.323","328000","423289.766","334000"
"M575.479T1456.772","48282.7975","370685.513","418133.836","604087.932","556000","599343.168","466000"
"M919.292T824.161","18116.16","79143.518","98309.012","125706.736","124000","100252.272","109000"
"M545.37T1372.761","64437.8885","302206.961","501401.305","135805.933","108000","91537.25","118000"
"M1085.421T973.898","2067.7404","16936.01","42844.698","39370.151","59800","43807.161","46000"
"M1114.854T834.347","1632.2042","18760.064","39563.037","51423.471","38500","38679.597","32400"
"M987.579T1163.004","3790.8404","262791.614","292594.352","175855.759","138000","219407.718","149000"
"M441.224T1179.269","21410.8204","204453.412","236661.998","71925.386","67900","101269.672","89600"
"M899.349T990.311","9439.3442","36165.836","46198.488","80806.453","59500","55254.179","95800"
"M659.418T1406.262","20041.8402","41430.614","45006.678","62706.236","79700","63426.708","48300"
"M841.471T1389.363","11133.0174","49892.71","48079.15","60880.243","50200","52988.957","63100"
"M655.418T1389.36","15634.8247","135264.745","132831.438","147693.546","143000","128895.229","129000"
"M575.479T1473.048","53767.9902","330893.103","375060.77","616729.292","582000","604621.6","483000"
"M575.481T1540.694","55946.6022","330893.103","375060.77","616845.483","589000","604896.897","483000"
"M684.476T1302.601","13097.9795","73296.677","89611.488","85455.616","84700","74305.472","63500"
"M331.187T1104.601","23353.744","294471.293","357966.739","354493.088","326000","401204.188","343000"
"M549.424T1386.472","81933.5463","177754.677","268521.32","339992.926","284000","228902.476","276000"
"M423.211T1338.363","122076.2597","310222.07","269250.678","189278.809","189000","263841.304","187000"
"M886.353T1006.792","9396.4631","35386.349","54429.982","87661.627","53600","62524.275","84600"
"M585.283T918.479","4197.5368","57708.363","67834.892","46107.503","70100","57735.618","45500"
"M956.379T959.199","14181.0908","48687.792","84594.569","134121.394","105000","91598.976","130000"
"M329.157T1608.526","122997.5359","94952.883","85513.005","123320.676","141000","102079.73","118000"
"M549.19T901.604","20566.5312","102832.656","274541.633","157256.999","273000","135376.525","164000"
"M822.526T1212.039","20208.255","210598.901","205964.119","118934.355","112000","158530.027","124000"
"M351.108T857.905","21445.2347","289118.119","176069.92","255208.657","236000","214382.285","193000"
"M640.557T1608.472","52851.229","54887.321","61274.378","78178.298","82600","99667.144","81100"
"M423.212T1319.031","126128.3267","320811.701","278610.073","194131.083","189000","263685.58","197000"
"M541.474T1573.977","5777.828","52112.167","58834.071","124532.059","169000","226777.296","1e+05"
"M519.225T1025.439","2596.0179","34676.039","129507.647","448614.275","190000","191944.522","388000"
"M817.32T1025.439","4833.8009","10536.783","41665.759","95930.257","54000","46374.544","84900"
"M629.459T1473.698","154737.2125","288053.576","279524.287","315554.708","317000","212653.253","226000"
"M847.517T1163.004","2174.9207","874899.681","875194.389","279290.478","192000","224740.629","348000"
"M898.349T936.403","9190.3884","48918.711","69643.952","102085.497","78500","75940.387","112000"
"M652.416T1356.524","28020.5514","162743.201","209119.406","179345.927","174000","193038.666","187000"
"M449.365T1540.699","155479.3609","174479.126","204876.936","208962.22","225000","163592.969","196000"
"M537.533T1295.888","8050.1714","68647.361","58469.949","9693.615","38800","16166.711","13300"
