"","PC1","PC2","PC3","PC4","PC5","PC6"
"M589.459T1372.544",0.083399,-0.050344,-0.066218,-0.1133,0.11524,-0.56558
"M285.134T1052.907",-0.036494,-0.076801,-0.17651,-0.012798,-0.063467,0.45114
"M569.292T994.771",-0.03165,-0.033623,-0.13464,0.048843,-0.0060596,-0.20432
"M637.414T1384.421",0.050415,-0.026377,0.00086036,-0.085606,0.058921,0.26694
"M867.584T1358.969",0.0632,-0.031491,-0.13301,-0.094631,0.18548,-0.18823
"M593.485T1401.37",0.044048,-0.040405,-0.076664,0.055338,-0.021,-0.013866
"M985.571T1146.934",-0.055524,-0.0021995,0.093805,0.10523,0.056862,-0.0096373
"M593.49T1490.213",0.045167,-0.037717,-0.083474,0.050361,-0.035458,-0.014995
"M639.424T1291.55",-0.025244,-0.077541,-0.0068919,-0.035949,0.20742,-0.013272
"M986.591T1195.638",-0.073624,-0.036415,0.003735,0.092485,-0.059599,0.038087
"M926.605T1358.969",0.060039,-0.071748,-0.13785,0.18121,-0.055917,-0.033844
"M593.49T1557.453",0.048271,-0.034144,-0.075823,0.050482,-0.036055,0.029741
"M587.442T1269.605",-0.048776,-0.065091,-0.07018,-0.10585,0.080419,0.027027
"M593.49T1539.529",0.050269,-0.014499,-0.079318,0.054561,-0.03535,0.00020299
"M423.198T1506.423",-0.038873,-0.0034599,-0.056799,0.050621,0.029485,-0.014252
"M547.402T1437.709",0.066178,0.055337,-0.028039,-0.099932,0.037868,0.043304
"M879.468T1338.726",0.034287,-0.13201,-0.047155,0.11803,-0.063523,-0.035714
"M556.445T1212.039",-0.085835,-0.21725,-0.028155,0.10814,-0.057795,-0.0072835
"M668.509T1456.373",0.054516,-0.081155,-0.082439,-0.068961,0.013855,0.010954
"M618.492T1624.789",0.066107,-0.048488,-0.054731,0.10815,0.013694,-0.023021
"M393.189T1440.567",-0.0098846,0.027278,-0.090036,0.027016,-0.0039816,0.0036127
"M629.464T1456.367",0.02348,-0.025479,-0.094873,0.016535,0.074631,-0.0075709
"M555.454T1439.586",0.044475,-0.067939,0.0087245,-0.066083,0.12508,0.024536
"M592.477T1439.652",0.047295,-0.096821,-0.036637,-0.013646,-0.014938,0.046716
"M889.305T842.452",0.089806,-0.075843,0.035631,0.035313,0.047088,-0.021383
"M513.307T1059.952",-0.065148,-0.023226,-0.16798,0.053576,-0.034912,-0.060654
"M630.465T1474.173",0.033172,-0.071648,-0.10317,-0.032201,0.074926,-0.0034844
"M329.158T1625.781",0.05159,0.049707,-0.07479,-0.0945,-0.0057941,-0.0071465
"M660.517T1423.005",0.068724,-0.079369,-0.038054,-0.083939,0.04876,0.013222
"M670.538T1472.8",0.058334,-0.079403,0.0053368,-0.056033,0.034382,0.052094
"M513.251T1355.541",-0.044611,-0.093734,-0.095026,-0.036581,-0.05519,-0.00023383
"M882.48T1339.403",-0.031612,-0.11148,-0.015058,0.16171,0.14953,-0.069764
"M839.506T1306.415",-0.02849,-0.0080798,-0.060954,0.13118,-0.07301,-0.08059
"M575.477T1491.784",0.051445,-0.033047,-0.077889,0.03314,0.099002,0.058487
"M564.206T918.312",0.082916,-0.1136,-0.019882,0.022151,-0.066208,-0.011379
"M564.208T942.149",0.081855,-0.11089,-0.019344,0.022326,-0.049189,0.040164
"M343.224T1621.712",-0.0079384,-0.055619,-0.011262,-0.14103,0.062572,0.00011854
"M609.455T1145.906",-0.14766,0.0084693,0.046983,0.082771,0.056086,-0.044105
"M771.504T1195.638",-0.14351,0.066745,-0.0086242,0.032624,0.054403,-0.035667
"M523.36T1271.932",0.10296,0.18982,-0.020076,-0.01759,-0.047399,-0.043441
"M660.514T1439.78",0.064979,-0.072237,-0.060705,-0.093434,0.060261,-0.0068888
"M351.253T1019.694",-0.07366,-0.036873,-0.16432,0.059978,-0.062323,0.064984
"M949.553T1173.004",-0.072561,-0.026688,-0.031464,0.066352,-0.025021,-0.0024414
"M875.492T1306.216",-0.058543,-0.029196,-0.10754,0.064418,0.01242,0.044476
"M979.313T847.893",0.060291,-0.078842,-0.033947,0.042379,-0.068449,-0.048404
"M349.196T1335.803",0.021711,-0.056346,-0.0059184,-0.013489,0.18277,-0.057908
"M691.436T1356.203",-0.067438,-0.020665,-0.045158,0.081573,-0.016452,-0.069325
"M575.479T1456.772",0.060217,-0.010207,-0.078966,0.035404,0.098193,0.045798
"M919.292T824.161",0.057329,-0.057777,-0.020277,-0.04052,0.026663,0.037129
"M545.37T1372.761",-0.11483,-0.11401,0.08429,-0.02924,0.068647,0.023422
"M1085.421T973.898",0.075938,-0.13199,-0.063039,0.038628,-0.11344,-0.023274
"M1114.854T834.347",0.06438,-0.11521,-0.015782,0.047215,0.15265,0.042778
"M987.579T1163.004",-0.077468,-0.026203,-0.010728,0.097492,0.12033,0.027289
"M441.224T1179.269",-0.11351,-0.042701,0.031475,0.071684,-0.0055284,0.050741
"M899.349T990.311",0.084244,-0.0087628,0.10229,0.01196,-0.058282,0.005695
"M659.418T1406.262",0.057583,-0.024687,-0.1377,-0.038182,0.034068,0.01528
"M841.471T1389.363",0.037268,0.032443,0.070827,0.017762,-0.0042857,0.021312
"M655.418T1389.36",0.0062501,-0.01994,-0.041219,-0.071078,0.083295,0.013756
"M575.479T1473.048",0.07509,-0.0037646,-0.075792,0.027379,0.069736,-0.014443
"M575.481T1540.694",0.075304,-0.0044734,-0.077951,0.024847,0.067496,0.071104
"M684.476T1302.601",-0.0090076,-0.085845,-0.066768,-0.036637,0.13205,0.087113
