"","C12.3","C12.4","F12.1","F12.2","F12.4"
"Label","Control","Control","Fusarium","Fusarium","Fusarium"
"M589.459T1372.544","-0.49840807","-0.21770444"," 0.35240030"," 0.34277089"," 0.02094132"
"M285.134T1052.907"," 0.39683547"," 0.57442894","-0.72360390","-0.26992653"," 0.02226602"
"M569.292T994.771"," 0.40066812"," 0.48227202","-0.64156168","-0.20633643","-0.03504203"
"M637.414T1384.421","-0.31678864","-0.19996561"," 0.29731413"," 0.04492178"," 0.17451834"
"M867.584T1358.969"," 0.6030182"," 0.6494728","-0.4214675"," 0.3882438","-1.2192673"
"M593.485T1401.37","-0.4619482","-0.1756620"," 0.1108465"," 0.1726599"," 0.3541038"
"M985.571T1146.934"," 0.3389612"," 0.4412837","-0.2681071","-0.1707786","-0.3413592"
"M593.49T1490.213","-0.46038690","-0.19651434"," 0.08070138"," 0.18379396"," 0.39240590"
"M639.424T1291.55","-0.22335338"," 0.24540789","-0.17737456"," 0.07410538"," 0.08121466"
"M986.591T1195.638"," 0.3206377"," 0.5031693","-0.4163694","-0.2399855","-0.1674522"
"M926.605T1358.969","-0.74671326"," 0.01754625"," 0.03666127"," 0.37422282"," 0.31828292"
"M593.49T1557.453","-0.4598483","-0.2029855"," 0.1025581"," 0.1636912"," 0.3965846"
"M587.442T1269.605"," 0.3398761"," 0.4036955","-0.1835525","-0.3195683","-0.2404509"
"M593.49T1539.529","-0.42498126","-0.24589612"," 0.06478505"," 0.19590871"," 0.41018362"
"M423.198T1506.423"," 0.09587652"," 0.08732868","-0.24198444","-0.08211746"," 0.14089670"
"M547.402T1437.709","-0.2145378","-0.5329190"," 0.4003655"," 0.1288180"," 0.2182731"
"M879.468T1338.726","-0.77509666","-0.03244312"," 0.45396746"," 0.03147001"," 0.32210230"
"M668.509T1456.373","-0.5649594","-0.1989962"," 0.2521161"," 0.2074517"," 0.3043877"
"M618.492T1624.789","-0.6304209","-0.2026108"," 0.1658220"," 0.1090467"," 0.5581630"
"M629.464T1456.367","-0.36575105","-0.25108229"," 0.27248589"," 0.02805287"," 0.31629457"
"M555.454T1439.586","-0.4714821","-0.1369637"," 0.3194427"," 0.1187200"," 0.1702830"
"M592.477T1439.652","-0.5977057","-0.1573215"," 0.3128041"," 0.1111507"," 0.3310724"
"M889.305T842.452","-0.48579547"," 0.29623540","-0.02425747"," 0.39987394","-0.18605642"
"M513.307T1059.952"," 0.52845043"," 0.52899903","-0.66065609","-0.34043016","-0.05636321"
"M630.465T1474.173","-0.49211886","-0.19727543"," 0.36062686"," 0.08759864"," 0.24116879"
"M329.158T1625.781","-0.2143067","-0.5192034"," 0.1550546"," 0.3704780"," 0.2079776"
"M660.517T1423.005","-0.6385140","-0.2967808"," 0.4562592"," 0.3290982"," 0.1499374"
"M670.538T1472.8","-0.5717764","-0.1987921"," 0.4196437"," 0.2357692"," 0.1151555"
"M513.251T1355.541","-0.06669701"," 0.37115279","-0.17385266","-0.22685163"," 0.09624850"
"M882.48T1339.403","-0.6950184"," 0.1003919"," 0.1744128"," 0.1393495"," 0.2808643"
"M839.506T1306.415","-0.3181655","-0.1151416"," 0.1355092"," 0.1185850"," 0.1792128"
"M575.477T1491.784","-0.4696852","-0.2084110"," 0.1871132"," 0.2147351"," 0.2762478"
"M564.206T918.312","-0.76132880"," 0.03707828"," 0.16712417"," 0.32151030"," 0.23561606"
"M564.208T942.149","-0.75009387"," 0.02166739"," 0.15855930"," 0.33809005"," 0.23177713"
"M343.224T1621.712","-0.33618143","-0.27841975"," 0.05738412"," 0.16586571"," 0.39135134"
"M609.455T1145.906"," 0.8585345"," 0.6917456","-0.5431218","-0.3624712","-0.6446871"
"M771.504T1195.638"," 0.9645093"," 0.3847800","-0.5598647","-0.4584776","-0.3309470"
"M523.36T1271.932"," 0.2321677","-0.8171907"," 0.4057308"," 0.2932582","-0.1139661"
"M660.514T1439.78","-0.5888402","-0.2927311"," 0.4945647"," 0.2255146"," 0.1614921"
"M351.253T1019.694"," 0.50453862"," 0.56121308","-0.74715546","-0.26550556","-0.05309068"
"M949.553T1173.004"," 0.36835731"," 0.44486155","-0.42797982","-0.35723906","-0.02799999"
"M875.492T1306.216","-0.005408145"," 0.127747917","-0.337136360","-0.064638079"," 0.279434667"
"M979.313T847.893","-0.1989125"," 0.4228131","-0.1981177"," 0.2428723","-0.2686553"
"M349.196T1335.803"," 0.06744373"," 0.38214695","-0.20583909","-0.02181658","-0.22193500"
"M691.436T1356.203"," 0.028871573"," 0.179362411"," 0.006971062","-0.307888032"," 0.092682986"
"M575.479T1456.772","-0.4584505","-0.2890969"," 0.2123266"," 0.2174966"," 0.3177243"
"M919.292T824.161","-0.24363392"," 0.18477372","-0.20294757"," 0.29402326","-0.03221549"
"M545.37T1372.761"," 0.3523844"," 0.7707763","-0.3298612","-0.5236976","-0.2696019"
"M1085.421T973.898","-0.83894391","-0.05100043"," 0.08032487"," 0.54922803"," 0.26039144"
"M987.579T1163.004"," 0.31139827"," 0.45553858","-0.40456930","-0.09159545","-0.27077210"
"M441.224T1179.269"," 0.4262158"," 0.5776501","-0.2851088","-0.2975869","-0.4211702"
"M899.349T990.311","-0.52843222","-0.22588667"," 0.09389718"," 0.29863960"," 0.36178211"
"M659.418T1406.262","-0.4002921","-0.2972240"," 0.4780912"," 0.4152545","-0.1958296"
"M841.471T1389.363","-0.35159583","-0.37611698"," 0.15189939"," 0.04244841"," 0.53336501"
"M655.418T1389.36","-0.23054667","-0.23529532"," 0.30164758"," 0.07619697"," 0.08799744"
"M575.479T1473.048","-0.4997246","-0.3431419"," 0.2554469"," 0.2397303"," 0.3476894"
"M575.481T1540.694","-0.5001546","-0.3436830"," 0.2594198"," 0.2392610"," 0.3451569"
"M684.476T1302.601"," 0.05249458"," 0.41342757","-0.06993939","-0.11218690","-0.28379586"
"M331.187T1104.601"," 0.237722166"," 0.483157042","-0.430103662","-0.004339662","-0.286435883"
"M549.424T1386.472","-0.6226640","-0.1645387"," 0.4189127"," 0.2050665"," 0.1632234"
"M423.211T1338.363"," 0.39079850"," 0.21699284","-0.31995013","-0.30670298"," 0.01886176"
"M886.353T1006.792","-0.6241896","-0.1390398"," 0.1331470"," 0.2342837"," 0.3957987"
"M585.283T918.479"," 0.3838331"," 0.5597167","-0.3779054","-0.2423273","-0.3233172"
"M956.379T959.199","-0.64917982","-0.03584917"," 0.01567041"," 0.32414650"," 0.34521207"
"M329.157T1608.526","-0.29772197","-0.40401337","-0.02508477"," 0.28185194"," 0.44496817"
"M549.19T901.604","-0.83413778"," 0.03774517"," 0.11774168"," 0.18700875"," 0.49164218"
"M822.526T1212.039"," 0.2810930"," 0.2729960","-0.1626120","-0.5480844"," 0.1566074"
"M351.108T857.905"," 0.60142444"," 0.08481783","-0.48034318","-0.22817748"," 0.02227840"
"M640.557T1608.472","-0.45811342","-0.31670783"," 0.08143619"," 0.20695787"," 0.48642719"
"M423.212T1319.031"," 0.4457035"," 0.2926917","-0.4025119","-0.2130889","-0.1227945"
"M541.474T1573.977","-0.6782322","-0.5758519"," 0.3991899"," 0.5570920"," 0.2978022"
"M519.225T1025.439","-0.93274077"," 0.08321401","-0.03571919"," 0.56382047"," 0.32142548"
"M817.32T1025.439","-1.00824582","-0.01771160"," 0.06361756"," 0.51700500"," 0.44533485"
"M629.459T1473.698","-0.287214526","-0.308230168"," 0.258972974"," 0.003289999"," 0.333181721"
"M847.517T1163.004"," 0.7220801"," 0.7322786","-0.5824084","-0.6258805","-0.2460698"
"M898.349T936.403","-0.55573251","-0.15366234","-0.05126136"," 0.30752265"," 0.45313357"
"M652.416T1356.524","-0.46229619","-0.07482997"," 0.01564609"," 0.23834438"," 0.28313568"
"M449.365T1540.699","-0.4827200","-0.2714135"," 0.2843733"," 0.1189156"," 0.3508445"
"M537.533T1295.888"," 0.8559200"," 0.7790420","-0.3030645","-0.2419131","-1.0899844"
"M561.396T1195.638","-0.04413342"," 1.27370103","-0.30411122","-0.44590824","-0.47954815"
"M530.218T901.604","-0.88360649","-0.04649043"," 0.10576257"," 0.38511742"," 0.43921694"
"M812.538T1253.346"," 0.3671980"," 0.5773665","-0.3270499","-0.3541503","-0.2633642"
"M495.298T1036.333"," 0.53898682"," 0.51541372","-0.73675893","-0.38039009"," 0.06274849"
"M367.15T410.425","-0.1074192"," 0.5001637","-0.5261129"," 0.4414278","-0.3080594"
"M589.228T896.878","-0.73310791","-0.11069255","-0.09354505"," 0.35576347"," 0.58158205"
"M617.489T1624.961","-0.6867943","-0.3087356"," 0.1725656"," 0.2263814"," 0.5965830"
"M535.409T1440.116","-0.5351653","-0.4234129"," 0.1739160"," 0.4722851"," 0.3123771"
"M673.432T1355.711","-0.13204104"," 0.02593059","-0.06740757","-0.20946248"," 0.38298051"
"M817.317T940.819","-0.8292497","-0.1506703"," 0.2279355"," 0.4764273"," 0.2755572"
"M438.146T926.75","-0.56770246","-0.19713087"," 0.08261017"," 0.28068750"," 0.40153566"
"M535.375T1490.352","-0.5896283","-0.1712360"," 0.1806343"," 0.1858540"," 0.3943759"
"M808.52T1220.972"," 0.4560165"," 0.6890628","-0.6407957","-0.2819618","-0.2223217"
"M577.49T1591.335","-0.4505966","-0.3452242"," 0.1616777"," 0.1750202"," 0.4591230"
"M1059.419T884.787","-0.86834648"," 0.02744472"," 0.09211763"," 0.21137067"," 0.53741346"
"M813.332T1056.081","-0.98369424","-0.02892194"," 0.27839762"," 0.52333476"," 0.21088380"
"M869.334T919.017","-0.734113027","-0.007663746"," 0.295027477"," 0.280955369"," 0.165793927"
"M449.347T1490.033","-0.5224687","-0.3761724"," 0.3012128"," 0.1996927"," 0.3977356"
"M374.303T1319.161"," 0.52047469"," 0.59140842","-0.27969229","-0.05450416","-0.77768666"
"M504.265T1099.137"," 0.5166186"," 0.5240606","-0.3252087","-0.3740244","-0.3414460"
"M479.188T913.185","-0.8866356","-0.5257346"," 0.3338676"," 0.6589723"," 0.4195302"
"M291.195T1053.001"," 0.27785119"," 0.50342133","-0.65617898","-0.12068060","-0.00441295"
"M821.505T1179.269"," 0.34230212"," 0.26368813","-0.35587034","-0.28733672"," 0.03721681"
"M820.327T1006.792","-0.8168942","-0.1149033"," 0.2720105"," 0.4571787"," 0.2026083"
"M764.518T1295.888","-0.1659455"," 0.3616366","-0.4117856","-0.2090584"," 0.4251529"
"M471.313T1295.888"," 0.68471755"," 0.09347876","-0.12905825","-0.25725333","-0.39188474"
"M534.402T1422.678","-0.6261427","-0.1520245"," 0.1195252"," 0.1585087"," 0.5001332"
"M765.518T1313.696"," 0.22289621"," 0.32097833","-0.30701671","-0.19551942","-0.04133842"
"M1003.558T1223.957","-0.16042226"," 0.02994591","-0.06272369","-0.18232627"," 0.37552631"
"M415.326T1295.888"," 0.23807950"," 0.36165929","-0.32475142"," 0.05859959","-0.33358694"
"M653.413T1286.062","-0.180334006"," 0.002585686"," 0.274734936","-0.178693804"," 0.081707188"
"M1102.351T817.469","-0.006724271"," 0.446322518","-0.418970333"," 0.106450444","-0.127078358"
"M549.424T1473.203","-0.6437598","-0.3292934"," 0.1800987"," 0.4149993"," 0.3779553"
"M787.545T1575.098","-0.08593383","-0.80278708"," 0.24503005"," 0.07311978"," 0.57057108"
"M567.43T1421.35","-0.40572803","-0.21261249"," 0.22332544","-0.03939255"," 0.43440763"
"M798.839T1023.188","-0.9994699","-0.1860838"," 0.1846516"," 0.3091764"," 0.6917256"
"M764.517T1325.086","-0.003670772"," 0.210742705","-0.390810404","-0.240478710"," 0.424217181"
"M677.438T1339.916","-0.5444493","-0.2396142"," 0.4146549"," 0.1424786"," 0.2269299"
"M832.307T992.353","-0.8760860279"," 0.0006899143"," 0.0527226353"," 0.5814381039"," 0.2412353744"
"M455.315T1295.888"," 0.4757565"," 0.1740989","-0.3326262","-0.1918940","-0.1253351"
"M297.239T1626.197","-0.12622008","-0.43990008"," 0.06941325"," 0.17872727"," 0.31797964"
"M471.314T1308.231"," 0.5862968"," 0.1338639","-0.1391419","-0.1988979","-0.3821209"
"M455.313T1308.231"," 0.41346823","-0.05138480","-0.17171309","-0.05819868","-0.13217166"
"M392.284T1436.378"," 0.6274360"," 0.3810135","-0.3122647","-0.2660258","-0.4301590"
"M399.308T1262.042"," 1.1382494"," 0.4466370","-0.4865038","-0.4951303","-0.6032523"
"M549.428T1523.962","-0.5509603","-0.3040617"," 0.3257530"," 0.2146010"," 0.3146680"
"M807.348T918.929","-0.6641486"," 0.1424490"," 0.3074159","-0.4497415"," 0.6640253"
"M542.478T1573.977","-0.4326904","-0.8756652"," 0.4586903"," 0.5181706"," 0.3314946"
"M522.261T1109.944"," 0.3777382"," 0.5571030","-0.3693617","-0.3222499","-0.2432296"
"M653.412T1258.482","-0.27920304","-0.03907567"," 0.29732407","-0.07400727"," 0.09496192"
"M475.412T1607.605","-0.2013825","-0.8742238"," 0.2423176"," 0.3178202"," 0.5154686"
"M653.413T1377.63","-0.31266602","-0.12845552"," 0.26760045"," 0.04554111"," 0.12797998"
"M330.263T1492.022"," 0.2629883"," 0.3034426","-0.3308367","-0.1275811","-0.1080130"
"M447.35T1507.107"," 0.0640763"," 0.6623294","-0.2971810","-0.1228181","-0.3064066"
"M722.259T892.9"," 0.3297852"," 1.4794637","-0.6955502","-0.5366686","-0.5770300"
"M523.599T1382.768"," 0.3439904"," 0.3561615","-0.3619007","-0.2808905","-0.0573607"
"M549.431T1507.08","-0.4701076","-0.3718847"," 0.2994825"," 0.1820775"," 0.3604322"
"M576.484T1557.453","-0.5476762","-0.4892251"," 0.2578973"," 0.3631622"," 0.4158418"
"M467.383T1523.593","-0.56082993","-0.36728150"," 0.47999913"," 0.38663776"," 0.06147455"
"M951.603T1424.253","-0.7686841","-0.5656986"," 0.3985966"," 0.2390776"," 0.6967085"
"M477.403T1542.988","-0.46531484","-0.07688729"," 0.29285318","-0.03099935"," 0.28034831"
"M477.407T1590.788","-0.46974356","-0.10407139"," 0.22645901"," 0.08503946"," 0.26231648"
"M549.426T1489.95","-0.5733166","-0.2537351"," 0.3042082"," 0.1486352"," 0.3742082"
"M471.336T1557.26","-0.5571680","-0.2402238"," 0.2121491"," 0.3010971"," 0.2841456"
"M629.529T1601.79","-0.4162514","-0.6471321"," 0.3888514"," 0.1663698"," 0.5081623"
"M505.27T1240.129"," 0.28468501"," 0.28151242","-0.20319367"," 0.03550932","-0.39851308"
"M576.533T1641.124","-0.4808254","-0.7986833"," 0.4690616"," 0.3808752"," 0.4295718"
"M619.438T1245.233"," 0.6377100"," 0.7517956","-0.4590545","-0.3966563","-0.5337948"
"M505.253T1269.605"," 0.36817913"," 0.06876158","-0.41810568"," 0.20114917","-0.21998420"
"M494.565T1319.161"," 0.52199661"," 0.13400099","-0.19640425","-0.43643613","-0.02315722"
"M535.447T1540.43","-0.4963902","-0.4825041"," 0.2925239"," 0.3452330"," 0.3411373"
"M477.398T1574.327","-0.5061199","-0.1341024"," 0.2220863"," 0.1501914"," 0.2679446"
"M691.433T1253.346"," 0.20420804"," 0.31273223"," 0.02554784","-0.40011015","-0.14237795"
"M341.283T1305.932"," 0.9956136"," 0.1954093","-0.4220017","-0.3710704","-0.3979508"
"M339.172T1490.329","-0.1393779","-0.3917436"," 0.3269005","-0.2355446"," 0.4397655"
"M332.328T1440.13"," 0.1253055"," 0.4095414","-0.1834114","-0.1690148","-0.1824208"
"M494.563T1509.9","-0.2319919","-0.5565680"," 0.2039038"," 0.1332950"," 0.4513612"
"M481.362T1591.564","-0.26170283","-0.55977910"," 0.44945867"," 0.41436978","-0.04234653"
"M443.333T1262.042"," 1.1290411"," 0.4954334","-0.5150856","-0.4853401","-0.6240488"
"M510.367T1523.593","-0.36406837","-0.34868099"," 0.02176020","-0.06527883"," 0.75626799"
"M545.456T1607.833","-0.3543050","-0.4180679"," 0.1195764"," 0.1404065"," 0.5123901"
"M669.539T1543.447","-0.54702063","-0.26056065"," 0.05044729"," 0.17276592"," 0.58436807"
"M669.531T1507.08","-0.5898189","-0.3091012"," 0.0623762"," 0.2386977"," 0.5978462"
"M383.284T1439.726"," 0.4488516"," 0.1900354","-0.3163486","-0.1140732","-0.2084653"
"M589.501T1621.712","-0.3407983","-0.5359278"," 0.4272343","-0.3728147"," 0.8223065"
"M534.444T1557.26","-0.41021308","-0.47533582"," 0.09403935"," 0.26584263"," 0.52566691"
"M494.565T1422.678"," 0.37087542"," 0.04037166","-0.16302849","-0.38084458"," 0.13262599"
"M609.518T1624.418","-0.1677814","-0.6333302"," 0.4089534"," 0.1611879"," 0.2309704"
"M465.265T1237.073","-0.10574802"," 0.11967445","-0.25956913"," 0.18395776"," 0.06168494"
"M605.432T1239.559"," 0.3775971"," 0.1712916","-0.2134814","-0.5968497"," 0.2614425"
