"","C12.1","C12.3","C12.4","F12.1","F12.2","F12.3","F12.4"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"sodium_formate","3985225","3922751","3861917","4043455","3773975","3345591","3565070"
"M589.459T1372.544"," 22898.17"," 83715.58","104461.69","177000.00","163865.84"," 14712.66","117960.70"
"M285.134T1052.907"," 10686.981","221176.579","269413.681"," 59500.000"," 95671.297","  3603.015","128288.515"
"M569.292T994.771","  1421.487","116906.609","125497.818"," 39900.000"," 59084.648","  5226.939"," 66932.652"
"M637.414T1384.421"," 53442.26","143299.11","151115.55","212000.00","170563.00"," 48200.34","173888.75"
"M867.584T1358.969","18354.289","32761.048","35158.164"," 5040.000","21154.058"," 7990.827","    0.000"
"M593.485T1401.37","156741.04","216680.45","263561.92","341000.00","333144.57"," 66489.44","359844.89"
"M985.571T1146.934","  1537.353","178876.252","191828.130","111000.000","112383.819"," 15277.650"," 92054.447"
"M593.49T1490.213","171483.42","224110.02","270191.11","350000.00","353585.38"," 77789.38","392041.70"
"M639.424T1291.55"," 13470.63","114977.20","139862.17","121000.00","126508.99"," 10545.58","119890.22"
"M986.591T1195.638","  6681.598","148335.411","172198.193"," 78600.000"," 86026.052","     0.000"," 86764.012"
"M926.605T1358.969"," 8431.946","11644.476","25191.321","26900.000","35548.104"," 5609.031","31699.993"
"M593.49T1557.453","180130.22","227135.22","272513.50","361000.00","353179.64"," 77778.78","399154.39"
"M587.442T1269.605","13190.031","76765.522","79488.415","52300.000","43834.814"," 8001.361","44082.819"
"M593.49T1539.529","168190.20","225122.25","254580.08","339000.00","350202.44"," 77749.38","390489.95"
"M423.198T1506.423","593411.8","738161.9","724434.3","672000.0","665182.3","524318.7","682051.2"
"M547.402T1437.709","200879.6","230201.9","172494.0","402000.0","297278.5","222711.3","303207.9"
"M879.468T1338.726","  3205.691"," 44184.472"," 98451.371","176000.000","103215.973","  7454.359","134227.258"
"M556.445T1212.039","  3942.292"," 31930.752","163353.676"," 11500.000"," 12657.841","  2138.860"," 10418.402"
"M668.509T1456.373"," 46595.93"," 71107.66"," 95899.97","148000.00","132930.82"," 37228.83","136490.02"
"M618.492T1624.789"," 50694.60"," 70032.29","106798.06","163000.00","143552.87"," 43068.22","214683.51"
"M393.189T1440.567","146768.0","169388.2","155747.6","175000.0","170158.8","163621.4","179369.3"
"M629.464T1456.367","156744.3","286333.2","305526.0","462000.0","363209.3","100140.6","420063.9"
"M555.454T1439.586"," 86625.48","158662.42","198439.43","288000.00","232846.78"," 66422.43","228223.78"
"M592.477T1439.652"," 53174.35","129919.41","189541.22","302000.00","235415.74"," 40815.97","270650.17"
"M889.305T842.452"," 5406.244","32551.846","61297.672","49200.000","65277.940"," 8757.159","37932.111"
"M513.307T1059.952","     0.0","942716.4","928715.8","229000.0","315444.7"," 14535.7","420868.1"
"M630.465T1474.173"," 58363.92"," 95043.93","118291.15","193000.00","144984.42"," 45568.17","154746.67"
"M329.158T1625.781","115728.44"," 94952.88"," 72574.31","133000.00","148447.81","130689.50","122532.02"
"M660.517T1423.005"," 44944.44"," 59501.12"," 83916.64","194000.00","158401.18"," 33612.44","123931.90"
"M670.538T1472.8"," 90766.67"," 79878.44","110017.90","201000.00","158984.61"," 38953.46","134731.48"
"M513.251T1355.541"," 22679.43","226532.94","284481.15","220000.00","199376.32"," 34222.44","225397.20"
"M882.48T1339.403"," 2833.867","41238.903","83587.362","93600.000","84624.714"," 2081.161","90899.988"
"M839.506T1306.415"," 21629.35","123667.66","134406.40","159000.00","147184.84"," 35186.68","143205.08"
"M575.477T1491.784"," 51828.37","396062.43","474009.31","667000.00","635533.52"," 44426.68","628600.60"
"M564.206T918.312","     0.000"," 72246.027","159157.715","190000.000","207224.117","  3573.035","179505.162"
"M564.208T942.149","     0.000"," 72261.713","154063.082","185000.000","206672.112","  3494.878","175518.853"
"M343.224T1621.712"," 92913.62"," 74256.78"," 76141.65","101000.00","101756.24"," 84635.87","112674.13"
"M609.455T1145.906","  6740.162","213102.146","159285.699"," 21700.000"," 27294.339","     0.000"," 16178.189"
"M771.504T1195.638","  15659.564","2245550.871"," 923252.551"," 233000.000"," 253350.645","   5150.772"," 290009.218"
"M523.36T1271.932","     0.00"," 90698.73"," 26915.41","114000.00"," 93568.47","     0.00"," 55499.29"
"M660.514T1439.78"," 53435.12"," 64048.51"," 84776.99","195000.00","139082.38"," 39450.57","123238.26"
"M351.253T1019.694","  1520.072","527161.428","557457.259","112000.000","191952.109","     0.000","237060.000"
