"","filter","C12.1","C12.3","C12.4","F12.1","F12.2","F12.3","F12.4"
"sodium_formate",284465.9145,3985225.417,3922751.054,3861917.098,4043455.006,3773975.074,3345590.809,3565069.568
"M589.459T1372.544",87606.39545,22898.1671,83715.581,104461.691,177000,163865.837,14712.6626,117960.702
"M285.134T1052.907",139639.0565,10686.981,221176.579,269413.681,59500,95671.297,3603.0154,128288.515
"M569.292T994.771",69356.161,1421.487,116906.609,125497.818,39900,59084.648,5226.939,66932.652
"M637.414T1384.421",73855.1923,53442.2594,143299.106,151115.548,212000,170563.001,48200.3358,173888.749
"M867.584T1358.969",20442.1396,18354.2891,32761.048,35158.164,5040,21154.058,7990.8268,1008
"M593.485T1401.37",150361.53845,156741.0441,216680.445,263561.921,341000,333144.566,66489.44,359844.889
"M985.571T1146.934",91963.9871,1537.3531,178876.252,191828.13,111000,112383.819,15277.6498,92054.447
"M593.49T1490.213",153995.968,171483.425,224110.018,270191.106,350000,353585.379,77789.3816,392041.697
"M639.424T1291.55",59530.5746,13470.6348,114977.203,139862.171,121000,126508.987,10545.5781,119890.222
"M986.591T1195.638",74908.9123,6681.5984,148335.411,172198.193,78600,86026.052,1336.31968,86764.012
"M926.605T1358.969",19261.7856,8431.9458,11644.476,25191.321,26900,35548.104,5609.031,31699.993
"M593.49T1557.453",153457.0975,180130.219,227135.224,272513.5,361000,353179.638,77778.7776,399154.394
"M587.442T1269.605",36020.33855,13190.0309,76765.522,79488.415,52300,43834.814,8001.3613,44082.819
"M593.49T1539.529",147944.9967,168190.1966,225122.252,254580.076,339000,350202.442,77749.3774,390489.949
"M423.198T1506.423",73945.6843,593411.8484,738161.86,724434.323,672000,665182.277,524318.7379,682051.171
"M547.402T1437.709",88447.7504,200879.6187,230201.896,172493.958,402000,297278.502,222711.2835,303207.901
"M879.468T1338.726",92902.20025,3205.6913,44184.472,98451.371,176000,103215.973,7454.3585,134227.258
"M556.445T1212.039",15113.94965,3942.2917,31930.752,163353.676,11500,12657.841,2138.8598,10418.402
"M668.509T1456.373",75858.62245,46595.9331,71107.661,95899.971,148000,132930.815,37228.8252,136490.024
"M618.492T1624.789",92912.99065,50694.5957,70032.295,106798.057,163000,143552.872,43068.2222,214683.51
"M393.189T1440.567",12894.91555,146768.0189,169388.244,155747.588,175000,170158.796,163621.3769,179369.326
"M629.464T1456.367",170097.8331,156744.2698,286333.224,305526.038,462000,363209.301,100140.6145,420063.859
"M555.454T1439.586",107891.33245,86625.4791,158662.419,198439.434,288000,232846.781,66422.4307,228223.782
"M592.477T1439.652",161486.0775,53174.349,129919.406,189541.22,302000,235415.74,40815.9744,270650.17
"M889.305T842.452",34594.33325,5406.244,32551.846,61297.672,49200,65277.94,8757.1595,37932.111
"M513.307T1059.952",553024.10755,2907.13918,942716.402,928715.846,229000,315444.731,14535.6959,420868.065
"M630.465T1474.173",73161.62085,58363.9243,95043.929,118291.147,193000,144984.421,45568.1669,154746.674
"M329.158T1625.781",26504.0926,115728.4351,94952.883,72574.306,133000,148447.812,130689.5033,122532.021
"M660.517T1423.005",88943.76115,44944.4427,59501.118,83916.64,194000,158401.178,33612.4398,123931.905
"M670.538T1472.8",61535.4879,90766.6722,79878.439,110017.904,201000,158984.608,38953.4584,134731.479
"M513.251T1355.541",109165.6903,22679.4349,226532.943,284481.147,220000,199376.318,34222.4394,225397.195
"M882.48T1339.403",65725.96575,2833.8675,41238.903,83587.362,93600,84624.714,2081.1607,90899.988
"M839.506T1306.415",65767.784,21629.3499,123667.664,134406.402,159000,147184.836,35186.681,143205.077
"M575.477T1491.784",408121.6566,51828.3738,396062.429,474009.313,667000,635533.517,44426.6845,628600.599
"M564.206T918.312",146843.05,714.607,72246.027,159157.715,190000,207224.117,3573.035,179505.162
"M564.208T942.149",142381.1312,698.97552,72261.713,154063.082,185000,206672.112,3494.8776,175518.853
"M343.224T1621.712",20989.36175,92913.615,74256.778,76141.645,101000,101756.236,84635.8675,112674.128
"M609.455T1145.906",81830.84365,6740.1617,213102.146,159285.699,21700,27294.339,1348.03234,16178.189
"M771.504T1195.638",482301.10275,15659.5635,2245550.871,923252.551,233000,253350.645,5150.7721,290009.218
"M523.36T1271.932",75984.3556,5383.0818,90698.732,26915.409,114000,93568.47,5383.0818,55499.285
"M660.514T1439.78",72418.5006,53435.1168,64048.514,84776.995,195000,139082.376,39450.5652,123238.256
"M351.253T1019.694",325350.6779,1520.0722,527161.428,557457.259,112000,191952.109,304.01444,237060
"M949.553T1173.004",160452.6746,6534.1658,287701.91,304004.312,142000,141496.239,2217.4747,181233.844
"M875.492T1306.216",88270.2822,8245.2166,155010.606,163775.175,134000,144519.086,7261.7666,163853.759
"M979.313T847.893",50315.43805,19186.6118,92208.476,141842.26,95100,121816.271,36576.6719,79708.723
