"","PC1","PC2","PC3","PC4","PC5"
"M589.459T1372.544",0.065702,-0.011483,-0.098512,0.034797,-0.94355
"M285.134T1052.907",-0.084258,-0.10448,0.11457,-0.12366,0.045343
"M569.292T994.771",-0.077889,-0.079772,0.084857,-0.12226,-0.12612
"M637.414T1384.421",0.048452,0.0103,0.0023516,0.073088,0.20471
"M867.584T1358.969",-0.12107,-0.044596,-0.31788,-0.12042,0.0033916
"M593.485T1401.37",0.061389,-0.039567,0.03119,-0.01994,-0.010786
"M985.571T1146.934",-0.070321,-0.041675,-0.025573,0.012308,-0.0048826
"M593.49T1490.213",0.063063,-0.039375,0.041155,-0.038447,-0.018287
"M639.424T1291.55",0.0027478,-0.097591,0.0072757,-0.032834,-0.010572
"M986.591T1195.638",-0.072136,-0.071615,0.038241,-0.020411,0.016469
"M926.605T1358.969",0.073177,-0.12757,-0.021788,-0.046632,0.01473
"M593.49T1557.453",0.06365,-0.035836,0.044187,-0.027063,-0.00097196
"M587.442T1269.605",-0.0661,-0.026385,0.019352,0.067859,-0.0067126
"M593.49T1539.529",0.06352,-0.027165,0.046694,-0.057686,0.0029837
"M423.198T1506.423",-0.015393,-0.024737,0.06933,-0.063831,-0.0094831
"M547.402T1437.709",0.064746,0.092685,-0.00042422,0.028651,0.00019647
"M879.468T1338.726",0.081737,-0.078274,0.0077862,0.17805,0.0045668
"M668.509T1456.373",0.073108,-0.037721,-0.0013884,0.026129,-0.017487
"M618.492T1624.789",0.081846,-0.058556,0.08137,0.011192,-0.012226
"M629.464T1456.367",0.05832,0.0070226,0.040361,0.056707,-0.008915
"M555.454T1439.586",0.05848,-0.023894,-0.020504,0.082051,-0.0022612
"M592.477T1439.652",0.073667,-0.043401,0.015541,0.078305,0.017906
"M889.305T842.452",0.02181,-0.13313,-0.13771,-0.022541,-0.0027945
"M513.307T1059.952",-0.093866,-0.067448,0.10917,-0.095426,-0.031818
"M630.465T1474.173",0.065927,-0.013356,-0.00085018,0.09264,0.01151
"M329.158T1625.781",0.062371,0.063429,-0.027262,-0.11436,-0.019639
"M660.517T1423.005",0.086836,-0.011624,-0.07707,0.064622,0.028474
"M670.538T1472.8",0.072577,-0.019913,-0.065109,0.087576,0.018265
"M513.251T1355.541",-0.021422,-0.090629,0.068066,0.051769,-0.0076391
"M882.48T1339.403",0.06232,-0.11672,0.00099527,0.07108,0.018601
"M839.506T1306.415",0.041453,-0.021484,0.0013305,0.011156,0.0020219
"M575.477T1491.784",0.064144,-0.02699,-0.00064006,-0.0043655,-0.0053613
"M564.206T918.312",0.072871,-0.11858,-0.043223,0.020066,-0.0051493
"M564.208T942.149",0.07288,-0.11512,-0.045747,0.010091,0.015458
"M343.224T1621.712",0.057292,-0.0074815,0.052037,-0.062409,-0.0073466
"M609.455T1145.906",-0.14309,-0.022549,-0.027584,-0.015056,-0.0037835
"M771.504T1195.638",-0.12685,0.042349,0.075533,-0.066518,-0.013064
"M523.36T1271.932",0.040202,0.21645,-0.088091,-0.065071,0.013491
"M660.514T1439.78",0.082122,0.00044186,-0.056964,0.10063,0.02286
"M351.253T1019.694",-0.09441,-0.0863,0.10182,-0.13795,-0.018466
"M949.553T1173.004",-0.070875,-0.055699,0.096371,-0.014305,-0.012678
"M875.492T1306.216",-0.0078188,-0.059478,0.1023,-0.09583,-0.0014443
"M979.313T847.893",-0.016703,-0.12334,-0.10741,-0.038706,0.0096673
"M349.196T1335.803",-0.038504,-0.072118,-0.037557,-0.00098027,0.0076887
"M691.436T1356.203",-0.015223,-0.023388,0.074632,0.099833,0.012397
"M575.479T1456.772",0.069706,-0.0093999,0.008704,-0.011396,0.008785
"M919.292T824.161",0.0079149,-0.09384,-0.056939,-0.098642,-0.0026491
"M545.37T1372.761",-0.095927,-0.099414,0.054193,0.12433,-0.025954
"M1085.421T973.898",0.086703,-0.12737,-0.0726,-0.076623,0.016735
"M987.579T1163.004",-0.068705,-0.06396,-0.013483,-0.05463,-0.023252
"M441.224T1179.269",-0.089793,-0.050339,-0.019858,0.057277,-0.023858
"M899.349T990.311",0.071481,-0.044771,0.010219,-0.061035,0.0036765
"M659.418T1406.262",0.060698,0.032586,-0.16813,0.053282,0.038519
"M841.471T1389.363",0.068067,0.015678,0.10196,-0.019928,-0.01039
"M655.418T1389.36",0.042024,0.03147,-0.020458,0.060383,0.0045673
"M575.479T1473.048",0.078222,-0.0030872,0.0079702,-0.0090587,0.0095521
"M575.481T1540.694",0.078296,-0.0026281,0.0071315,-0.0074836,-0.0065923
"M684.476T1302.601",-0.039415,-0.064532,-0.047914,0.077734,-0.0024085
"M331.187T1104.601",-0.064071,-0.083813,-0.03411,-0.075565,-0.019231
"M549.424T1386.472",0.075339,-0.034352,-0.050555,0.10095,0.026729
"M423.211T1338.363",-0.054843,-0.0033612,0.095057,-0.027791,-0.018166
"M886.353T1006.792",0.074602,-0.070909,0.021695,-0.013775,0.023886
"M585.283T918.479",-0.083845,-0.065228,-0.00033379,0.0061474,-0.0035038
"M956.379T959.199",0.068103,-0.10465,-0.00013653,-0.057176,0.012707
"M329.157T1608.526",0.06324,0.010067,0.054239,-0.14433,-0.0033125
"M549.19T901.604",0.082192,-0.13729,0.043308,0.027976,0.033241
"M822.526T1212.039",-0.046401,-0.014142,0.1539,0.095556,-0.0073581
"M351.108T857.905",-0.065676,0.03627,0.10456,-0.13688,0.0037972
"M640.557T1608.472",0.072879,-0.019805,0.061718,-0.067221,-0.016858
"M423.212T1319.031",-0.067653,-0.014892,0.051491,-0.064562,0.0010395
"M541.474T1573.977",0.11287,0.01979,-0.074483,-0.059575,0.032255
"M519.225T1025.439",0.085592,-0.17803,-0.057454,-0.097403,0.019318
"M817.32T1025.439",0.10215,-0.16407,-0.028141,-0.068068,-0.00077142
"M629.459T1473.698",0.055265,0.028142,0.05385,0.043613,-0.018277
"M847.517T1163.004",-0.12917,-0.057836,0.1123,0.031282,0.033273
"M898.349T936.403",0.068888,-0.077356,0.039515,-0.10575,0.017714
"M652.416T1356.524",0.05262,-0.066192,0.0080295,-0.050442,-0.0048311
"M449.365T1540.699",0.071387,-0.0085275,0.027445,0.040783,0.001271
"M537.533T1295.888",-0.15291,-0.009354,-0.17622,0.074788,0.015693
"M561.396T1195.638",-0.098151,-0.24492,-0.035865,0.22644,-0.018624
"M530.218T901.604",0.092617,-0.1334,-0.0041145,-0.032531,-0.0057215
"M812.538T1253.346",-0.082709,-0.065454,0.029143,0.052379,-0.022068
"M495.298T1036.333",-0.092968,-0.072177,0.15143,-0.12082,-0.052584
"M367.15T410.425",-0.033252,-0.15626,-0.12479,-0.1944,0.030899
"M589.228T896.878",0.083656,-0.11968,0.057554,-0.12126,-0.005702
"M617.489T1624.961",0.095623,-0.050493,0.068846,-0.030226,-0.024654
"M535.409T1440.116",0.086852,-0.0051628,-0.035644,-0.10353,-0.0049487
"M673.432T1355.711",0.014297,-0.035249,0.1291,0.021407,0.0052476
"M817.317T940.819",0.094168,-0.093391,-0.065292,-0.023656,0.013759
"M438.146T926.75",0.073413,-0.05748,0.021854,-0.055658,0.016227
"M535.375T1490.352",0.073959,-0.054552,0.028189,0.0077985,0.012953
"M808.52T1220.972",-0.10067,-0.10299,0.051824,-0.065598,-0.0073716
"M577.49T1591.335",0.074419,-0.0049869,0.055431,-0.034744,-0.0024261
