"","C12.3","C12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Xanthomonas","Xanthomonas","Xanthomonas"
"M589.459T1372.544","-0.51725459","-0.27952236"," 0.61744490"," 0.14850090"," 0.03083116"
"M285.134T1052.907","-0.24462678"," 0.11776580","-0.26261243"," 0.04998731"," 0.33948609"
"M569.292T994.771","-0.2327066","-0.1036053","-0.2515203"," 0.1559159"," 0.4319163"
"M637.414T1384.421","-0.30144776","-0.20087036"," 0.46809726","-0.01012253"," 0.04434339"
"M593.485T1401.37","-0.34492625","-0.03342743"," 0.33031896","-0.21829230"," 0.26632702"
"M985.571T1146.934"," 0.2444635"," 0.3670179","-0.3427102","-0.0357370","-0.2330342"
"M593.49T1490.213","-0.34613778","-0.04757839"," 0.34634544","-0.20471498"," 0.25208572"
"M986.591T1195.638"," 0.2658559"," 0.4633839","-0.4434095","-0.1091807","-0.1766496"
"M926.605T1358.969","-0.72179810"," 0.05371181","-0.02868604"," 0.28183512"," 0.41493720"
"M593.49T1557.453","-0.3521981","-0.0610618"," 0.3336216","-0.1902901"," 0.2699285"
"M587.442T1269.605"," 0.27144571"," 0.33105753"," 0.09017553","-0.58060850","-0.11207027"
"M593.49T1539.529","-0.3249304","-0.1245654"," 0.3507779","-0.1872772"," 0.2859951"
"M423.198T1506.423"," 0.2378148"," 0.2316923","-0.2263389","-0.1837617","-0.0594065"
"M547.402T1437.709","-0.19580863","-0.49316939"," 0.58983261"," 0.02356822"," 0.07557718"
"M879.468T1338.726","-0.6928339"," 0.2146597"," 0.1267342"," 0.1155851"," 0.2358548"
"M668.509T1456.373","-0.4931088","-0.1276787"," 0.4562182","-0.1158180"," 0.2803873"
"M618.492T1624.789","-0.59468623","-0.09214131"," 0.36679119"," 0.05010974"," 0.26992660"
"M393.189T1440.567","-0.12423810","-0.27194984"," 0.06107686"," 0.08959355"," 0.24551754"
"M629.464T1456.367","-0.28818433","-0.14809546"," 0.33937163","-0.06182112"," 0.15872928"
"M555.454T1439.586","-0.39359237"," 0.07178141"," 0.05459232"," 0.11374430"," 0.15347434"
"M592.477T1439.652","-0.45027062"," 0.01039594"," 0.55192972","-0.19059942"," 0.07854437"
"M889.305T842.452","-0.66418521"," 0.08680927"," 0.23439545"," 0.17726983"," 0.16571065"
"M513.307T1059.952"," 0.06274613"," 0.06380013","-0.37844381"," 0.36988921","-0.11799165"
"M630.465T1474.173","-0.42318293","-0.09590708"," 0.37901097","-0.08058711"," 0.22066616"
"M329.158T1625.781","-0.1878206","-0.5094150"," 0.2108040"," 0.3135497"," 0.1728819"
"M660.517T1423.005","-0.47974441","-0.09105355"," 0.63555252","-0.05119517","-0.01355938"
"M670.538T1472.8","-0.468776596","-0.056851105"," 0.527309642","-0.010805296"," 0.009123355"
"M513.251T1355.541","-0.31013480"," 0.09433504"," 0.09400352","-0.21467935"," 0.33647559"
"M882.48T1339.403","-0.57315276"," 0.29658246"," 0.09880517","-0.10861940"," 0.28638453"
"M575.477T1491.784","-0.35229407","-0.08714957"," 0.46634868","-0.18623849"," 0.15933345"
"M564.206T918.312","-0.76641019"," 0.02394051"," 0.24839799"," 0.32384565"," 0.17022605"
"M564.208T942.149","-0.76493340","-0.01034928"," 0.23258719"," 0.31868368"," 0.22401181"
"M343.224T1621.712","-0.29067395","-0.21825807"," 0.06129049"," 0.19087501"," 0.25676652"
"M609.455T1145.906"," 0.8089678"," 0.6310349","-0.4065810","-0.3494205","-0.6840013"
"M771.504T1195.638"," 0.9337264"," 0.3359386","-0.6589333","-0.2591222","-0.3516094"
"M523.36T1271.932"," 0.1912804","-0.8495323"," 0.1392548"," 0.0485758"," 0.4704213"
"M660.514T1439.78","-0.481472325","-0.157350515"," 0.609485035","-0.004530776"," 0.033868581"
"M351.253T1019.694"," 0.01945325"," 0.12436937","-0.45568751"," 0.35385851","-0.04199363"
"M949.553T1173.004"," 0.27850915"," 0.35778129","-0.61819598"," 0.07152882","-0.08962328"
"M875.492T1306.216"," 0.11140955"," 0.25196746","-0.31829124","-0.10088528"," 0.05579951"
"M979.313T847.893","-0.4834779"," 0.1407332"," 0.2870451"," 0.1830035","-0.1273040"
"M349.196T1335.803","-0.13173905"," 0.26094732","-0.01213778"," 0.11953474","-0.23660523"
"M691.436T1356.203"," 0.07731760"," 0.23629198","-0.17908027"," 0.03105622","-0.16558552"
"M575.479T1456.772","-0.3607837","-0.1873124"," 0.4868227","-0.1427344"," 0.2040078"
"M919.292T824.161","-0.4484715","-0.1097434"," 0.2477561"," 0.2829506"," 0.0275082"
"M545.37T1372.761"," 0.3575329"," 0.7739295","-0.2345195","-0.4234782","-0.4734647"
"M1085.421T973.898","-0.8679396","-0.0720294"," 0.3703005"," 0.3178868"," 0.2517817"
"M1114.854T834.347","-0.63247564"," 0.22418936"," 0.09114398"," 0.36754235","-0.05040006"
"M987.579T1163.004"," 0.286766461"," 0.421556441","-0.597942218","-0.004067946","-0.106312739"
"M441.224T1179.269"," 0.4397663"," 0.5883010","-0.3709425","-0.2863196","-0.3708051"
"M899.349T990.311","-0.50122580","-0.16601785"," 0.09461344"," 0.32925534"," 0.24337488"
"M659.418T1406.262","-0.4969875","-0.3954144"," 0.4011490"," 0.1378284"," 0.3534244"
"M841.471T1389.363","-0.29791993","-0.32698374"," 0.30582810","-0.02582821"," 0.34490378"
"M655.418T1389.36","-0.1910751","-0.1949357"," 0.4669258"," 0.0747322","-0.1556471"
"M575.479T1473.048","-0.42082206","-0.25607916"," 0.50335427","-0.05631718"," 0.22986413"
"M575.481T1540.694","-0.4228126","-0.2586721"," 0.4984233","-0.0588671"," 0.2419284"
"M331.187T1104.601","-0.09915949"," 0.30942426","-0.26571403"," 0.13559041","-0.08014115"
"M549.424T1386.472","-0.46915839"," 0.02017781"," 0.57244677"," 0.04254276","-0.16600896"
"M423.211T1338.363"," 0.4413129"," 0.2896561","-0.1790129","-0.4460795","-0.1058766"
"M886.353T1006.792","-0.5631234"," 0.0379601"," 0.1242365"," 0.1747635"," 0.2261632"
"M585.283T918.479"," 0.163618209"," 0.379217944","-0.581855595"," 0.031424894"," 0.007594548"
"M956.379T959.199","-0.59890127"," 0.10609345"," 0.13651387"," 0.04076354"," 0.31553040"
"M329.157T1608.526","-0.2893721","-0.4066404"," 0.1236769"," 0.3460481"," 0.2262875"
"M549.19T901.604","-0.76759754"," 0.12943276"," 0.20782133","-0.09417454"," 0.52451799"
"M822.526T1212.039"," 0.34915848"," 0.34036916","-0.27933544","-0.32462197","-0.08557022"
"M351.108T857.905"," 0.60139076"," 0.05349421","-0.43373332","-0.14741730","-0.07373435"
"M640.557T1608.472","-0.35292913","-0.17352553"," 0.46047842"," 0.00570047"," 0.06027576"
"M423.212T1319.031"," 0.47392348"," 0.33664084","-0.31695943","-0.43307166","-0.06053323"
"M541.474T1573.977","-0.6012456","-0.4829447"," 0.4886905"," 0.2910470"," 0.3044527"
"M519.225T1025.439","-0.90949465"," 0.18694993"," 0.01335921"," 0.32527636"," 0.38390914"
"M817.32T1025.439","-0.98541860"," 0.09460477"," 0.28319829"," 0.34853236"," 0.25908319"
"M629.459T1473.698","-0.1872804","-0.2129234"," 0.3402952","-0.1129190"," 0.1728277"
"M847.517T1163.004"," 0.64101732"," 0.65184492","-0.74739411","-0.49331417","-0.05215396"
"M898.349T936.403","-0.5504767","-0.0701935"," 0.2378601"," 0.1316056"," 0.2512045"
"M652.416T1356.524","-0.35797486"," 0.07623238","-0.18362252"," 0.16964631"," 0.29571868"
"M449.365T1540.699","-0.34359356"," 0.00480618"," 0.03414227"," 0.03529695"," 0.26934816"
"M537.533T1295.888"," 0.7700607"," 0.6776825","-0.7232747","-0.2709204","-0.4535481"
"M561.396T1195.638","-0.1144306"," 1.2471620","-0.2944151","-0.4595109","-0.3788055"
"M530.218T901.604","-0.84867247"," 0.07360274"," 0.26463184"," 0.18711320"," 0.32332470"
"M812.538T1253.346"," 0.2495105"," 0.5025102","-0.2022568","-0.1642435","-0.3855204"
"M495.298T1036.333"," 0.5425918"," 0.5171411","-0.2680300","-0.1476469","-0.6440560"
"M367.15T410.425","-0.43110137"," 0.28969958","-0.05128691"," 0.48198552","-0.28929682"
"M589.228T896.878","-0.75160625","-0.08890364"," 0.15604771"," 0.15398267"," 0.53047951"
"M617.489T1624.961","-0.6247029","-0.1553631"," 0.3446614"," 0.1094843"," 0.3259203"
"M535.409T1440.116","-0.4687826","-0.3357057"," 0.3072766"," 0.3611402"," 0.1360715"
"M673.432T1355.711","-0.2865154","-0.1078350"," 0.1524513"," 0.0198962"," 0.2220029"
"M817.317T940.819","-0.8443686","-0.1895042"," 0.3862739"," 0.4577430"," 0.1898559"
"M438.146T926.75","-0.46788659","-0.05497459","-0.04101358"," 0.05059918"," 0.51327558"
"M535.375T1490.352","-0.55382393","-0.07711127"," 0.25532026"," 0.27003777"," 0.10557717"
"M808.52T1220.972"," 0.4048667"," 0.6436971","-0.7314220","-0.1700494","-0.1470923"
"M577.49T1591.335","-0.39452547","-0.26878729"," 0.27315674"," 0.06171338"," 0.32844263"
"M1059.419T884.787","-0.830814812"," 0.108953164"," 0.238288617","-0.003824741"," 0.487397772"
"M813.332T1056.081","-0.95255905"," 0.07319264"," 0.22024617"," 0.29526143"," 0.36385881"
"M869.334T919.017","-0.68149426"," 0.12488348"," 0.22857994"," 0.09954339"," 0.22848746"
"M449.347T1490.033","-0.3398249","-0.1409191"," 0.3697685","-0.1705810"," 0.2815564"
"M374.303T1319.161"," 0.49322454"," 0.56846470","-0.52401406"," 0.02760507","-0.56528025"
"M504.265T1099.137"," 0.48013324"," 0.48752640","-0.47011441","-0.02209304","-0.47545219"
"M479.188T913.185","-0.9040247","-0.5598040"," 0.4494378"," 0.7455605"," 0.2688304"
"M291.195T1053.001"," 0.12835403"," 0.44043804","-0.42286593","-0.02118045","-0.12474569"
"M821.505T1179.269"," 0.39058784"," 0.32265957","-0.47485795","-0.22298331","-0.01540615"
"M820.327T1006.792","-0.76181074"," 0.03251332"," 0.33227403"," 0.28106558"," 0.11595781"
"M764.518T1295.888"," 0.1548366"," 0.6419692","-0.2723691","-0.2559889","-0.2684477"
"M471.313T1295.888"," 0.66304442"," 0.06983175","-0.03185026","-0.25564990","-0.44537602"
"M534.402T1422.678","-0.55155461","-0.02346264"," 0.49856232","-0.03843090"," 0.11488583"
"M765.518T1313.696"," 0.2726976"," 0.3611595","-0.3075997","-0.1684546","-0.1578027"
"M415.326T1295.888"," 0.3310967"," 0.4398634","-0.1973285","-0.1876241","-0.3860074"
"M653.413T1286.062","-0.24667023","-0.03343496"," 0.20403921"," 0.06447503"," 0.01159095"
