"","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Xanthomonas","Xanthomonas","Xanthomonas"
"sodium_formate","3985225","3922751","3861917","3815932","3878103","3825451"
"M589.459T1372.544"," 22898.17"," 83715.58","104461.69","252427.93","160733.43","141000.00"
"M285.134T1052.907"," 10686.98","221176.58","269413.68","212892.24","259981.01","304000.00"
"M569.292T994.771","  1421.487","116906.609","125497.818","112297.945","149970.546","178000.000"
"M637.414T1384.421"," 53442.26","143299.11","151115.55","235868.34","172879.44","177000.00"
"M867.584T1358.969","18354.29","32761.05","35158.16","32630.25","28642.03","24200.00"
"M593.485T1401.37","156741.0","216680.4","263561.9","333378.1","233447.1","320000.0"
"M985.571T1146.934","  1537.353","178876.252","191828.130","115500.518","145428.538","125000.000"
"M593.49T1490.213","171483.4","224110.0","270191.1","348798.0","243878.2","328000.0"
"M639.424T1291.55"," 13470.63","114977.20","139862.17","121164.46","118571.56","121000.00"
"M986.591T1195.638","  6681.598","148335.411","172198.193"," 79847.172","107246.557","100000.000"
"M926.605T1358.969"," 8431.946","11644.476","25191.321","22894.754","31885.377","36000.000"
"M593.49T1557.453","180130.2","227135.2","272513.5","352067.1","250656.7","338000.0"
"M587.442T1269.605","13190.03","76765.52","79488.41","64047.74","36880.05","54100.00"
"M593.49T1539.529","168190.2","225122.3","254580.1","349482.0","244794.1","335000.0"
"M423.198T1506.423","593411.8","738161.9","724434.3","565841.5","587766.0","618000.0"
"M547.402T1437.709","200879.6","230201.9","172494.0","460601.3","278352.5","288000.0"
"M879.468T1338.726"," 3205.691","44184.472","98451.371","89877.390","90429.685","99400.000"
"M556.445T1212.039","  3942.292"," 31930.752","163353.676"," 23814.668"," 17303.352"," 23500.000"
"M668.509T1456.373"," 46595.93"," 71107.66"," 95899.97","156682.42"," 97290.70","135000.00"
"M618.492T1624.789"," 50694.60"," 70032.29","106798.06","157368.42","121387.96","145000.00"
"M393.189T1440.567","146768.0","169388.2","155747.6","179523.6","184871.0","196000.0"
"M629.464T1456.367","156744.3","286333.2","305526.0","399494.7","322401.8","361000.0"
"M555.454T1439.586"," 86625.48","158662.42","198439.43","194350.88","203618.29","205000.00"
"M592.477T1439.652"," 53174.35","129919.41","189541.22","297374.55","160320.89","199000.00"
"M889.305T842.452"," 5406.244","32551.846","61297.672","68800.160","66555.649","65000.000"
"M513.307T1059.952","      0.0"," 942716.4"," 928715.8"," 693698.2","1131877.9"," 820000.0"
"M630.465T1474.173"," 58363.92"," 95043.93","118291.15","164246.44","120097.68","147000.00"
"M329.158T1625.781","115728.44"," 94952.88"," 72574.31","126411.51","139292.70","123000.00"
"M660.517T1423.005"," 44944.44"," 59501.12"," 83916.64","162355.22"," 87432.44"," 89300.00"
"M670.538T1472.8"," 90766.67"," 79878.44","110017.90","175005.29","114704.33","115000.00"
"M513.251T1355.541"," 22679.43","226532.94","284481.15","281037.70","237196.15","326000.00"
"M882.48T1339.403"," 2833.867","41238.903","83587.362","70084.716","59958.009","82100.000"
"M839.506T1306.415"," 21629.35","123667.66","134406.40","128116.83","131972.40","152000.00"
"M575.477T1491.784"," 51828.37","396062.43","474009.31","704093.70","442494.57","563000.00"
"M564.206T918.312","     0.00"," 72246.03","159157.71","197681.82","216958.78","183000.00"
"M564.208T942.149","     0.00"," 72261.71","154063.08","195224.05","216690.62","194000.00"
"M343.224T1621.712","92913.62","74256.78","76141.65","88033.24","96225.80","98500.00"
"M609.455T1145.906","  6740.162","213102.146","159285.699"," 31575.697"," 35059.624"," 20600.000"
"M771.504T1195.638","  15659.56","2245550.87"," 923252.55"," 213308.06"," 388733.56"," 335000.00"
"M523.36T1271.932","     0.00"," 90698.73"," 26915.41"," 83096.01"," 76072.45","122000.00"
"M660.514T1439.78"," 53435.12"," 64048.51"," 84776.99","168740.43"," 97882.84","100000.00"
"M351.253T1019.694","  1520.072","527161.428","557457.259","370944.738","654572.844","493000.000"
"M949.553T1173.004","  6534.166","287701.910","304004.312","125718.910","236454.997","202000.000"
"M875.492T1306.216","  8245.217","155010.606","163775.175","121505.496","137739.985","147000.000"
"M979.313T847.893"," 19186.61"," 92208.48","141842.26","155608.78","146807.15","116000.00"
"M349.196T1335.803"," 75647.58","276402.41","325289.76","283897.18","306317.56","257000.00"
"M691.436T1356.203","154783.6","474924.6","498460.4","416685.1","460856.0","420000.0"
"M575.479T1456.772"," 48282.8","370685.5","418133.8","701091.4","434828.8","563000.0"
"M919.292T824.161"," 18116.16"," 79143.52"," 98309.01","124151.23","129258.78","107000.00"
"M545.37T1372.761"," 64437.89","302206.96","501401.30","139966.70","112248.60","104000.00"
"M1085.421T973.898"," 2067.74","16936.01","42844.70","71519.15","68305.75","62300.00"
"M1114.854T834.347"," 1632.204","18760.064","39563.037","34730.724","45129.218","30700.000"
"M987.579T1163.004","  3790.84","262791.61","292594.35","113984.48","199217.90","179000.00"
"M441.224T1179.269"," 21410.82","204453.41","236662.00"," 82182.65"," 91593.24"," 82400.00"
"M899.349T990.311"," 9439.344","36165.836","46198.488","55894.897","68165.655","62900.000"
"M659.418T1406.262","20041.84","41430.61","45006.68","96218.59","75766.66","92100.00"
"M841.471T1389.363","11133.02","49892.71","48079.15","75696.56","60264.21","78100.00"
"M655.418T1389.36"," 15634.82","135264.74","132831.44","202295.45","159099.94","135000.00"
"M575.479T1473.048"," 53767.99","330893.10","375060.77","709622.62","446816.53","563000.00"
"M575.481T1540.694"," 55946.6","330893.1","375060.8","709890.3","447113.4","571000.0"
"M684.476T1302.601","13097.98","73296.68","89611.49","77628.58","72040.01","71800.00"
"M331.187T1104.601"," 23353.74","294471.29","357966.74","262856.22","328619.04","290000.00"
"M549.424T1386.472"," 81933.55","177754.68","268521.32","430165.55","274975.31","226000.00"
"M423.211T1338.363","122076.3","310222.1","269250.7","180229.8","146713.1","192000.0"
"M886.353T1006.792"," 9396.463","35386.349","54429.982","57339.016","60500.361","62000.000"
"M585.283T918.479"," 4197.537","57708.363","67834.892","30407.499","51174.449","49500.000"
"M956.379T959.199","14181.09","48687.79","84594.57","85661.46","80593.02","99200.00"
"M329.157T1608.526","122997.54"," 94952.88"," 85513.01","126411.51","152113.22","137000.00"
"M549.19T901.604","     0.0","102832.7","274541.6","295983.4","214992.3","422000.0"
"M822.526T1212.039"," 20208.26","210598.90","205964.12","127573.45","125301.60","148000.00"
"M351.108T857.905"," 21445.23","289118.12","176069.92","113495.35","148254.40","156000.00"
"M640.557T1608.472","52851.23","54887.32","61274.38","94407.51","69764.60","71500.00"
"M423.212T1319.031","126128.3","320811.7","278610.1","151524.9","138495.6","192000.0"
"M541.474T1573.977","  5777.828"," 52112.167"," 58834.071","179022.931","144732.186","145000.000"
"M519.225T1025.439","  2596.018"," 34676.039","129507.647","103614.575","153872.438","163000.000"
"M817.32T1025.439"," 4833.801","10536.783","41665.759","52476.337","58008.278","51000.000"
"M629.459T1473.698","154737.2","288053.6","279524.3","377048.8","296942.4","344000.0"
"M847.517T1163.004","  2174.921","874899.681","875194.389","109854.253","162387.237","307000.000"
"M898.349T936.403"," 9190.388","48918.711","69643.952","87182.225","81659.572","88300.000"
"M652.416T1356.524"," 28020.55","162743.20","209119.41","176182.55","222380.92","237000.00"
"M449.365T1540.699","155479.4","174479.1","204876.9","205463.9","208933.3","232000.0"
"M537.533T1295.888"," 8050.171","68647.361","58469.949"," 6408.495","13261.754"," 9820.000"
"M561.396T1195.638"," 17371.92"," 85726.85","778915.50"," 62164.30"," 48253.01"," 54300.00"
"M530.218T901.604","  1903.154"," 39487.650","108556.667","132686.191","123697.391","142000.000"
"M812.538T1253.346","24249.12","81771.40","99545.27","54445.11","57125.79","46800.00"
"M495.298T1036.333","  3108.307","141614.109","135255.078"," 52455.281"," 61529.430"," 33600.000"
"M367.15T410.425","23149.31","39264.81","73062.19","53419.75","86948.20","43400.00"
