"","filter","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3"
"sodium_formate",77021.3447500002,3985225.417,3922751.054,3861917.098,3815932.471,3878102.735,3825451.14
"M589.459T1372.544",66897.96775,22898.1671,83715.581,104461.691,252427.935,160733.435,141000
"M285.134T1052.907",52092.186,10686.981,221176.579,269413.681,212892.242,259981.006,304000
"M569.292T994.771",30402.253,1421.487,116906.609,125497.818,112297.945,149970.546,178000
"M637.414T1384.421",30716.64325,53442.2594,143299.106,151115.548,235868.344,172879.439,177000
"M867.584T1358.969",7417.839,18354.2891,32761.048,35158.164,32630.246,28642.034,24200
"M593.485T1401.37",85018.372,156741.0441,216680.445,263561.921,333378.112,233447.098,320000
"M985.571T1146.934",52638.935,1537.3531,178876.252,191828.13,115500.518,145428.538,125000
"M593.49T1490.213",84495.72525,171483.425,224110.018,270191.106,348797.998,243878.151,328000
"M639.424T1291.55",5247.54824999999,13470.6348,114977.203,139862.171,121164.455,118571.563,121000
"M986.591T1195.638",53177.8185,6681.5984,148335.411,172198.193,79847.172,107246.557,1e+05
"M926.605T1358.969",15754.8175,8431.9458,11644.476,25191.321,22894.754,31885.377,36000
"M593.49T1557.453",88612.78075,180130.219,227135.224,272513.5,352067.14,250656.705,338000
"M587.442T1269.605",32401.04225,13190.0309,76765.522,79488.415,64047.741,36880.046,54100
"M593.49T1539.529",84854.8165,168190.1966,225122.252,254580.076,349482.045,244794.054,335000
"M423.198T1506.423",108648.24715,593411.8484,738161.86,724434.323,565841.49,587766.044,618000
"M547.402T1437.709",77377.9272250001,200879.6187,230201.896,172493.958,460601.302,278352.461,288000
"M879.468T1338.726",40838.248,3205.6913,44184.472,98451.371,89877.39,90429.685,99400
"M556.445T1212.039",11049.217,3942.2917,31930.752,163353.676,23814.668,17303.352,23500
"M668.509T1456.373",48266.9355,46595.9331,71107.661,95899.971,156682.416,97290.696,135000
"M618.492T1624.789",59873.2545,50694.5957,70032.295,106798.057,157368.423,121387.96,145000
"M393.189T1440.567",24376.4205,146768.0189,169388.244,155747.588,179523.573,184871.039,196000
"M629.464T1456.367",60219.02875,156744.2698,286333.224,305526.038,399494.738,322401.825,361000
"M555.454T1439.586",34739.0395,86625.4791,158662.419,198439.434,194350.883,203618.288,205000
"M592.477T1439.652",59115.52925,53174.349,129919.406,189541.22,297374.55,160320.885,199000
"M889.305T842.452",26428.43425,5406.244,32551.846,61297.672,68800.16,66555.649,65000
