"","Fold Change","log2(FC)"
"M722.259T892.9",0.022572,-5.4693
"M443.333T1262.042",0.073198,-3.7721
"M399.308T1262.042",0.074614,-3.7444
"M561.396T1195.638",0.12802,-2.9656
"M479.188T913.185",7.2402,2.856
"M951.603T1424.253",6.4202,2.6826
"M537.533T1295.888",0.15658,-2.675
"M609.455T1145.906",0.15835,-2.6588
"M341.283T1305.932",0.19581,-2.3525
"M771.504T1195.638",0.20021,-2.3204
"M619.438T1245.233",0.20941,-2.2556
"M847.517T1163.004",0.22375,-2.1601
"M576.533T1641.124",3.9926,1.9973
"M787.545T1575.098",3.5353,1.8218
"M545.37T1372.761",0.29909,-1.7413
"M542.478T1573.977",3.2196,1.6869
"M541.474T1573.977",2.8551,1.5136
"M808.52T1220.972",0.3517,-1.5076
"M374.303T1319.161",0.35373,-1.4993
"M495.298T1036.333",0.3599,-1.4744
"M817.317T940.819",2.6942,1.4299
"M475.412T1607.605",2.5741,1.3641
"M441.224T1179.269",0.39209,-1.3507
"M392.284T1436.378",0.40403,-1.3075
"M504.265T1099.137",0.42327,-1.2403
"M807.348T918.929",2.3073,1.2062
"M677.438T1339.916",2.2849,1.1921
"M1085.421T973.898",2.2771,1.1872
"M576.484T1557.453",2.1801,1.1244
"M629.529T1601.79",2.1732,1.1199
"M798.839T1023.188",2.1494,1.1039
"M817.32T1025.439",2.08,1.0566
"M813.332T1056.081",2.0679,1.0482
"M659.418T1406.262",2.0654,1.0465
"M589.228T896.878",2.0571,1.0406
