"","PC1","PC2","PC3","PC4","PC5"
"M589.459T1372.544",0.087172,-0.0014131,-0.093782,-0.095868,-0.48774
"M285.134T1052.907",0.015274,-0.064596,0.09336,0.12136,-0.72018
"M569.292T994.771",0.03177,-0.018287,0.12986,0.11732,0.14598
"M637.414T1384.421",0.05636,0.012226,-0.093784,-0.035357,0.03632
"M593.485T1401.37",0.048668,-0.026255,-0.091633,0.10271,0.038779
"M985.571T1146.934",-0.06258,-0.05177,0.032463,-0.020254,-0.044568
"M593.49T1490.213",0.049977,-0.023455,-0.093183,0.092996,-0.037093
"M986.591T1195.638",-0.073222,-0.069456,0.041254,0.027765,-0.053043
"M926.605T1358.969",0.074747,-0.11681,0.095992,0.061882,0.069905
"M593.49T1557.453",0.051547,-0.022034,-0.085314,0.095876,-0.034634
"M587.442T1269.605",-0.051326,-0.016308,-0.1589,0.10868,0.0019739
"M593.49T1539.529",0.054017,-0.0044975,-0.084264,0.096917,-0.02117
"M423.198T1506.423",-0.046965,-0.017064,-0.0010835,0.055485,-0.0080836
"M547.402T1437.709",0.070094,0.090549,-0.098431,-0.052989,-0.0009431
"M879.468T1338.726",0.060975,-0.13968,0.0054413,0.036125,0.015898
"M668.509T1456.373",0.073612,-0.026335,-0.094232,0.066709,-0.026839
"M618.492T1624.789",0.079205,-0.054082,-0.044228,0.031889,-0.04436
"M393.189T1440.567",0.037326,0.040395,0.037962,0.041115,-0.030871
"M629.464T1456.367",0.049927,0.0016414,-0.067339,0.026963,-0.016166
"M555.454T1439.586",0.038188,-0.0703,0.020411,0.015153,0.02497
"M592.477T1439.652",0.058442,-0.046237,-0.15447,0.016592,-0.01958
"M889.305T842.452",0.068784,-0.10806,-0.0070057,-0.014624,0.0097439
"M513.307T1059.952",-0.02115,-0.023335,0.14389,-0.089209,-0.0089695
"M630.465T1474.173",0.061613,-0.026321,-0.07677,0.047966,0.01912
"M329.158T1625.781",0.063406,0.079365,0.052638,-0.057585,0.011017
"M660.517T1423.005",0.069385,-0.030772,-0.14944,-0.057301,0.057765
"M670.538T1472.8",0.063687,-0.039925,-0.11683,-0.048727,-0.035052
"M513.251T1355.541",0.031548,-0.053755,-0.037574,0.15009,-0.0011197
"M882.48T1339.403",0.042933,-0.13535,-0.031472,0.1123,0.061059
"M575.477T1491.784",0.054839,-0.01397,-0.12287,0.046813,0.043068
"M564.206T918.312",0.084138,-0.11218,0.02183,-0.052618,0.014131
"M564.208T942.149",0.086903,-0.10478,0.03068,-0.033923,0.036084
"M343.224T1621.712",0.050497,0.0036787,0.056324,0.02053,-0.0099768
"M609.455T1145.906",-0.14708,-0.025146,-0.066633,-0.068795,-0.028712
"M771.504T1195.638",-0.13913,0.047407,0.050411,0.029901,0.0021951
"M523.36T1271.932",0.052317,0.20938,0.058524,0.099773,0.084752
"M660.514T1439.78",0.074491,-0.018616,-0.12725,-0.053191,-0.0068147
"M351.253T1019.694",-0.021803,-0.043184,0.16204,-0.052623,-0.0065293
"M949.553T1173.004",-0.069462,-0.053693,0.12831,0.024708,0.032898
"M875.492T1306.216",-0.035998,-0.042515,0.045042,0.080068,0.010403
"M979.313T847.893",0.043472,-0.094594,-0.046087,-0.11055,-0.024106
"M349.196T1335.803",-0.0092815,-0.077352,-0.0066544,-0.09568,-0.0088168
"M691.436T1356.203",-0.031445,-0.044791,0.020808,-0.035496,0.015925
"M575.479T1456.772",0.0641,0.0055542,-0.11043,0.045419,-0.0028033
"M919.292T824.161",0.059511,-0.039756,0.0073695,-0.089443,-0.0042745
"M545.37T1372.761",-0.10477,-0.11076,-0.1075,0.00062529,-0.029495
"M1085.421T973.898",0.10534,-0.10261,0.0049384,-0.040384,-0.025496
"M1114.854T834.347",0.049266,-0.14159,0.036982,-0.11126,-0.043194
"M987.579T1163.004",-0.074738,-0.063714,0.10459,0.037826,-0.0072774
"M441.224T1179.269",-0.10117,-0.066498,-0.032555,0.0075816,-0.096466
"M899.349T990.311",0.068645,-0.039051,0.072423,-0.02027,-0.0058593
"M659.418T1406.262",0.093344,0.022276,-0.013589,0.025438,0.027865
"M841.471T1389.363",0.06587,0.037069,-0.028167,0.074747,0.069729
"M655.418T1389.36",0.041826,0.023258,-0.094888,-0.11799,0.010985
"M575.479T1473.048",0.075956,0.010125,-0.091788,0.028625,0.042688
"M575.481T1540.694",0.076409,0.010392,-0.089996,0.03342,-0.034985
"M331.187T1104.601",-0.019548,-0.088815,0.064952,-0.024832,0.012173
"M549.424T1386.472",0.056616,-0.057174,-0.1355,-0.11886,0.061151
"M423.211T1338.363",-0.071489,0.0061929,-0.06983,0.10313,0.043395
"M886.353T1006.792",0.060479,-0.086121,0.024746,0.014609,-0.029309
"M585.283T918.479",-0.057147,-0.07181,0.11996,0.061552,0.026498
"M956.379T959.199",0.060697,-0.10145,0.00057128,0.075923,0.046672
"M329.157T1608.526",0.065057,0.041065,0.078595,-0.038121,0.009024
"M549.19T901.604",0.080717,-0.12376,-0.024376,0.16744,-4.9287e-05
"M822.526T1212.039",-0.067764,-0.022485,-0.02406,0.09033,-0.062335
"M351.108T857.905",-0.075761,0.064773,0.059292,0.058771,0.0042089
"M640.557T1608.472",0.059658,-0.0011411,-0.088805,-0.032999,0.017091
"M423.212T1319.031",-0.080658,-0.0026005,-0.034497,0.12879,-0.0019916
"M541.474T1573.977",0.11158,0.024422,-0.0035448,-0.038666,0.074659
"M519.225T1025.439",0.084608,-0.17097,0.0863,0.04028,-0.083471
"M817.32T1025.439",0.10329,-0.1567,0.023546,-0.033237,0.014348
"M629.459T1473.698",0.044617,0.030557,-0.073372,0.04249,-0.025931
"M847.517T1163.004",-0.1301,-0.054603,0.036555,0.19679,-0.021388
"M898.349T936.403",0.069969,-0.05774,-0.0020372,0.019232,-0.00040861
"M652.416T1356.524",0.030962,-0.072747,0.097121,0.069133,0.0184
"M449.365T1540.699",0.039186,-0.047365,0.022924,0.071008,-0.011136
"M537.533T1295.888",-0.1503,-0.048811,0.037986,0.015613,-0.013718
"M561.396T1195.638",-0.091275,-0.2757,-0.1142,0.055601,-0.017449
"M530.218T901.604",0.091426,-0.12961,0.0027191,0.02823,0.014299
"M812.538T1253.346",-0.072019,-0.073756,-0.043828,-0.046291,0.0020296
"M495.298T1036.333",-0.10804,-0.039435,-0.049423,-0.12329,-0.047981
"M367.15T410.425",0.017432,-0.13479,0.067164,-0.19774,-0.02119
"M589.228T896.878",0.093944,-0.08288,0.04627,0.10763,-0.076313
"M617.489T1624.961",0.087173,-0.046661,-0.019809,0.035148,0.043328
"M535.409T1440.116",0.080929,0.0049685,0.029223,-0.08655,-0.046269
"M673.432T1355.711",0.043558,-0.012782,-0.0056812,0.045796,-0.0056213
"M817.317T940.819",0.11098,-0.077935,0.028602,-0.098648,0.0088144
