"",f.value,p.value,-log10(p),FDR,Fisher's LSD
M619.438T1245.233,62.534,6.7722e-06,5.1693,0.001156,Control - Drought; Control - Fusarium; Control - Xanthomonas; Drought - Fusarium
M576.533T1641.124,52.696,1.2989e-05,4.8864,0.001156,Drought - Control; Fusarium - Control; Xanthomonas - Control; Fusarium - Drought
M392.284T1436.378,47.013,1.9987e-05,4.6993,0.0011859,Control - Drought; Control - Fusarium; Control - Xanthomonas; Drought - Fusarium; Drought - Xanthomonas
M443.333T1262.042,33.755,6.8618e-05,4.1636,0.0030535,Control - Drought; Control - Fusarium; Control - Xanthomonas
M441.224T1179.269,28.481,0.0001276,3.8941,0.0045426,Control - Drought; Control - Fusarium; Control - Xanthomonas
M399.308T1262.042,24.235,0.00022799,3.6421,0.0063472,Control - Drought; Control - Fusarium; Control - Xanthomonas
M609.455T1145.906,23.626,0.00024961,3.6027,0.0063472,Control - Drought; Control - Fusarium; Control - Xanthomonas
M545.37T1372.761,21.58,0.00034381,3.4637,0.0069928,Control - Drought; Control - Fusarium; Control - Xanthomonas
M535.447T1540.43,21.409,0.00035357,3.4515,0.0069928,Fusarium - Control; Xanthomonas - Control; Fusarium - Drought; Fusarium - Xanthomonas
M535.409T1440.116,19.828,0.00046237,3.335,0.0082301,Drought - Control; Fusarium - Control; Xanthomonas - Control; Fusarium - Drought; Xanthomonas - Drought; Fusarium - Xanthomonas
M330.263T1492.022,19,0.00053609,3.2708,0.0086748,Control - Drought; Control - Fusarium; Control - Xanthomonas
M542.478T1573.977,17.168,0.00075955,3.1194,0.011267,Drought - Control; Fusarium - Control; Xanthomonas - Control
M576.484T1557.453,16.253,0.00091479,3.0387,0.012526,Drought - Control; Fusarium - Control; Xanthomonas - Control; Fusarium - Drought
M722.259T892.9,14.379,0.0013787,2.8605,0.017529,Control - Drought; Control - Fusarium; Control - Xanthomonas
M449.365T1540.699,14.051,0.001488,2.8274,0.017658,Fusarium - Control; Fusarium - Drought; Fusarium - Xanthomonas
M847.517T1163.004,13.705,0.0016151,2.7918,0.017968,Control - Drought; Control - Fusarium; Control - Xanthomonas; Drought - Fusarium
M449.347T1490.033,12.603,0.002123,2.6731,0.019917,Fusarium - Control; Fusarium - Drought; Fusarium - Xanthomonas
M549.431T1507.08,12.501,0.0021791,2.6617,0.019917,Drought - Control; Fusarium - Control; Xanthomonas - Control; Fusarium - Drought
M479.188T913.185,12.414,0.0022291,2.6519,0.019917,Drought - Control; Fusarium - Control; Xanthomonas - Control
M331.187T1104.601,12.399,0.0022378,2.6502,0.019917,Control - Fusarium; Drought - Fusarium; Xanthomonas - Fusarium
M771.504T1195.638,12.016,0.002475,2.6064,0.020068,Control - Drought; Control - Fusarium; Control - Xanthomonas
M541.474T1573.977,12.008,0.0024803,2.6055,0.020068,Drought - Control; Fusarium - Control; Xanthomonas - Control
M504.265T1099.137,11.219,0.0030792,2.5116,0.022677,Control - Drought; Control - Fusarium; Control - Xanthomonas
M341.283T1305.932,11.088,0.0031951,2.4955,0.022677,Control - Drought; Control - Fusarium; Control - Xanthomonas
M383.284T1439.726,11.072,0.0032097,2.4935,0.022677,Control - Drought; Control - Fusarium; Control - Xanthomonas
M415.326T1295.888,10.878,0.0033933,2.4694,0.022677,Control - Fusarium; Control - Xanthomonas; Drought - Fusarium; Drought - Xanthomonas
M455.315T1295.888,10.831,0.0034398,2.4635,0.022677,Control - Drought; Control - Fusarium; Control - Xanthomonas
M691.433T1253.346,9.3293,0.0054477,2.2638,0.03281,Control - Drought; Control - Fusarium; Control - Xanthomonas; Fusarium - Drought; Xanthomonas - Drought
M812.538T1253.346,9.2878,0.0055215,2.2579,0.03281,Control - Drought; Control - Fusarium; Control - Xanthomonas; Drought - Fusarium
M569.292T994.771,9.2833,0.0055297,2.2573,0.03281,Control - Fusarium; Drought - Fusarium; Xanthomonas - Fusarium
M765.518T1313.696,9.017,0.0060362,2.2192,0.033703,Control - Drought; Control - Fusarium; Control - Xanthomonas
M329.158T1625.781,8.9476,0.0061778,2.2092,0.033703,Drought - Control; Fusarium - Control; Xanthomonas - Control; Fusarium - Drought
