"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas","Xanthomonas"
"M589.459T1372.544","-0.68761130","-0.41726327"," 0.41261514"," 0.47833953","-0.19298376","-0.26791092"," 0.13180939"," 0.12253522","-0.18742154"," 0.60274834"," 0.06947734","-0.06433417"
"M285.134T1052.907"," 0.1781856"," 0.3755652","-0.1871834"," 0.4545394"," 0.2423068","-0.1987169","-1.0670846","-0.5628619","-0.2381155"," 0.1683896"," 0.3386492"," 0.4963265"
"M569.292T994.771"," 0.1483364"," 0.2355622","-0.0914959"," 0.1951337"," 0.2747450","-0.1226188","-0.9656945","-0.5004858","-0.3173906"," 0.1356252"," 0.4109040"," 0.5973791"
"M637.414T1384.421","-0.4052586967","-0.2874521776"," 0.2136680851"," 0.1575168138","-0.2686071434","-0.1054075276"," 0.2140139848","-0.0405031684"," 0.0901844227"," 0.4961080379","-0.0640292443","-0.0002333863"
"M867.584T1358.969"," 0.20229472"," 0.25453178"," 0.65108486"," 0.70811839"," 0.46258278"," 0.17863612","-0.94971303","-0.03921355","-1.84681842"," 0.21659321"," 0.12784669"," 0.03405645"
"M593.485T1401.37","-0.51249621","-0.17836787","-0.13823880"," 0.06489938"," 0.11423875","-0.15244991"," 0.15601985"," 0.22816313"," 0.43992866"," 0.21180314","-0.37666260"," 0.14316248"
"M985.571T1146.934"," 0.41371694"," 0.53479344"," 0.08049110","-0.41797631"," 0.18615686"," 0.17568654","-0.30461680","-0.18944959","-0.39129469","-0.16637829"," 0.13689489","-0.05802406"
"M593.49T1490.213","-0.51191470","-0.20091090","-0.16150963"," 0.08976864"," 0.11136731","-0.14922220"," 0.12581934"," 0.24732566"," 0.49319854"," 0.20943174","-0.36459712"," 0.11124331"
"M639.424T1291.55","-0.06590204"," 0.32031551"," 0.19118219","-0.12627874","-0.25548112","-0.56457577","-0.02801958"," 0.17917750"," 0.18503491"," 0.08019038"," 0.01119425"," 0.07316251"
"M986.591T1195.638"," 0.46296943"," 0.68201928","-0.26445577","-0.13202619"," 0.24160091"," 0.06823114","-0.42148694","-0.20981480","-0.12277019","-0.32358262"," 0.04706831","-0.02775257"
"M926.605T1358.969","-0.94521800","-0.08710577","-0.31784188"," 0.10477546"," 0.61831656","-0.17053276","-0.06564339"," 0.31337145"," 0.25056201","-0.17824074"," 0.16518341"," 0.31237364"
