"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"sodium_formate","3985225","3922751","3861917","4036646","3843867","3845185","4021608","4043455","3773975","3345591","3565070","3680698","4066642","3879396","4076296","3815932","3878103","3825451"
"M589.459T1372.544"," 22898.167"," 83715.581","104461.691","226027.719","228000.000","126610.206","124000.000","177000.000","163865.837"," 14712.663","117960.702","  3998.005","104409.026","118000.000"," 84365.090","252427.935","160733.435","141000.000"
"M285.134T1052.907"," 10686.981","221176.579","269413.681","153462.067","292000.000","232329.913","151000.000"," 59500.000"," 95671.297","  3603.015","128288.515","  2482.162","160927.146","191000.000","153403.204","212892.242","259981.006","304000.000"
"M569.292T994.771","  1421.487","116906.609","125497.818"," 94825.907","120000.000","129907.456"," 91600.000"," 39900.000"," 59084.648","  5226.939"," 66932.652","  2515.551","102229.288","111000.000","104590.730","112297.945","149970.546","178000.000"
"M637.414T1384.421"," 53442.26","143299.11","151115.55","211600.27","195000.00","152124.45","175000.00","212000.00","170563.00"," 48200.34","173888.75"," 41628.81","139944.60","160000.00","143226.42","235868.34","172879.44","177000.00"
"M867.584T1358.969","18354.289","32761.048","35158.164","70727.559","74000.000","49353.927","32300.000"," 5040.000","21154.058"," 7990.827","    0.000"," 6016.550","32248.813","20500.000","24506.329","32630.246","28642.034","24200.000"
"M593.485T1401.37","156741.04","216680.45","263561.92","282573.67","306000.00","315815.58","279000.00","341000.00","333144.57"," 66489.44","359844.89"," 53538.40","272104.30","284000.00","261169.05","333378.11","233447.10","320000.00"
"M985.571T1146.934","  1537.353","178876.252","191828.130","145460.725"," 97400.000","149300.626","155000.000","111000.000","112383.819"," 15277.650"," 92054.447"," 11917.359","125480.205","129000.000","128808.398","115500.518","145428.538","125000.000"
"M593.49T1490.213","171483.42","224110.02","270191.11","289759.18","325000.00","329718.67","291000.00","350000.00","353585.38"," 77789.38","392041.70"," 61226.37","289607.08","301000.00","267183.40","348798.00","243878.15","328000.00"
"M639.424T1291.55"," 13470.63","114977.20","139862.17","136206.79","109000.00","101587.38"," 89700.00","121000.00","126508.99"," 10545.58","119890.22"," 20888.27"," 95363.57","100000.00"," 92325.35","121164.46","118571.56","121000.00"
"M986.591T1195.638","  6681.598","148335.411","172198.193"," 88307.664"," 92900.000","123095.507","113000.000"," 78600.000"," 86026.052","     0.000"," 86764.012","  7312.201"," 91905.500"," 87000.000","101335.693"," 79847.172","107246.557","100000.000"
"M926.605T1358.969"," 8431.946","11644.476","25191.321","21307.465","29900.000","47911.428","24300.000","26900.000","35548.104"," 5609.031","31699.993"," 2755.358","17132.194"," 8480.000","17400.043","22894.754","31885.377","36000.000"
"M593.49T1557.453","180130.22","227135.22","272513.50","299213.90","330000.00","336005.66","302000.00","361000.00","353179.64"," 77778.78","399154.39"," 63930.32","292353.56","311000.00","276348.13","352067.14","250656.70","338000.00"
"M587.442T1269.605","13190.031","76765.522","79488.415","63126.516","74100.000","52482.374","46900.000","52300.000","43834.814"," 8001.361","44082.819"," 5165.632","44571.114","45100.000","37939.253","64047.741","36880.046","54100.000"
"M593.49T1539.529","168190.20","225122.25","254580.08","292686.33","320000.00","336590.26","297000.00","339000.00","350202.44"," 77749.38","390489.95"," 63948.64","289508.97","305000.00","264314.23","349482.04","244794.05","335000.00"
"M423.198T1506.423","593411.8","738161.9","724434.3","637786.9","637000.0","717697.4","621000.0","672000.0","665182.3","524318.7","682051.2","566826.1","623271.4","658000.0","659107.7","565841.5","587766.0","618000.0"
"M547.402T1437.709","200879.6","230201.9","172494.0","351511.7","333000.0","251916.9","285000.0","402000.0","297278.5","222711.3","303207.9","211829.9","276375.5","304000.0","300705.4","460601.3","278352.5","288000.0"
"M879.468T1338.726","  3205.691"," 44184.472"," 98451.371"," 69612.409"," 82200.000"," 90657.927"," 78900.000","176000.000","103215.973","  7454.359","134227.258"," 11896.540"," 73566.546"," 93800.000"," 70470.566"," 89877.390"," 90429.685"," 99400.000"
"M556.445T1212.039","  3942.292"," 31930.752","163353.676"," 18602.835"," 30800.000"," 33383.517"," 24400.000"," 11500.000"," 12657.841","  2138.860"," 10418.402"," 10398.115"," 21989.765"," 29200.000"," 19674.738"," 23814.668"," 17303.352"," 23500.000"
"M668.509T1456.373"," 46595.93"," 71107.66"," 95899.97","116576.69","143000.00"," 96121.83"," 93800.00","148000.00","132930.82"," 37228.83","136490.02"," 39634.44","104592.52"," 83100.00"," 94905.62","156682.42"," 97290.70","135000.00"
"M618.492T1624.789"," 50694.60"," 70032.29","106798.06","128297.16","123000.00","151873.74","122000.00","163000.00","143552.87"," 43068.22","214683.51"," 56998.35","137223.93","134000.00","129062.14","157368.42","121387.96","145000.00"
"M393.189T1440.567","146768.0","169388.2","155747.6","157820.8","165000.0","174654.8","156000.0","175000.0","170158.8","163621.4","179369.3","143534.7","157168.0","168000.0","161297.8","179523.6","184871.0","196000.0"
"M629.464T1456.367","156744.3","286333.2","305526.0","337661.7","341000.0","344133.6","290000.0","462000.0","363209.3","100140.6","420063.9"," 90429.3","304003.4","325000.0","298773.9","399494.7","322401.8","361000.0"
"M555.454T1439.586"," 86625.48","158662.42","198439.43","264694.25","223000.00","177272.73","193000.00","288000.00","232846.78"," 66422.43","228223.78"," 63742.67","178568.01","184000.00","171041.46","194350.88","203618.29","205000.00"
"M592.477T1439.652"," 53174.35","129919.41","189541.22","198719.12","218000.00","175740.26","185000.00","302000.00","235415.74"," 40815.97","270650.17"," 36834.82","167705.27","182000.00","157507.23","297374.55","160320.89","199000.00"
"M889.305T842.452"," 5406.244","32551.846","61297.672","99537.774","74100.000","69766.621","83500.000","49200.000","65277.940"," 8757.159","37932.111","19658.833","54469.651","62300.000","56081.294","68800.160","66555.649","65000.000"
"M513.307T1059.952","      0.0"," 942716.4"," 928715.8"," 467060.4"," 793000.0"," 927941.2"," 483000.0"," 229000.0"," 315444.7","  14535.7"," 420868.1","   9123.4"," 484322.3"," 867000.0"," 457639.0"," 693698.2","1131877.9"," 820000.0"
"M630.465T1474.173"," 58363.92"," 95043.93","118291.15","131454.34","146000.00","121561.38","101000.00","193000.00","144984.42"," 45568.17","154746.67"," 41543.10","101020.23","132000.00","106510.65","164246.44","120097.68","147000.00"
"M329.158T1625.781","115728.44"," 94952.88"," 72574.31","117679.49","133000.00","102079.73","104000.00","133000.00","148447.81","130689.50","122532.02","118875.95","137886.03","120000.00","129731.65","126411.51","139292.70","123000.00"
"M660.517T1423.005"," 44944.44"," 59501.12"," 83916.64","123230.60","130000.00"," 81819.60"," 90700.00","194000.00","158401.18"," 33612.44","123931.90"," 30557.38"," 96138.78"," 99100.00"," 80796.79","162355.22"," 87432.44"," 89300.00"
"M670.538T1472.8"," 90766.67"," 79878.44","110017.90","141942.00","135000.00"," 99916.29","119000.00","201000.00","158984.61"," 38953.46","134731.48"," 41175.41","100401.59","127000.00","102631.55","175005.29","114704.33","115000.00"
"M513.251T1355.541"," 22679.43","226532.94","284481.15","173294.40","255000.00","196237.03","174000.00","220000.00","199376.32"," 34222.44","225397.20"," 19934.47","156313.21","214000.00","169440.82","281037.70","237196.15","326000.00"
"M882.48T1339.403"," 2833.867","41238.903","83587.362","50047.893","36600.000","62152.400","38500.000","93600.000","84624.714"," 2081.161","90899.988"," 2217.107","52645.160","71400.000","50754.363","70084.716","59958.009","82100.000"
"M839.506T1306.415"," 21629.35","123667.66","134406.40","100146.09","110000.00","147035.78","120000.00","159000.00","147184.84"," 35186.68","143205.08"," 19981.20","103178.33","117000.00","127185.33","128116.83","131972.40","152000.00"
"M575.477T1491.784"," 51828.37","396062.43","474009.31","611083.55","575000.00","599231.77","478000.00","667000.00","635533.52"," 44426.68","628600.60"," 10283.41","488346.82","393000.00","474320.77","704093.70","442494.57","563000.00"
"M564.206T918.312","     0.000"," 72246.027","159157.715","184154.155","216000.000","162588.284","193000.000","190000.000","207224.117","  3573.035","179505.162","  1776.774","150000.642","139000.000","132469.064","197681.821","216958.784","183000.000"
"M564.208T942.149","     0.000"," 72261.713","154063.082","182264.911","205000.000","158378.459","183000.000","185000.000","206672.112","  3494.878","175518.853","     0.000","149868.503","136000.000","128398.861","195224.054","216690.617","194000.000"
"M343.224T1621.712"," 92913.62"," 74256.78"," 76141.65"," 80808.97"," 82700.00"," 57266.22"," 65400.00","101000.00","101756.24"," 84635.87","112674.13"," 71345.10"," 97398.71"," 79300.00"," 86661.91"," 88033.24"," 96225.80"," 98500.00"
"M609.455T1145.906","  6740.162","213102.146","159285.699"," 34086.016"," 23600.000"," 56132.184"," 39900.000"," 21700.000"," 27294.339","     0.000"," 16178.189"," 11974.308"," 29296.799"," 32900.000"," 35900.426"," 31575.697"," 35059.624"," 20600.000"
"M771.504T1195.638","  15659.564","2245550.871"," 923252.551"," 298331.091"," 264000.000"," 520888.168"," 314000.000"," 233000.000"," 253350.645","   5150.772"," 290009.218","   5031.365"," 305789.317"," 321000.000"," 319015.275"," 213308.063"," 388733.561"," 335000.000"
"M523.36T1271.932","     0.00"," 90698.73"," 26915.41","171328.28","139000.00","167483.68","198000.00","114000.00"," 93568.47","     0.00"," 55499.29","     0.00","198384.68"," 78200.00","205727.82"," 83096.01"," 76072.45","122000.00"
"M660.514T1439.78"," 53435.12"," 64048.51"," 84776.99","125330.57","138000.00"," 85843.71"," 88300.00","195000.00","139082.38"," 39450.57","123238.26"," 30183.37","100335.56","103000.00"," 80661.68","168740.43"," 97882.84","100000.00"
"M351.253T1019.694","  1520.072","527161.428","557457.259","227626.276","429000.000","502151.661","257000.000","112000.000","191952.109","     0.000","237060.000","  2448.558","256953.356","503000.000","222283.925","370944.738","654572.844","493000.000"
