"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"sodium_formate","3985225.417","3922751.054","3861917.098","4036645.716","3843867.149","3845185.216","4021607.908","4043455.006","3773975.074","3345590.809","3565069.568","3680698.477","4066641.635","3879395.65","4076296.312","3815932.471","3878102.735","3825451.14"
"M589.459T1372.544","22898.1671","83715.581","104461.691","226027.719","228000","126610.206","124000","177000","163865.837","14712.6626","117960.702","3998.0049","104409.0261","118000","84365.09","252427.935","160733.435","141000"
"M285.134T1052.907","10686.981","221176.579","269413.681","153462.067","292000","232329.913","151000","59500","95671.297","3603.0154","128288.515","2482.1616","160927.1464","191000","153403.204","212892.242","259981.006","304000"
"M569.292T994.771","1421.487","116906.609","125497.818","94825.907","120000","129907.456","91600","39900","59084.648","5226.939","66932.652","2515.551","102229.2876","111000","104590.73","112297.945","149970.546","178000"
"M637.414T1384.421","53442.2594","143299.106","151115.548","211600.274","195000","152124.445","175000","212000","170563.001","48200.3358","173888.749","41628.8069","139944.5964","160000","143226.42","235868.344","172879.439","177000"
"M867.584T1358.969","18354.2891","32761.048","35158.164","70727.559","74000","49353.927","32300","5040","21154.058","7990.8268","1008","6016.5501","32248.8127","20500","24506.329","32630.246","28642.034","24200"
"M593.485T1401.37","156741.0441","216680.445","263561.921","282573.673","306000","315815.576","279000","341000","333144.566","66489.44","359844.889","53538.4039","272104.2977","284000","261169.055","333378.112","233447.098","320000"
"M985.571T1146.934","1537.3531","178876.252","191828.13","145460.725","97400","149300.626","155000","111000","112383.819","15277.6498","92054.447","11917.3594","125480.2053","129000","128808.398","115500.518","145428.538","125000"
"M593.49T1490.213","171483.425","224110.018","270191.106","289759.181","325000","329718.667","291000","350000","353585.379","77789.3816","392041.697","61226.368","289607.0826","301000","267183.403","348797.998","243878.151","328000"
