"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M589.459T1372.544",0.068747,-0.050339,0.0088862,0.063978,-0.18682,0.045414,0.068953,0.0055158,0.022449,-0.14866,-0.02341,0.16988
"M285.134T1052.907",-0.058959,-0.050205,0.023276,0.28179,0.049751,0.13541,0.047096,-0.0041237,0.089008,0.027409,0.0029219,0.42564
"M569.292T994.771",-0.050275,-0.062075,-0.0052394,0.25735,0.063861,0.10306,-0.018986,0.038532,0.061667,0.057619,-0.08763,-0.6212
"M637.414T1384.421",0.051548,8.5115e-05,0.0012058,0.014391,-0.1128,0.074906,0.031831,0.080832,0.013121,-0.031456,0.019465,-0.1501
"M867.584T1358.969",-0.087918,-0.23954,-0.012314,0.15321,-0.23146,-0.049377,0.10417,-0.1074,6.0698e-05,0.035068,-0.23429,0.023679
"M593.485T1401.37",0.058069,0.038314,0.036048,0.018456,0.023583,-0.051214,0.13842,0.023446,0.032348,0.079515,0.0076598,0.09712
"M985.571T1146.934",-0.07092,-0.028731,0.026166,-0.0084865,0.028358,-0.052097,-0.10645,0.094541,0.027001,0.040652,-0.095279,-0.43397
"M593.49T1490.213",0.059724,0.040379,0.036415,0.017822,0.030656,-0.044261,0.14213,0.0077375,0.05556,0.071842,0.021059,0.072885
"M639.424T1291.55",0.0036342,0.059884,0.07269,0.034046,-0.035911,0.015395,-0.0021979,0.020524,-0.0048121,-0.16409,-0.23483,0.19741
"M986.591T1195.638",-0.078722,0.0080318,0.053467,0.036058,0.088343,-0.040388,-0.024294,-0.0056374,0.029734,0.048082,0.032884,0.18026
"M926.605T1358.969",0.06134,-0.024061,0.07016,0.13092,0.13627,-0.20496,0.036235,-0.069878,-0.0038804,-0.0059728,0.039401,-0.014506
"M593.49T1557.453",0.060989,0.036844,0.033734,0.015563,0.034942,-0.039331,0.13696,0.017154,0.04229,0.072596,0.027604,8.022e-05
"M587.442T1269.605",-0.051624,0.025838,0.03552,0.032793,-0.10824,0.069793,0.22631,0.053122,-0.05368,0.0078063,-0.0052029,-0.060995
"M593.49T1539.529",0.061462,0.031844,0.020485,0.02049,0.041916,-0.036971,0.14225,0.01371,0.068376,0.085588,0.0065721,-0.017456
"M423.198T1506.423",-0.021726,0.047729,0.02045,-0.025407,0.081674,-0.062756,0.097606,-0.0355,0.018114,-0.050275,-0.011943,-0.0015901
"M547.402T1437.709",0.071583,0.0021078,-0.077987,-0.004889,-0.11735,0.066106,0.051442,0.062966,0.05187,-0.019766,0.033862,-0.006216
