"","sample","condition","sodium_formate","M589.459T1372.544","M285.134T1052.907","M569.292T994.771","M637.414T1384.421","M867.584T1358.969","M593.485T1401.37","M985.571T1146.934"
"1","D12.1","Drought",4036645.716,226027.719,153462.067,94825.907,211600.274,70727.559,282573.673,145460.725
"2","D12.2","Drought",3843867.149,228000,292000,120000,195000,74000,306000,97400
"3","D12.3","Drought",3845185.216,126610.206,232329.913,129907.456,152124.445,49353.927,315815.576,149300.626
"4","D12.4","Drought",4021607.908,124000,151000,91600,175000,32300,279000,155000
"5","F12.1","Fusarium",4043455.006,177000,59500,39900,212000,5040,341000,111000
"6","F12.2","Fusarium",3773975.074,163865.837,95671.297,59084.648,170563.001,21154.058,333144.566,112383.819
"7","F12.3","Fusarium",3345590.809,14712.6626,3603.0154,5226.939,48200.3358,7990.8268,66489.44,15277.6498
"8","F12.4","Fusarium",3565069.568,117960.702,128288.515,66932.652,173888.749,0,359844.889,92054.447
"9","BLANK.2","Other",3680698.477,3998.0049,2482.1616,2515.551,41628.8069,6016.5501,53538.4039,11917.3594
"10","QC.1","Other",4066641.635,104409.0261,160927.1464,102229.2876,139944.5964,32248.8127,272104.2977,125480.2053
"11","QC.2","Other",3879395.65,118000,191000,111000,160000,20500,284000,129000
"12","QC.3","Other",4076296.312,84365.09,153403.204,104590.73,143226.42,24506.329,261169.055,128808.398
"13","C12.1","Control",3985225.417,22898.1671,10686.981,1421.487,53442.2594,18354.2891,156741.0441,1537.3531
"14","C12.3","Control",3922751.054,83715.581,221176.579,116906.609,143299.106,32761.048,216680.445,178876.252
"15","C12.4","Control",3861917.098,104461.691,269413.681,125497.818,151115.548,35158.164,263561.921,191828.13
"16","X12.1","Xanthomonas",3815932.471,252427.935,212892.242,112297.945,235868.344,32630.246,333378.112,115500.518
"17","X12.2","Xanthomonas",3878102.735,160733.435,259981.006,149970.546,172879.439,28642.034,233447.098,145428.538
"18","X12.3","Xanthomonas",3825451.14,141000,304000,178000,177000,24200,320000,125000
