"",F.stat,p.value,-log10(p),FDR
M681.474T1424.253,14.521,2.0487e-06,5.6885,0.00080494
M681.469T1389.183,13.658,3.2654e-06,5.4861,0.00080494
M681.469T1408.485,13.083,4.5129e-06,5.3455,0.00080494
M449.365T1540.699,12.68,5.6985e-06,5.2442,0.00080494
M637.411T1406.122,12.557,6.1259e-06,5.2128,0.00080494
M695.45T1338.973,12.104,8.0359e-06,5.095,0.00087993
M679.553T1406.451,11.626,1.0796e-05,4.9667,0.0010133
M679.436T1338.726,11.254,1.3668e-05,4.8643,0.001048
M637.415T1439.736,11.043,1.5666e-05,4.805,0.001048
M679.452T1355.733,10.921,1.6962e-05,4.7705,0.001048
M637.412T1422.711,10.87,1.7546e-05,4.7558,0.001048
M682.472T1373.006,10.595,2.1062e-05,4.6765,0.0011362
M660.517T1313.696,10.468,2.2954e-05,4.6391,0.0011362
M649.479T1423.325,10.389,2.4212e-05,4.616,0.0011362
M555.454T1439.586,10.177,2.8004e-05,4.5528,0.0012266
M648.466T1423.012,9.7717,3.7222e-05,4.4292,0.0014267
M624.432T1423.013,9.7073,3.8973e-05,4.4092,0.0014267
M650.482T1423.013,9.7032,3.9089e-05,4.4079,0.0014267
M670.528T1488.279,9.5344,4.4139e-05,4.3552,0.0015263
M695.451T1225.817,9.4465,4.7052e-05,4.3274,0.0015457
M646.455T1423.013,9.1945,5.6648e-05,4.2468,0.0017003
M660.517T1423.005,9.1877,5.6936e-05,4.2446,0.0017003
M555.447T1456.772,9.1064,6.0493e-05,4.2183,0.001728
M680.474T1439.81,8.9579,6.7652e-05,4.1697,0.001852
M661.446T1372.452,8.5292,9.4105e-05,4.0264,0.0024435
M574.467T1456.399,8.4945,9.6698e-05,4.0146,0.0024435
M668.509T1456.373,8.3404,0.00010922,3.9617,0.0025294
M637.414T1384.421,8.3269,0.0001104,3.957,0.0025294
M655.418T1389.36,8.3024,0.00011258,3.9485,0.0025294
M646.461T1352.771,8.2704,0.0001155,3.9374,0.0025294
M646.454T1406.122,8.0523,0.00013772,3.861,0.0029188
M655.416T1372.761,8.0074,0.00014285,3.8451,0.0029329
M623.428T1439.576,7.9077,0.00015503,3.8096,0.002943
M481.362T1439.996,7.9051,0.00015536,3.8087,0.002943
M660.514T1439.78,7.8941,0.00015678,3.8047,0.002943
M668.506T1440.08,7.7947,0.00017024,3.7689,0.0030989
M680.472T1423.013,7.7649,0.00017452,3.7582,0.0030989
M555.451T1436.867,7.7323,0.00017933,3.7464,0.0031005
M646.453T1439.754,7.6761,0.00018798,3.7259,0.0031667
M664.462T1368.515,7.6322,0.00019505,3.7099,0.0032037
M590.465T1389.456,7.592,0.00020179,3.6951,0.0032336
M549.424T1386.472,7.5082,0.00021667,3.6642,0.0033894
M670.538T1472.8,7.4476,0.00022819,3.6417,0.0034866
M555.456T1423.317,7.3431,0.00024967,3.6026,0.003728
M623.429T1456.316,7.2633,0.00026758,3.5725,0.0039067
M650.482T1439.948,7.1543,0.00029435,3.5311,0.004204
M624.436T1440.08,7.1241,0.00030229,3.5196,0.0042256
M639.424T1423.012,7.0927,0.00031079,3.5075,0.0042318
M603.415T1456.538,7.0753,0.00031561,3.5008,0.0042318
M639.422T1384.421,6.8958,0.00037046,3.4313,0.004626
M647.463T1423.013,6.8731,0.00037808,3.4224,0.004626
M623.428T1423.013,6.8641,0.00038118,3.4189,0.004626
M1076.413T957.42,6.8637,0.00038131,3.4187,0.004626
M481.361T1422.828,6.849,0.0003864,3.413,0.004626
