"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M697.459T1191.472","-0.450542152","-0.831439061","-0.708362837","-0.259653738"," 0.092071490","-0.531818064"," 1.472440748","-0.518439736","-0.863564284","-0.416818623","-1.052268903"," 0.040891618","-0.289173425","-0.266421723"," 0.196741422"," 0.082478094"," 0.370885811"," 0.759344326"," 0.793018253"," 0.338786970"," 0.260646322"," 0.184566405"," 0.001490886"," 0.261590501"," 0.592556219"," 0.224426403"," 0.516567077"
"M695.447T1189.727","-0.45409538","-0.35900913","-0.15040006","-0.21304353","-0.10826501","-0.34833005"," 0.21660239","-0.33065351","-0.23579635","-0.13097226","-0.41831659","-0.22960773","-0.28481641","-0.38472165"," 0.05143000"," 0.26736162"," 0.24714297"," 0.57373524"," 0.79176029"," 0.09712763"," 0.03599584"," 0.09197272","-0.08853606"," 0.03271375"," 0.47553717"," 0.50154314"," 0.35364097"
"M917.581T1308.231","-0.343087968","-0.148747093"," 0.373089828","-0.148912182","-0.008363836","-0.073812377"," 0.434052693","-0.400589013","-0.195732971","-0.819119402","-1.198951019","-0.052012209"," 0.355067607","-0.490185810"," 0.037490146","-0.221179997"," 0.146705517"," 0.012106274"," 0.659662199"," 0.694432241"," 0.049730942","-0.119281732"," 0.169498117","-0.109201129"," 0.429953619"," 0.827028637"," 0.140358916"
"M711.445T1221.644","-0.34495722","-0.39414956","-0.42065138"," 0.00361744"," 0.10417169","-0.41262746"," 0.31691867","-0.40409790","-0.62455412","-0.36619663","-0.60753630","-0.21716327","-0.24025181","-0.45506946","-0.03918665","-0.01384594"," 0.28952410"," 0.65742938"," 0.69718227"," 0.21485232"," 0.01477126"," 0.51200015","-0.06787892","-0.05957185"," 0.94870048"," 0.54830469"," 0.36026602"
"M557.468T1423.166","-0.40591427"," 0.60233675","-0.13441678"," 0.07126339","-0.35963994","-0.67378821","-0.50697648","-0.38371813","-0.29935602","-0.67027725","-1.25915988"," 0.38406205"," 0.14974733","-0.10092982"," 0.36694187","-0.34624882"," 0.18585889"," 0.32016837"," 0.78928652"," 0.43668543"," 0.12285138"," 0.28759600"," 0.35571720"," 0.12424272"," 0.57929941"," 0.29634548"," 0.06802281"
"M679.436T1338.726","-0.391354371","-0.509825746","-0.304481776","-0.152276457","-0.134106673","-0.357893386","-0.124202610","-0.576963680","-0.428117533","-0.793598920","-0.725757840"," 0.094215489","-0.214755919","-0.364891638","-0.004828941","-0.103794328"," 0.267023933"," 0.645604506"," 0.678569280"," 0.233065704"," 0.126819206"," 0.708519093"," 0.359892557"," 0.391032435"," 1.005894445"," 0.330863492"," 0.345349678"
"M589.459T1372.544","-1.08122864"," 0.27663842","-0.41867415"," 0.03717256","-0.10650689","-0.52881364","-0.05348951","-0.84133119","-0.56292425","-0.74691088","-1.49002908"," 0.20513989","-0.12513404","-0.68600180"," 0.48113420"," 0.03829079"," 0.20805729"," 0.72918372"," 0.77045568"," 0.34889479"," 0.30184388"," 0.55285032"," 0.54702656"," 0.35238761"," 0.84857882"," 0.51370859"," 0.42968096"
"M681.469T1408.485","-0.669099212","-0.681560626","-0.634245023","-0.177963546","-0.008302654","-0.403126346","-0.016367828","-0.565228145","-0.487024606","-0.692085577","-0.945395875"," 0.128117851","-0.386084490","-0.393300218"," 0.113111660","-0.073995992"," 0.235907113"," 0.747148409"," 0.657868696"," 0.202840977"," 0.278141592"," 0.752883159"," 0.499099084"," 0.791498918"," 0.946143567"," 0.380733735"," 0.400285377"
"M695.451T1225.817","-0.49826255","-0.42067342","-0.32450885","-0.24762417","-0.06835596","-0.36284689"," 0.16641703","-0.51036803","-0.36647304","-0.27312410","-0.51920922","-0.18719310","-0.31716736","-0.45488913","-0.05884533"," 0.10244810"," 0.15526297"," 0.61773019"," 0.66836546"," 0.36439889"," 0.08873746"," 0.54492622"," 0.11848102"," 0.16181820"," 0.90295468"," 0.35624433"," 0.36175661"
"M681.469T1389.183","-0.674149414","-0.681101733","-0.621222513","-0.129332170","-0.005013690","-0.463357531","-0.005369582","-0.548301545","-0.590678762","-0.707700703","-0.951046590"," 0.138146416","-0.363749206","-0.376322596"," 0.090738303","-0.046633121"," 0.248511483"," 0.760666957"," 0.674637168"," 0.217151114"," 0.283184216"," 0.775360724"," 0.527735046"," 0.692335914"," 0.958072250"," 0.396485008"," 0.400954557"
"M680.474T1439.81","-0.35070173","-0.45491646","-0.18723611","-0.38122959"," 0.01031669","-0.20467598","-0.08344097","-0.55670880","-0.48155420","-0.40634296","-0.61905236","-0.16902799","-0.16297464","-0.34966307","-0.13378556","-0.14514958"," 0.12118953"," 0.43850367"," 0.43644693"," 0.25572011"," 0.09608860"," 0.54650460"," 0.32408280"," 1.32356602"," 0.76790682"," 0.31522343"," 0.05091079"
"M574.467T1456.399"," 0.091889284","-0.834757593","-0.254741838","-0.229338961","-0.062107495","-0.381145204","-0.108231585","-0.304217864","-0.826858936","-0.467259718","-1.381638168"," 0.144122764","-0.266639321","-0.009226696"," 0.456260904","-0.070515669"," 0.166105997"," 0.621721970"," 0.419132218"," 0.374708775"," 0.118320515"," 0.743896028"," 0.572055804"," 0.349897388"," 0.642457444"," 0.148759007"," 0.347350951"
"M565.421T1295.888","-0.42293641","-0.48264686","-0.50375897","-0.19249136"," 0.02938749","-0.35932918"," 0.34495706","-0.69704913","-0.25272470","-0.76239776","-0.91626846"," 0.13115379","-0.25995202","-0.07379114"," 0.11503539","-0.08175426"," 0.36079654"," 0.38435483"," 0.52917305"," 0.15458770"," 0.26462351"," 0.58704857"," 0.11030773"," 0.73267821"," 0.71873852"," 0.15435377"," 0.38790409"
"M681.474T1424.253","-0.65427771","-0.59799979","-0.55937887","-0.11299344","-0.05530633","-0.48486379","-0.41908447","-0.59130019","-0.52997323","-0.60474448","-0.78796565"," 0.18318515","-0.35698650","-0.38544271"," 0.06147372","-0.10642054"," 0.21039672"," 0.74573611"," 0.66689770"," 0.20301733"," 0.28231851"," 0.76922397"," 0.55101192"," 0.84243965"," 0.96233566"," 0.36928009"," 0.39942116"
"M679.452T1355.733","-0.40518743","-0.55846628","-0.35036723","-0.07458451","-0.15392077","-0.37576671","-0.16766928","-0.62650499","-0.44840508","-0.50467163","-0.75018303"," 0.05367931","-0.25943753","-0.41158760","-0.01273827","-0.10521057"," 0.33319073"," 0.64140918"," 0.60718104"," 0.30289424"," 0.12128057"," 0.70270235"," 0.36259877"," 0.37619248"," 0.98856352"," 0.39023317"," 0.32477556"
"M713.46T1208.68","-0.14666657","-0.86075488","-1.34810049","-0.23780513"," 0.45552807","-0.64762480"," 0.36685300","-0.61667650","-0.49243896","-0.71753483","-0.11876170","-0.07814429","-0.68417168","-0.20623907"," 0.26573491"," 0.09679270"," 0.24135001"," 0.97967435"," 1.08482515"," 0.16753477"," 0.40561999"," 0.44203592","-0.29895707"," 0.31509554"," 0.65172282"," 0.31557848"," 0.66553028"
"M711.444T1322.388","-0.305296156","-0.246953431","-0.278502160","-0.021280932","-0.003058596","-0.285708035"," 0.141686291","-0.465382318","-0.366518065","-0.415200880","-0.614808265","-0.091058592","-0.252097980","-0.360150356","-0.111278671","-0.096597191"," 0.210732553"," 0.547652638"," 0.678171673"," 0.123656328","-0.056812779"," 0.484762818"," 0.127080911"," 0.096410834"," 0.816460811"," 0.426997088"," 0.317092460"
"M637.414T1384.421","-0.33739946","-0.54902959","-0.42328401","-0.04185135","-0.05310098","-0.18521661"," 0.03261595","-0.42724346","-0.32133182","-0.17754625","-0.77867910","-0.15664463","-0.29083479","-0.13685323"," 0.20064391"," 0.01117742"," 0.09624500"," 0.45810174"," 0.41755515"," 0.10985291"," 0.22769864"," 0.45835151"," 0.27456580"," 0.36893473"," 0.66205037"," 0.25757772"," 0.30364443"
"M637.411T1406.122","-0.35352411","-0.44753195","-0.39165955","-0.06834620","-0.24623699","-0.17960329","-0.13258600","-0.29710677","-0.36357545","-0.23494394","-0.82190352","-0.08900533","-0.22028237","-0.13531345"," 0.10741629","-0.01050788"," 0.22449204"," 0.46197698"," 0.41556500"," 0.07970178"," 0.23215759"," 0.46926165"," 0.31648389"," 0.42922851"," 0.66911652"," 0.32190019"," 0.26482636"
"M729.452T1109.944","-0.23322209","-0.58644642","-0.46379209","-0.10366513"," 0.08996231","-0.16908824"," 0.76803895","-0.77059551","-0.61146674","-0.40833860","-0.86921680","-0.21382216","-0.30938915","-0.36611874"," 0.02415997"," 0.58366960"," 0.23685941"," 0.85914618"," 0.79995673"," 0.22405994","-0.08734718"," 0.19025266","-0.19292030"," 0.20207923"," 0.74556733"," 0.22979843"," 0.43187841"
"M571.365T1456.373","-0.163016718","-0.349765687","-0.333526340","-0.537578569"," 0.009543592","-0.551902895"," 0.140856845","-0.001948573","-0.121001654","-0.486637315","-0.538304171","-0.039900581","-0.210929547","-0.171019578"," 0.278823665"," 0.200133215","-0.053023046"," 0.313514873"," 0.431974933"," 0.336727901"," 0.072241554"," 0.496731134"," 0.276856254"," 0.058729702"," 0.409345024"," 0.207561571"," 0.325514412"
"M865.579T1358.969","-0.78541396","-1.65128574","-1.64409144","-0.33026630"," 0.71638034","-0.23903152"," 0.47918953"," 0.37914051","-0.67504174"," 0.07772012","-0.61056462","-1.66887980","-0.58885863"," 0.72055772"," 0.30872060"," 0.78328170"," 0.41307270"," 0.57564362"," 0.05369252"," 1.38531803"," 0.42481555","-0.12578071"," 0.07201684"," 0.60121322"," 0.44542375"," 0.48763879"," 0.39538892"
"M867.584T1358.969"," 0.21976771"," 0.11420473","-0.83824153","-1.07209509"," 0.38405647","-0.14713727"," 0.55637147"," 0.26062044","-1.01434062"," 0.05866213","-0.77602655","-0.71291679"," 0.34004373","-0.25115459"," 0.62717286"," 0.42058673"," 0.47399995"," 0.87948092"," 0.93779841"," 0.68673511"," 0.39639541","-0.75742132"," 0.17363991","-1.98843177"," 0.43520716"," 0.34446234"," 0.24856004"
"M682.472T1373.006","-0.76322674","-0.65280871","-0.51262713","-0.18395647","-0.07713691","-0.50174850"," 0.26901492","-0.46490247","-0.68094791","-0.67917356","-0.83292558"," 0.21140100","-0.46896803","-0.42379087"," 0.03037425","-0.05177659"," 0.36194228"," 0.71468847"," 0.73724289"," 0.09540973"," 0.26685434"," 0.76280784"," 0.55625057"," 0.58743073"," 0.89852178"," 0.31456408"," 0.48748659"
"M589.459T1264.044","-0.69255311","-0.64103432","-0.61652144","-0.13593227"," 0.02217668","-0.62675378"," 0.80829805","-0.24782757","-1.50832632","-0.45040894","-0.84729131","-0.20473786","-0.36532941","-0.22207714"," 0.64889397"," 0.45136885"," 0.45748331"," 0.59993225"," 0.63727289"," 0.42050401"," 0.23669806"," 0.37077342"," 0.47603518"," 0.05705724"," 0.72174832"," 0.31169624"," 0.33885500"
