"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"sodium_formate","4070413","3874278","3824226","4055654","3969364","3963523","3748519","4093395","3922085","4081197","3906272","4398137","3999488","3978044","3825768","4040031","3680698","4066642","3879396","4076296","3985225","3922751","3861917","4036646","3843867","3845185","4021608","4043455","3773975","3345591","3565070","3815932","3878103","3825451","3977822","3907525","3448104","4002206","4056292","3963081","4082963","4193594","4242376","4078873","4313778","3963971","3742876","3939109","3533826","4923007"
"M697.459T1191.472"," 55684.876"," 31896.562"," 37098.796"," 71562.789","111944.303"," 48654.170","665881.902"," 51152.706"," 30936.349"," 58400.000"," 23958.044","  3987.173","105354.099"," 67484.420"," 66900.000","131000.000","     0.000","147331.173"," 99500.000","139952.827","  4925.650","109223.737","157950.877","277117.269","276000.000","150678.262","142000.000","129000.000"," 94326.210","  9214.087","126038.528","209734.842","130477.612","190000.000","137572.763","228447.064","187283.400"," 82705.200","  4625.085","128266.249","  3362.488","  2588.325","     0.000"," 60600.000","  6515.785"," 47200.126","534594.482","762000.000","185085.512","186617.685"
"M695.447T1189.727"," 83081.17"," 85123.95"," 98764.80"," 99779.16","105915.18"," 87808.38","128651.83"," 91936.17"," 94806.81","107000.00"," 81972.15"," 11746.82"," 97142.53"," 92575.63"," 82400.00","122000.00"," 13450.29","126049.00","134000.00","125924.46"," 19392.73","140032.11","135717.61","182706.21","206000.00","120301.17","120000.00","126000.00","102252.78"," 18034.69","106107.26","160062.42","165981.27","146000.00","116325.51","167423.14","128777.30","114125.41"," 17284.99","104406.61"," 12174.79"," 17581.67"," 15014.72"," 63800.00"," 16365.94"," 86965.52","281743.58","452000.00","136650.07","119040.16"
"M917.581T1308.231"," 34368.139"," 39887.509"," 67059.285"," 41747.830"," 47160.955"," 44049.130"," 69950.821"," 32592.502"," 38489.281"," 21200.000"," 13771.314","  7160.489"," 45448.735"," 68485.376"," 27800.000"," 50300.000","  2115.866"," 61374.969"," 67700.000"," 46004.327","  9064.565"," 37509.030"," 53751.262"," 48972.723"," 90300.000"," 93593.596"," 50700.000"," 42900.000"," 53763.315","  2184.188"," 38215.561"," 70911.576","108071.863"," 52900.000"," 92649.707"," 64002.073"," 44982.186"," 70877.455","     0.000"," 45941.555","  2228.387","  9019.918","  5330.599"," 44400.000","  7895.401"," 33404.838","162064.821","108000.000"," 64149.565"," 78964.098"
"M711.445T1221.644"," 58457.913"," 53010.795"," 50978.457"," 82090.413"," 88703.875"," 53254.345","103285.031"," 55463.079"," 42774.535"," 57400.000"," 43321.796"," 10203.841"," 65139.613"," 63334.344"," 49300.000"," 78400.000","  5467.375"," 77338.266"," 86200.000"," 96719.521"," 11971.511"," 78046.979","103578.250","155516.821","154000.000"," 95820.480"," 82300.000","135000.000"," 71197.308"," 11876.817"," 67808.492","195832.604","134190.509","110000.000","102449.748","106714.933","101793.614"," 70451.133","  3004.094","135886.033","  8924.035","  6290.609","  7110.435"," 38400.000","  6448.279"," 52657.281","143071.013","231000.000","118936.139"," 87909.880"
"M557.468T1423.166","199019.02","562584.29","250667.02","331934.43","204020.49","145123.88","164335.18","204996.72","215146.99","150000.00"," 76024.85"," 26879.33","458836.87","354372.38","260000.00","455000.00"," 14892.10","292374.48","410000.00","334984.91"," 39046.76","204560.74","357704.93","432231.66","683000.00","466922.50","348000.00","418000.00","419916.39"," 12881.07","308958.32","540500.29","404711.33","312000.00","231699.35","241482.17","245033.79","327270.94"," 22049.61","301279.84"," 32785.28"," 36617.24"," 21219.29","110000.00"," 22606.45","248796.33","320273.77","282000.00","379981.12","413593.65"
"M679.436T1338.726","219264.28","183868.95","226053.86","282101.50","281515.63","221283.13","268682.99","180811.48","203130.70","143000.00","147167.78"," 81548.80","362081.72","258822.43","212000.00","329000.00","122476.95","359010.18","452000.00","377428.72"," 78495.64","287374.16","420579.58","658959.21","650000.00","403825.84","377000.00","706000.00","453907.66"," 72123.09","443298.43","915668.03","452176.76","453000.00","350518.99","347506.67","363400.16","324729.21"," 61661.36","609073.78"," 57609.80"," 65878.85"," 52471.46","137000.00"," 66952.48","257347.43","512714.30","805000.00","397378.64","426273.60"
"M589.459T1372.544"," 18198.211","115326.556"," 43119.788"," 86416.853"," 69205.068"," 38320.483"," 70375.896"," 25582.141"," 36156.258"," 29100.000","  9869.014"," 20803.956","107743.117"," 67575.905"," 29700.000","160000.000","  3998.005","104409.026","118000.000"," 84365.090"," 22898.167"," 83715.581","104461.691","226027.719","228000.000","126610.206","124000.000","177000.000","163865.837"," 14712.663","117960.702","252427.935","160733.435","141000.000"," 64163.335","121022.322","124036.391"," 84968.282"," 13171.180","136182.215","     0.000","  9652.612","  6904.501"," 14200.000"," 15977.650"," 95905.188","255011.064","217000.000","111333.303","113297.717"
"M681.469T1408.485"," 171388.88"," 160621.74"," 168156.22"," 314539.18"," 380164.15"," 232317.24"," 355429.75"," 196123.72"," 207110.62"," 167000.00"," 116647.31","  98855.80"," 453876.11"," 238162.95"," 227000.00"," 450000.00"," 112389.29"," 518672.14"," 584000.00"," 525769.48"," 133199.61"," 346225.44"," 501134.66"," 989238.79"," 843000.00"," 478860.76"," 550000.00"," 998000.00"," 679366.94"," 114663.11"," 923215.06","1197736.88"," 602551.00"," 609000.00"," 376162.00"," 402854.57"," 516846.53"," 326616.99"," 126741.15","1218474.85"," 142260.44"," 362643.95","  90280.19"," 171000.00","  85777.01"," 310512.75"," 924603.96","1190000.00"," 529692.69"," 567483.82"
