"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M697.459T1191.472",0.048116,0.033765,-0.081051,0.15134,-0.13356,0.034941,-0.0017379,0.05558
"M695.447T1189.727",0.028019,0.025472,0.050292,0.058531,-0.068363,-0.0051153,-0.013903,0.055375
"M917.581T1308.231",0.021754,0.04463,-0.030579,0.042006,-0.043039,0.025808,-0.080217,0.13068
"M711.445T1221.644",0.035656,0.043507,0.02973,0.057041,-0.084303,0.013599,-0.019547,0.077396
"M557.468T1423.166",0.028276,0.066761,-0.010051,-0.051136,-0.018475,0.067764,-0.079746,0.056794
"M679.436T1338.726",0.046565,0.057029,0.02254,0.014295,-0.033219,0.022774,-0.028008,0.024961
"M589.459T1372.544",0.049676,0.085702,-0.0022675,0.0070126,-0.063362,0.06152,-0.067755,0.095637
"M681.469T1408.485",0.059243,0.057242,0.0068451,0.023146,-0.039783,0.023224,-0.013037,0.0027755
"M695.451T1225.817",0.038548,0.040408,0.053009,0.050989,-0.055874,0.019953,-0.036447,0.037884
"M681.469T1389.183",0.05932,0.058443,0.0095244,0.025537,-0.045932,0.021165,-0.014872,0.013721
"M680.474T1439.81",0.043715,0.043618,0.019515,0.014783,0.0027985,-0.043826,-0.038533,-0.011925
"M574.467T1456.399",0.04982,0.046503,-0.028064,-0.0017544,-0.072919,0.025212,0.056005,-0.034477
"M565.421T1295.888",0.043794,0.051994,-0.051084,0.053366,-0.0273,0.029511,0.0089624,-0.019709
"M681.474T1424.253",0.05893,0.057803,0.039886,-0.0095301,-0.01935,0.0031752,-0.013384,0.0062156
"M679.452T1355.733",0.047799,0.052273,0.029516,0.01382,-0.036459,0.011918,-0.023114,0.034736
"M713.46T1208.68",0.048503,0.034312,0.057638,0.079982,-0.11376,0.053283,0.072432,-0.034076
"M711.444T1322.388",0.032231,0.044259,0.014718,0.032318,-0.048462,0.018835,-0.034902,0.046969
"M637.414T1384.421",0.038512,0.031354,0.0020897,0.022487,-0.043897,0.018053,0.027599,-0.0032211
"M637.411T1406.122",0.0389,0.034881,0.011478,0.013263,-0.03046,0.016193,0.018241,0.013101
"M729.452T1109.944",0.034227,0.047827,0.00020007,0.1106,-0.12848,-0.016073,0.027532,0.026032
"M571.365T1456.373",0.027975,0.029062,0.035655,0.035245,-0.040396,0.079617,-0.0041301,-0.038891
"M865.579T1358.969",0.053517,-0.015264,0.14752,0.18328,-0.13258,-0.082832,0.067866,-0.16073
"M867.584T1358.969",0.010169,-0.00065373,0.14019,0.12704,-0.24406,0.13225,0.01626,0.094286
"M682.472T1373.006",0.057858,0.054956,-0.0095322,0.04888,-0.048332,0.017096,-0.033184,0.030891
"M589.459T1264.044",0.04806,0.045237,0.004664,0.12495,-0.13769,-0.025268,0.00068902,0.052917
"M633.478T1401.37",0.040467,0.048173,-0.068002,-0.00015859,-0.015468,-0.02099,0.017726,-0.0049737
"M646.455T1423.013",0.047139,0.048907,0.02547,-0.01106,-0.018348,0.025512,0.020529,-0.0071123
"M637.412T1422.711",0.039895,0.0339,0.0090134,0.0048602,-0.03365,0.0091661,0.024993,-0.0045289
"M591.474T1330.445",0.05374,0.047138,-0.059936,0.04386,-0.052487,0.051222,-0.01096,-0.033557
"M645.45T1333.909",0.033356,0.033152,-0.022033,0.059315,-0.049918,-0.0076403,-0.0048436,0.012748
"M593.485T1401.37",0.041874,0.036343,-0.059452,0.011786,-0.0024955,0.019644,0.006176,-0.048993
"M591.474T1402.346",0.053091,0.047488,-0.060776,0.033299,-0.045629,0.044359,-0.01128,-0.03085
"M645.458T1212.039",0.028116,0.027085,-0.036328,0.072565,-0.061784,-0.010386,-0.017464,0.020228
"M555.363T1275.021",0.02628,0.012248,0.035017,0.094484,-0.11005,0.11945,-0.090548,-0.029392
"M670.528T1488.279",0.043545,0.048548,0.020814,-0.015852,-0.021348,0.011941,0.00075556,0.0079538
"M679.449T1212.039",0.036044,0.0090968,0.057833,0.063383,-0.054919,-0.011807,0.00064589,0.019891
"M697.464T1209.593",0.039985,0.058471,-0.065808,0.057708,-0.027248,0.0421,-0.099765,0.084241
"M985.571T1146.934",-0.010929,-0.025595,-0.047495,0.068083,-0.072703,-0.03735,0.04982,0.017035
"M565.409T1275.021",0.040896,0.045864,-0.058691,0.074524,-0.043052,0.035557,-0.00049809,1.362e-05
"M698.466T1253.346",0.039551,0.056829,-0.038533,0.03775,-0.043302,0.024123,-0.081536,0.10478
"M661.446T1372.452",0.042271,0.041409,0.016716,0.029938,-0.0078626,0.013729,-0.020713,0.017779
"M695.45T1338.973",0.04505,0.052976,0.070905,0.00057982,-0.029385,0.020124,-0.014796,0.0075973
