"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C9.1",-11.653,-0.12392,0.10236,-1.4961,-1.785,1.3358,1.6795,-1.0717
"C9.2",-20.599,9.2117,0.53756,-0.7197,0.69248,1.5214,-1.8275,0.4098
"C9.3",-6.1597,-0.76699,-0.82956,-1.8343,0.40411,-1.9567,-1.3507,0.79918
"C9.4",-4.8199,2.704,-1.8922,-2.7766,-0.92319,-1.6134,-0.18681,1.4195
"D9.1",-2.675,-0.75926,-0.38251,-1.0477,-1.9578,-1.3641,0.27119,-1.5118
"D9.2",-7.5666,-1.0912,-0.66881,0.11247,0.25745,-0.75638,1.2672,0.27866
"D9.3",-2.9403,-2.6365,-3.6394,6.0166,-1.7907,1.2497,-1.2555,0.67856
"D9.4",-3.3747,-6.2469,0.27068,-1.5555,-0.75895,0.039217,-0.57984,-0.25024
"F9.1",-3.4323,-3.6894,-0.54942,-1.237,1.706,2.1665,-0.87961,-1.9378
"F9.2",1.2973,-10.825,0.27103,-0.24149,-0.096644,-0.70438,0.75208,0.56003
"F9.3",-9.3034,-8.1567,2.6705,0.95591,2.3887,-0.81128,-0.78826,0.16883
"X9.1",1.7722,2.721,-2.0755,-1.6672,1.4337,0.49905,0.72389,0.46647
"X9.2",-2.6252,-1.7131,-0.27855,0.011385,1.9793,-0.074566,0.62224,2.5667
"X9.3",-0.31451,-3.9828,-0.81117,1.9555,2.139,-0.23789,0.81588,-2.715
"X9.4",2.9691,0.80051,-1.0628,-1.1318,-1.6404,0.37802,1.3002,-0.92526
"C12.3",-8.3099,6.2432,2.5699,2.8647,-2.337,-0.9838,1.8425,-0.99104
"C12.4",3.9052,1.1867,-0.63949,2.4268,-0.85494,-1.7983,-0.42161,0.33588
"D12.1",10.787,-2.1818,1.142,-1.279,-3.7459,0.78823,-1.3148,-0.075647
"D12.2",7.2397,3.0821,0.23427,-0.077987,-1.8347,-0.85632,-0.21321,0.62775
"D12.3",2.0739,1.1533,2.0001,0.61529,-0.46309,-0.18582,-1.8531,-0.27068
"D12.4",7.4754,-5.2667,0.67082,-1.1853,-1.7067,1.9089,1.1074,1.5023
"F12.1",6.6178,6.3184,-0.79024,-0.71035,1.2375,1.3289,0.7197,-0.066326
"F12.2",10.31,-0.36682,0.33447,-0.32381,1.2207,0.64146,-1.8313,-0.9579
"F12.4",10.357,3.2919,-0.70496,-0.63,2.6032,-1.8246,-0.15,-1.2362
"X12.1",8.8501,6.9559,0.91532,0.43131,-0.076113,-0.0021571,-0.58338,-0.43548
"X12.2",4.1922,1.5756,1.8246,1.4241,1.2207,0.9071,0.44718,2.0972
"X12.3",5.9271,2.5632,0.78081,1.1,2.6882,0.40554,1.6866,0.53418
