"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M681.474T1424.253",1.8826,1.8612,1.7127,1.683,1.6524,1.6387,1.6331,1.6317
"M681.469T1389.183",1.8546,1.8186,1.6601,1.6257,1.6052,1.5928,1.5873,1.586
"M681.469T1408.485",1.8466,1.8086,1.651,1.6162,1.5918,1.5798,1.5744,1.5731
"M682.472T1373.006",1.7775,1.7319,1.5824,1.5488,1.5368,1.524,1.5195,1.5183
"M679.553T1406.451",1.7694,1.844,1.9451,1.9104,1.8749,1.8791,1.8726,1.8711
"M589.459T1372.544",1.7071,1.7403,1.6052,1.5788,1.5596,1.5577,1.5524,1.5557
"M865.579T1358.969",1.661,1.6243,2.302,2.2588,2.3594,2.3486,2.3416,2.3406
"M648.466T1423.012",1.6375,1.5825,1.473,1.4416,1.4152,1.4056,1.4026,1.4014
"M713.46T1208.68",1.5746,1.5669,1.5699,1.5368,1.557,1.5677,1.5654,1.565
"M695.45T1338.973",1.574,1.6164,1.5802,1.5522,1.5274,1.5147,1.5104,1.5092
"M647.463T1423.013",1.5669,1.5057,1.4779,1.4465,1.4254,1.4158,1.4116,1.4104
"M679.452T1355.733",1.5557,1.5496,1.4244,1.3981,1.3821,1.3706,1.3663,1.3652
"M679.436T1338.726",1.5434,1.5491,1.4202,1.392,1.373,1.3617,1.3581,1.357
"M631.469T1456.902",1.5321,1.4953,1.3901,1.3879,1.3601,1.3488,1.351,1.3498
"M591.474T1330.445",1.5229,1.4488,1.4378,1.4079,1.3922,1.3858,1.3819,1.381
"M646.455T1423.013",1.517,1.5041,1.3816,1.3548,1.3279,1.3205,1.316,1.3151
"M649.479T1423.325",1.5116,1.4836,1.3549,1.3272,1.3006,1.2945,1.2901,1.289
"M591.474T1402.346",1.4963,1.4217,1.4384,1.4078,1.3896,1.3814,1.3775,1.3766
"M589.459T1264.044",1.4768,1.439,1.3143,1.2884,1.4655,1.4545,1.4497,1.4486
"M625.472T1308.231",1.4758,1.3877,1.6591,1.6347,1.6546,1.6579,1.6528,1.6516
"M660.517T1423.005",1.454,1.4181,1.2946,1.2699,1.247,1.2401,1.2379,1.2374
"M660.514T1439.78",1.4516,1.4399,1.3269,1.3072,1.286,1.2759,1.2723,1.2719
"M591.473T1440.13",1.4454,1.3745,1.4594,1.4297,1.4061,1.3986,1.3954,1.3947
"M632.473T1456.772",1.4315,1.3826,1.3199,1.3148,1.2887,1.2788,1.2805,1.2797
"M1070.408T957.42",1.4187,1.3358,1.313,1.2945,1.269,1.3187,1.3188,1.319
"M650.482T1423.013",1.4068,1.3643,1.2811,1.2619,1.2429,1.2359,1.2325,1.2315
"M1105.447T942.609",1.3966,1.3155,1.231,1.2186,1.1941,1.2177,1.2172,1.2162
"M680.474T1439.81",1.3961,1.3802,1.2675,1.2414,1.2233,1.2311,1.2287,1.2277
"M574.467T1456.399",1.3919,1.32,1.3889,1.3919,1.3957,1.3886,1.3841,1.3856
"M670.528T1488.279",1.3915,1.3759,1.2559,1.2393,1.2168,1.2076,1.2035,1.2024
"M661.446T1372.452",1.3875,1.3868,1.3084,1.2859,1.2607,1.2502,1.2468,1.2457
"M564.208T942.149",1.3867,1.3046,1.459,1.4569,1.4374,1.4275,1.4229,1.4217
"M541.474T1573.977",1.3829,1.3517,1.2446,1.2744,1.3312,1.3244,1.321,1.3201
"M660.517T1313.696",1.3789,1.3352,1.2191,1.2057,1.1931,1.1847,1.1849,1.1839
"M564.206T918.312",1.3778,1.2963,1.4389,1.4461,1.4259,1.4158,1.411,1.4099
"M549.424T1386.472",1.3763,1.328,1.2361,1.2216,1.1974,1.1882,1.1846,1.1836
"M639.424T1423.012",1.368,1.2951,1.2601,1.2341,1.2093,1.2052,1.2011,1.2004
"M565.421T1295.888",1.3649,1.3367,1.2432,1.2371,1.2136,1.2093,1.2053,1.2043
"M650.482T1439.948",1.3611,1.318,1.2462,1.2273,1.2043,1.1995,1.1954,1.1945
"M592.477T1456.705",1.3598,1.3024,1.3402,1.3122,1.2859,1.2851,1.2807,1.2796
"M926.605T1358.969",1.3584,1.5435,1.8854,1.8613,1.8618,1.8479,1.8415,1.8429
"M549.19T901.604",1.3512,1.2696,1.1684,1.1436,1.165,1.1855,1.2037,1.2046
"M688.545T1335.803",1.3487,1.2944,1.2368,1.2108,1.1875,1.1873,1.1844,1.1834
"M798.839T1023.188",1.347,1.302,1.2233,1.2536,1.252,1.2506,1.2581,1.257
