"","sample","condition","sodium_formate","M697.459T1191.472","M695.447T1189.727","M917.581T1308.231","M711.445T1221.644","M557.468T1423.166","M679.436T1338.726","M589.459T1372.544"
"1","C9.1","First-tp_Control",4070413.164,55684.876,83081.174,34368.139,58457.913,199019.015,219264.282,18198.211
"2","C9.2","First-tp_Control",3874278.07,31896.562,85123.951,39887.509,53010.795,562584.292,183868.945,115326.556
"3","C9.3","First-tp_Control",3824225.78,37098.796,98764.798,67059.285,50978.457,250667.015,226053.862,43119.788
"4","C9.4","First-tp_Control",4055654.438,71562.789,99779.163,41747.83,82090.413,331934.427,282101.502,86416.853
"5","X9.1","First-tp_Xanthomonas",3999488.086,105354.099,97142.53,45448.735,65139.613,458836.872,362081.721,107743.117
"6","X9.2","First-tp_Xanthomonas",3978044.09,67484.42,92575.631,68485.376,63334.344,354372.383,258822.43,67575.905
"7","X9.3","First-tp_Xanthomonas",3825767.55,66900,82400,27800,49300,260000,212000,29700
"8","X9.4","First-tp_Xanthomonas",4040030.701,131000,122000,50300,78400,455000,329000,160000
"9","D9.1","First-tp_Drought",3969364.476,111944.303,105915.184,47160.955,88703.875,204020.494,281515.631,69205.068
"10","D9.2","First-tp_Drought",3963523.235,48654.17,87808.375,44049.13,53254.345,145123.879,221283.13,38320.483
"11","D9.3","First-tp_Drought",3748519.024,665881.902,128651.828,69950.821,103285.031,164335.182,268682.991,70375.896
"12","D9.4","First-tp_Drought",4093395.228,51152.706,91936.174,32592.502,55463.079,204996.718,180811.476,25582.141
"13","F9.1","First-tp_Fusarium",3922085.165,30936.349,94806.809,38489.281,42774.535,215146.995,203130.698,36156.258
"14","F9.2","First-tp_Fusarium",4081197.404,58400,107000,21200,57400,150000,143000,29100
"15","F9.3","First-tp_Fusarium",3906272.338,23958.044,81972.152,13771.314,43321.796,76024.845,147167.781,9869.014
"16","F9.4","First-tp_Fusarium",4398137.214,3987.1729,11746.8246,7160.4891,10203.841,26879.3274,81548.8049,20803.9564
"17","D12.1","Second-tp_Drought",4036645.716,277117.269,182706.209,48972.723,155516.821,432231.665,658959.215,226027.719
"18","D12.2","Second-tp_Drought",3843867.149,276000,206000,90300,154000,683000,650000,228000
"19","D12.3","Second-tp_Drought",3845185.216,150678.262,120301.167,93593.596,95820.48,466922.501,403825.841,126610.206
"20","D12.4","Second-tp_Drought",4021607.908,142000,120000,50700,82300,348000,377000,124000
"21","F12.1","Second-tp_Fusarium",4043455.006,129000,126000,42900,135000,418000,706000,177000
"22","F12.2","Second-tp_Fusarium",3773975.074,94326.21,102252.782,53763.315,71197.308,419916.387,453907.657,163865.837
"23","F12.3","Second-tp_Fusarium",3345590.809,9214.0867,18034.6893,2184.1877,11876.8173,12881.071,72123.0905,14712.6626
"24","F12.4","Second-tp_Fusarium",3565069.568,126038.528,106107.258,38215.561,67808.492,308958.315,443298.429,117960.702
"25","C15.1","Third-tp_Control",3977822.446,137572.763,116325.508,92649.707,102449.748,231699.346,350518.987,64163.335
"26","C15.2","Third-tp_Control",3907525.327,228447.064,167423.142,64002.073,106714.933,241482.173,347506.666,121022.322
"27","C15.3","Third-tp_Control",3448104.282,187283.4,128777.301,44982.186,101793.614,245033.79,363400.156,124036.391
"28","C15.4","Third-tp_Control",4002205.676,82705.2,114125.41,70877.455,70451.133,327270.94,324729.213,84968.282
"29","F15.1","Third-tp_Fusarium",4242375.803,0,15014.7187,5330.5988,7110.4351,21219.2881,52471.459,6904.5008
"30","F15.2","Third-tp_Fusarium",4078872.611,60600,63800,44400,38400,110000,137000,14200
"31","F15.3","Third-tp_Fusarium",4313777.511,6515.7847,16365.9382,7895.4014,6448.2785,22606.4477,66952.4841,15977.6499
"32","F15.4","Third-tp_Fusarium",3963971.025,47200.126,86965.522,33404.838,52657.281,248796.327,257347.427,95905.188
"33","D15.1","Third-tp_Drought",4056292.061,4625.0849,17284.9886,0,3004.0937,22049.6137,61661.3558,13171.1804
"34","D15.2","Third-tp_Drought",3963080.543,128266.249,104406.609,45941.555,135886.033,301279.84,609073.784,136182.215
"35","D15.3","Third-tp_Drought",4082962.694,3362.4878,12174.7889,2228.3874,8924.035,32785.2759,57609.7958,0
"36","D15.4","Third-tp_Drought",4193593.668,2588.3252,17581.6724,9019.9182,6290.6093,36617.2375,65878.845,9652.6116
"37","X15.1","Third-tp_Xanthomonas",3742875.92,534594.482,281743.583,162064.821,143071.013,320273.774,512714.299,255011.064
"38","X15.2","Third-tp_Xanthomonas",3939108.748,762000,452000,108000,231000,282000,805000,217000
"39","X15.3","Third-tp_Xanthomonas",3533825.768,185085.512,136650.0674,64149.5654,118936.1393,379981.1174,397378.6396,111333.3027
"40","X15.4","Third-tp_Xanthomonas",4923007.142,186617.685,119040.159,78964.098,87909.88,413593.65,426273.599,113297.717
"41","BLANK.2","Other",3680698.477,0,13450.2944,2115.8657,5467.3746,14892.0994,122476.9514,3998.0049
"42","QC.1","Other",4066641.635,147331.1733,126048.9958,61374.9686,77338.2661,292374.4778,359010.1836,104409.0261
"43","QC.2","Other",3879395.65,99500,134000,67700,86200,410000,452000,118000
"44","QC.3","Other",4076296.312,139952.827,125924.459,46004.327,96719.521,334984.908,377428.723,84365.09
"45","C12.1","Second-tp_Control",3985225.417,4925.6499,19392.7322,9064.5645,11971.5114,39046.7557,78495.639,22898.1671
"46","C12.3","Second-tp_Control",3922751.054,109223.737,140032.114,37509.03,78046.979,204560.741,287374.165,83715.581
"47","C12.4","Second-tp_Control",3861917.098,157950.877,135717.609,53751.262,103578.25,357704.93,420579.58,104461.691
"48","X12.1","Second-tp_Xanthomonas",3815932.471,209734.842,160062.415,70911.576,195832.604,540500.287,915668.027,252427.935
"49","X12.2","Second-tp_Xanthomonas",3878102.735,130477.612,165981.274,108071.863,134190.509,404711.333,452176.761,160733.435
"50","X12.3","Second-tp_Xanthomonas",3825451.14,190000,146000,52900,110000,312000,453000,141000
