T1,T2
M1076.413T957.42,M619.438T1245.233
M353.341T1488.518,M576.533T1641.124
M1017.38T900.968,M392.284T1436.378
M910.351T957.42,M443.333T1262.042
M733.253T876.34,M441.224T1179.269
M852.32T958.31,M399.308T1262.042
M640.427T1423.35,M609.455T1145.906
M849.321T917.809,M545.37T1372.761
M679.553T1406.451,M535.447T1540.43
M449.365T1540.699,M535.409T1440.116
M367.15T410.425,M330.263T1492.022
M624.432T1423.013,M542.478T1573.977
M1017.397T924.482,M576.484T1557.453
M827.318T827.274,M722.259T892.9
M844.318T843.183,M558.46T1591.049
M850.319T858.821,M449.365T1540.699
M621.422T1439.586,M847.517T1163.004
M511.168T833.583,M449.347T1490.033
M1017.391T843.183,M549.431T1507.08
M984.394T881.272,M479.188T913.185
M744.276T1008.897,M331.187T1104.601
M662.261T828.514,M771.504T1195.638
M875.33T866.333,M541.474T1573.977
M660.517T1313.696,M504.265T1099.137
M590.465T1389.456,M341.283T1305.932
M811.341T843.183,M383.284T1439.726
M809.342T975.822,M605.427T1490.314
M557.468T1423.166,M415.326T1295.888
M806.333T872.624,M455.315T1295.888
M827.326T866.333,M691.433T1253.346
M809.346T827.274,M812.538T1253.346
M850.318T843.183,M569.292T994.771
M340.355T1382.768,M576.484T1473.551
M512.178T893.689,M765.518T1313.696
M507.18T901.88,M329.158T1625.781
M1070.417T942.609,M330.263T1439.913
M757.24T725.919,M535.375T1490.352
M809.345T941.458,M808.52T1220.972
M621.419T1456.849,M523.599T1382.768
M438.219T1156.388,M343.224T1621.712
M705.258T877.183,M635.491T1472.841
M438.207T1136.982,M629.529T1601.79
M990.367T843.183,M533.435T1510.689
M507.173T926.047,M609.518T1624.418
M835.333T951.54,M617.489T1624.961
M904.333T924.482,M817.317T940.819
M1038.388T940.951,M986.591T1195.638
M969.398T948.9,M494.563T1509.9
M848.316T959.199,M772.55T1170.538
M1023.385T959.199,M549.424T1473.203
M875.326T913.799,M351.179T1358.969
M472.321T1423.013,M575.481T1540.694
M1095.412T857.905,M575.479T1473.048
M875.328T942.609,M585.283T918.479
M904.347T942.609,M841.471T1389.363
M895.336T836.496,M332.328T1440.13
M806.333T841.952,M423.212T1319.031
M603.415T1456.538,M475.412T1607.605
M327.177T1330.308,M537.533T1295.888
