T1,T2
M679.553T1406.451,M619.438T1245.233
M367.15T410.425,M392.284T1436.378
M1076.413T957.42,M443.333T1262.042
M481.362T1439.996,M441.224T1179.269
M1017.38T900.968,M545.37T1372.761
M695.45T1338.973,M399.308T1262.042
M852.32T958.31,M609.455T1145.906
M481.361T1422.828,M535.447T1540.43
M680.472T1423.013,M465.265T1237.073
M679.436T1338.726,M722.259T892.9
M681.474T1424.253,M542.478T1573.977
M681.469T1389.183,M535.409T1440.116
M680.474T1439.81,M479.188T913.185
M910.351T957.42,M771.504T1195.638
M1017.397T924.482,M455.315T1295.888
M681.469T1408.485,M330.263T1492.022
M472.321T1423.013,M549.431T1507.08
M624.432T1423.013,M504.265T1099.137
M660.517T1313.696,M341.283T1305.932
M849.321T917.809,M449.365T1540.699
M1017.391T843.183,M449.347T1490.033
M640.427T1423.35,M541.474T1573.977
M590.465T1389.456,M691.433T1253.346
M984.394T881.272,M808.52T1220.972
M682.472T1373.006,M331.187T1104.601
M850.319T858.821,M569.292T994.771
M472.315T1401.37,M847.517T1163.004
M623.428T1423.013,M329.158T1625.781
M848.316T959.199,M576.533T1641.124
M507.18T901.88,M330.263T1439.913
M844.318T843.183,M575.481T1540.694
M850.318T843.183,M477.407T1590.788
M623.429T1456.316,M575.479T1473.048
M623.428T1439.576,M986.591T1195.638
M733.253T876.34,M812.538T1253.346
M679.452T1355.733,M609.518T1624.418
M512.178T893.689,M817.317T940.819
M567.43T1421.35,M549.424T1473.203
M574.467T1456.399,M343.224T1621.712
M806.333T872.624,M629.529T1601.79
M811.341T843.183,M494.563T1509.9
M557.468T1423.166,M629.464T1456.367
M511.168T833.583,M535.375T1490.352
M832.307T992.353,M332.328T1440.13
M639.424T1423.012,M351.108T857.905
M646.455T1423.013,M691.436T1356.203
M809.342T975.822,M577.49T1591.335
M1070.417T942.609,M477.398T1574.327
M353.341T1488.518,M841.471T1389.363
M649.479T1423.325,M549.428T1523.962
M1002.386T959.199,M423.212T1319.031
M984.382T940.951,M475.412T1607.605
M827.318T827.274,M537.533T1295.888
M904.347T942.609,M820.327T1006.792
M875.33T866.333,M523.599T1382.768
M662.261T828.514,M640.557T1608.472
M969.398T948.9,M374.303T1319.161
M1038.388T940.951,M477.343T1423.013
M648.466T1423.012,M471.313T1295.888
M974.38T936.403,M383.284T1439.726
M835.333T951.54,M438.146T926.75
M827.326T866.333,M985.571T1146.934
M449.365T1540.699,M556.445T1212.039
M624.436T1440.08,M285.134T1052.907
M507.173T926.047,M495.298T1036.333
M801.479T1239.153,M617.489T1624.961
M904.333T924.482,M329.157T1608.526
M806.336T927.31,M549.426T1489.95
M809.345T941.458,M555.454T1439.586
M744.276T1008.897,M564.208T942.149
M875.328T942.609,M575.479T1456.772
M621.422T1439.586,M522.261T1109.944
M809.346T827.274,M867.584T1358.969
M650.482T1423.013,M367.15T410.425
M921.335T902.791,M471.336T1557.26
M705.258T877.183,M618.492T1624.789
M825.34T905.493,M339.172T1490.329
M668.509T1456.373,M477.403T1542.988
M621.419T1456.849,M349.196T1335.803
M972.391T940.951,M494.565T1319.161
M990.367T843.183,M534.444T1557.26
M898.349T936.403,M765.518T1313.696
M849.325T990.311,M415.326T1295.888
M852.321T857.905,M564.206T918.312
M798.333T1001.921,M899.349T990.311
M875.326T913.799,M629.459T1473.698
M567.431T1440.116,M505.253T1269.605
M895.359T935.639,M513.307T1059.952
M809.345T958.024,M313.161T1621.4
M822.841T1023.188,M575.477T1491.784
M827.321T940.951,M1085.421T973.898
M919.314T784.45,M886.353T1006.792
M664.46T1406.422,M393.189T1440.567
M633.478T1401.37,M653.412T1258.482
M806.333T841.952,M821.505T1179.269
M1095.412T857.905,M510.367T1523.593
M423.148T959.199,M567.43T1421.35
M423.145T941.689,M668.509T1456.373
M455.314T1423.012,M660.517T1423.005
M481.203T929.492,M684.476T1302.601
M704.261T784.45,M534.402T1422.678
M1023.385T959.199,M630.465T1474.173
M986.389T942.609,M764.518T1295.888
M402.157T908.195,M291.195T1053.001
M955.379T843.183,M561.396T1195.638
M798.336T1042.058,M587.442T1269.605
M819.302T866.333,M677.438T1339.916
M603.415T1456.538,M1102.351T817.469
M519.225T1025.439,M481.362T1591.564
M833.319T926.75,M669.531T1507.08
M985.395T851.401,M589.501T1621.712
M857.33T957.42,M951.603T1424.253
M734.269T909.479,M653.413T1377.63
M1037.391T940.951,M869.334T919.017
M895.336T836.496,M330.262T1456.934
M905.364T942.609,M764.517T1325.086
M833.315T843.183,M817.32T1025.439
M846.32T843.183,M637.414T1384.421
M955.384T902.791,M882.48T1339.403
M668.506T1440.08,M592.477T1439.652
M847.317T919.58,M605.432T1239.559
M806.333T896.321,M875.492T1306.216
M438.146T926.75,M639.424T1291.55
M819.303T925.437,M889.305T842.452
M835.332T872.624,M879.468T1338.726
M787.311T955.77,M423.198T1506.423
M447.159T891.807,M1003.558T1223.957
M498.187T898.1,M807.348T918.929
M947.38T990.311,M670.538T1472.8
M664.462T1368.515,M471.314T1308.231
M903.354T957.42,M585.283T918.479
M939.375T959.199,M1114.854T834.347
M511.168T847.893,M979.313T847.893
M789.329T927.31,M494.565T1422.678
M981.368T857.905,M673.432T1355.711
M618.492T1624.789,M669.539T1543.447
M668.492T1305.416,M593.49T1557.453
M850.319T935.639,M467.383T1523.593
M725.552T1574.274,M513.251T1355.541
M734.266T813.875,M926.605T1358.969
M1005.378T843.183,M653.413T1286.062
M849.314T843.183,M447.35T1507.107
M700.272T813.875,M423.211T1338.363
M639.422T1384.421,M589.459T1372.544
M878.337T941.124,M832.307T992.353
M897.335T957.42,M787.545T1575.098
M555.451T1436.867,M655.418T1389.36
M637.415T1439.736,M919.292T824.161
M988.382T919.58,M659.418T1406.262
M822.328T902.328,M1059.419T884.787
M990.389T957.42,M589.228T896.878
M908.359T973.898,M351.253T1019.694
M513.176T893.689,M523.36T1271.932
M594.498T1557.26,M660.514T1439.78
M935.358T959.199,M593.49T1539.529
M661.445T1228.528,M949.553T1173.004
M947.375T872.624,M505.27T1240.129
M956.379T959.199,M956.379T959.199
M670.528T1488.279,M652.416T1356.524
M695.451T1225.817,M798.839T1023.188
M779.29T843.183,M455.313T1308.231
M1001.365T875.234,M813.332T1056.081
M949.356T902.335,M839.506T1306.415
M637.411T1406.122,M898.349T936.403
M898.344T887.472,M545.456T1607.833
M425.15T917.809,M593.485T1401.37
M822.329T941.141,M593.49T1490.213
