"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M839.337T903.707,7.2731,5.2615e-07,6.2789,0.00021673,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; dro_15-dro_12; foc_15-dro_12; dro_9-dro_15; qcs_0-dro_15; xvm_15-dro_15; xvm_9-dro_15; foc_15-dro_9; qcs_0-foc_15; xvm_15-foc_15; xvm_9-foc_15
M575.48T1424.867,7.1239,6.8156e-07,6.1665,0.00021673,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; dro_15-con_15; dro_15-dro_12; qcs_0-dro_15; xvm_12-dro_15; xvm_15-dro_15; xvm_9-dro_15
M633.474T1424.866,6.0508,4.8279e-06,5.3162,0.0010103,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; dro_15-dro_12; foc_15-dro_12; xvm_12-dro_15; xvm_15-dro_15; xvm_9-dro_15; xvm_12-foc_15; xvm_15-foc_15
M591.475T1442.976,5.9078,6.354e-06,5.197,0.0010103,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; foc_15-dro_12; xvm_15-foc_15
M631.468T1459.998,5.6151,1.1267e-05,4.9482,0.0014331,con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; dro_15-dro_12; xvm_12-dro_15; xvm_15-dro_15
M681.468T1391.964,5.3451,1.936e-05,4.7131,0.0017773,dro_12-bla_0; foc_12-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_15-con_9; foc_15-dro_12; foc_9-dro_12; foc_15-foc_12; foc_9-foc_12; xvm_12-foc_15; xvm_15-foc_15; xvm_12-foc_9; xvm_15-foc_9
M1107.445T13.643,5.2901,2.1651e-05,4.6645,0.0017773,dro_12-bla_0; xvm_12-bla_0; dro_12-con_12; dro_12-con_15; dro_12-con_9; dro_15-dro_12; dro_9-dro_12; foc_12-dro_12; foc_15-dro_12; foc_9-dro_12; qcs_0-dro_12; xvm_15-dro_12; xvm_9-dro_12; xvm_12-dro_9; xvm_12-foc_12; xvm_12-foc_9; xvm_12-qcs_0
M573.464T1458.338,5.2744,2.2356e-05,4.6506,0.0017773,con_15-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; dro_15-dro_12; qcs_0-dro_15; xvm_12-dro_15; xvm_15-dro_15; xvm_9-dro_15
M632.472T1474.795,5.1694,2.7731e-05,4.557,0.0019335,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0
M650.482T1423.88,5.1063,3.1593e-05,4.5004,0.0019335,con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; dro_15-dro_12; xvm_12-dro_15; xvm_15-dro_15; xvm_15-foc_9
M222.962T20.134,5.0251,3.7406e-05,4.4271,0.0019335,con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; xvm_9-bla_0; qcs_0-dro_15; qcs_0-foc_15
M649.479T1424.057,5.0113,3.8507e-05,4.4145,0.0019335,con_15-bla_0; dro_12-bla_0; dro_9-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; dro_15-dro_12; qcs_0-dro_15; xvm_12-dro_15; xvm_15-dro_15; xvm_15-foc_9
M634.485T1424.862,4.9988,3.9521e-05,4.4032,0.0019335,con_15-bla_0; dro_12-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; dro_15-dro_12; foc_15-dro_12; xvm_15-foc_15
M247.083T835.562,4.8662,5.2242e-05,4.282,0.0023733,con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_9-bla_0; dro_15-con_15; dro_15-con_9; dro_15-dro_12; dro_9-dro_15; qcs_0-dro_15; xvm_12-dro_15; xvm_9-dro_15
M1050.784T17.121,4.6498,8.298e-05,4.081,0.003259,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0
M771.505T1357.807,4.6468,8.352e-05,4.0782,0.003259,con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_9-bla_0; dro_15-con_15; dro_15-con_9; dro_15-dro_12; dro_9-dro_15; qcs_0-dro_15; xvm_9-dro_15
M648.465T1441.075,4.6273,8.7113e-05,4.0599,0.003259,con_15-bla_0; dro_12-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; foc_15-dro_12; xvm_12-foc_15; xvm_15-foc_15
M647.463T1427.898,4.5991,9.2606e-05,4.0334,0.0032721,con_15-bla_0; dro_12-bla_0; foc_12-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0; xvm_15-foc_15
M364.909T21.126,4.4028,0.00014223,3.847,0.0047609,con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0
M970.794T18.128,4.3215,0.00017029,3.7688,0.0054151,con_12-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_15-bla_0; foc_12-con_9; qcs_0-foc_12
M1154.769T17.115,4.2964,0.00018006,3.7446,0.0054531,con_9-bla_0; foc_15-bla_0; qcs_0-bla_0; xvm_9-bla_0; dro_12-con_9; dro_9-con_9; qcs_0-dro_12
M1160.766T17.121,4.1333,0.00025958,3.5857,0.006924,con_12-bla_0; dro_15-bla_0; foc_9-bla_0; qcs_0-bla_0; dro_15-dro_12; dro_9-dro_15; foc_12-dro_15; xvm_15-dro_15; xvm_9-dro_15
M937.806T17.14,4.1169,0.00026941,3.5696,0.006924,con_9-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; qcs_0-dro_15; xvm_15-qcs_0
M890.804T18.126,4.108,0.00027486,3.5609,0.006924,con_9-bla_0; dro_15-bla_0; xvm_12-bla_0; dro_15-con_15; foc_12-dro_15; qcs_0-dro_15; xvm_15-dro_15
M367.151T397.982,4.1034,0.00027774,3.5564,0.006924,xvm_15-bla_0; xvm_15-con_12; xvm_15-con_15; xvm_15-con_9; xvm_15-dro_15; xvm_15-foc_12; xvm_15-foc_15
M612.874T18.123,4.095,0.00028306,3.5481,0.006924,con_12-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_9-bla_0; foc_12-dro_15
M296.921T20.131,3.9685,0.00037759,3.423,0.0088943,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; xvm_12-bla_0; xvm_9-bla_0
M480.892T18.142,3.9233,0.0004189,3.3779,0.0094105,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_9-bla_0
M1021.326T836.385,3.9128,0.00042909,3.3674,0.0094105,dro_15-con_15; dro_15-con_9; dro_15-dro_12; dro_9-dro_15; qcs_0-dro_15; xvm_12-dro_15; xvm_9-dro_15
M850.818T18.123,3.8255,0.00052501,3.2798,0.01113,con_9-bla_0; dro_12-bla_0; dro_15-bla_0; foc_15-bla_0; qcs_0-bla_0; xvm_9-bla_0; foc_12-dro_15; qcs_0-foc_12
M928.805T18.125,3.7936,0.0005653,3.2477,0.011598,con_12-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; foc_15-bla_0; qcs_0-bla_0; xvm_9-bla_0; qcs_0-foc_12
M1084.777T17.128,3.7069,0.00069211,3.1598,0.013756,con_9-bla_0; dro_12-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_15-bla_0; xvm_9-bla_0
M774.824T18.125,3.6842,0.00072986,3.1368,0.013823,con_12-bla_0; dro_15-bla_0; foc_15-bla_0; foc_9-bla_0; foc_15-con_15; foc_15-foc_12
M1116.775T17.12,3.6789,0.00073894,3.1314,0.013823,con_12-bla_0; foc_15-bla_0; con_15-con_12; dro_12-con_12; dro_15-con_12; foc_12-con_12; xvm_15-con_12; foc_15-foc_12
M1447.213T13.111,3.5954,0.0008995,3.046,0.016345,con_12-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_9-bla_0; xvm_15-bla_0; xvm_9-bla_0
M1053.787T16.896,3.4573,0.0012488,2.9035,0.021478,foc_12-con_15; foc_12-dro_12; foc_15-foc_12; foc_9-foc_12; qcs_0-foc_12; xvm_12-foc_12
M830.837T11.111,3.457,0.0012495,2.9033,0.021478,dro_12-con_12; dro_9-con_12; qcs_0-con_12; xvm_15-con_12
M990.789T18.143,3.4082,0.0014043,2.8525,0.023503,con_12-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; foc_15-bla_0; xvm_12-bla_0; xvm_9-bla_0
M824.345T903.272,3.3763,0.001516,2.8193,0.024723,dro_12-bla_0; dro_15-dro_12; qcs_0-dro_15
M1059.426T884.067,3.3621,0.0015688,2.8044,0.024944,xvm_12-bla_0; xvm_9-bla_0; xvm_12-foc_15; xvm_9-foc_15
M1165.777T13.111,3.293,0.001853,2.7321,0.028212,qcs_0-bla_0; xvm_12-bla_0; qcs_0-dro_15; xvm_12-dro_15
M882.812T18.125,3.2908,0.001863,2.7298,0.028212,con_12-bla_0; con_9-bla_0; dro_15-bla_0; qcs_0-con_12
M1282.251T13.11,3.2722,0.0019487,2.7102,0.028823,con_9-bla_0; dro_12-bla_0; dro_9-bla_0; foc_9-bla_0; xvm_12-bla_0; xvm_9-bla_0; qcs_0-con_9
M1501.706T13.11,3.2463,0.002075,2.683,0.029993,xvm_15-con_12; xvm_15-dro_9; xvm_15-foc_15; xvm_15-xvm_12
M302.934T20.131,3.2015,0.0023136,2.6357,0.032699,con_12-bla_0; con_15-bla_0; con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_12-bla_0; xvm_9-bla_0
M856.823T18.124,3.1909,0.0023739,2.6245,0.032821,dro_15-bla_0; dro_9-dro_15; foc_12-dro_15
M817.26T833.71,3.1592,0.002565,2.5909,0.034709,dro_12-bla_0; dro_15-dro_12
M908.151T15.062,3.1431,0.0026678,2.5738,0.034985,xvm_12-con_12; xvm_12-con_15; xvm_12-con_9; xvm_12-dro_12; xvm_12-dro_15; xvm_12-dro_9; xvm_12-foc_12; xvm_12-foc_15; xvm_12-foc_9; xvm_15-xvm_12; xvm_9-xvm_12
M694.849T18.125,3.1389,0.0026954,2.5694,0.034985,dro_15-bla_0; foc_15-bla_0; foc_12-dro_15; qcs_0-dro_15
M817.264T834.906,3.1303,0.0027521,2.5603,0.035007,dro_15-dro_12; xvm_9-dro_15
M1026.791T12.104,3.0255,0.0035598,2.4486,0.044392,qcs_0-con_12; qcs_0-con_9; qcs_0-dro_15; qcs_0-foc_15; qcs_0-foc_9; xvm_12-qcs_0
M1132.772T17.119,3.0168,0.0036364,2.4393,0.044476,foc_15-foc_12; qcs_0-foc_12
M996.798T17.124,3.0086,0.0037111,2.4305,0.044533,dro_15-bla_0; qcs_0-bla_0; xvm_9-bla_0; qcs_0-foc_12
M1422.052T13.142,2.9571,0.0042133,2.3754,0.049623,qcs_0-con_9; qcs_0-dro_12; qcs_0-dro_15; qcs_0-dro_9; qcs_0-foc_12; qcs_0-foc_15
M1473.715T13.11,2.9195,0.0046247,2.3349,0.053479,con_9-bla_0; foc_9-bla_0; xvm_12-bla_0; xvm_9-bla_0
M663.461T1374.938,2.9122,0.0047093,2.327,0.053484,dro_12-bla_0; xvm_15-bla_0; foc_9-dro_12; xvm_15-foc_9
M950.801T18.122,2.8752,0.0051622,2.2872,0.057599,dro_15-bla_0; dro_15-con_9; foc_12-dro_15
M1270.248T13.113,2.8498,0.0054983,2.2598,0.060291,qcs_0-con_15; xvm_12-qcs_0; xvm_9-qcs_0
M1005.793T17.124,2.8029,0.0061797,2.209,0.066615,foc_15-bla_0
M802.829T18.125,2.7745,0.0066327,2.1783,0.070306,dro_15-bla_0; foc_15-bla_0; xvm_9-bla_0
M1108.781T17.122,2.7584,0.0069062,2.1608,0.071014,con_9-bla_0; dro_15-bla_0
M1252.751T12.611,2.7574,0.0069227,2.1597,0.071014,xvm_9-bla_0; xvm_9-dro_12; xvm_9-qcs_0
M748.848T18.125,2.7466,0.0071124,2.148,0.071554,dro_15-bla_0; dro_15-con_15; foc_12-dro_15
M992.801T17.117,2.7378,0.00727,2.1385,0.071554,dro_15-bla_0; dro_15-con_9; foc_15-con_9
M1230.746T17.121,2.7355,0.0073129,2.1359,0.071554,con_9-bla_0; dro_12-bla_0; dro_15-bla_0; dro_9-bla_0; foc_15-bla_0; foc_9-bla_0; qcs_0-bla_0; xvm_9-bla_0
M1067.787T17.122,2.7219,0.0075654,2.1212,0.072903,con_9-bla_0; xvm_12-bla_0
M1146.766T17.123,2.7107,0.0077813,2.1089,0.073864,con_15-bla_0; con_9-bla_0; dro_12-bla_0
M717.846T18.125,2.6745,0.0085206,2.0695,0.079693,con_12-bla_0; con_9-bla_0; foc_15-bla_0
M1170.77T17.127,2.6476,0.0091147,2.0403,0.084013,con_9-bla_0; foc_15-bla_0
M827.834T17.122,2.6383,0.0093308,2.0301,0.084777,dro_15-con_15; dro_9-dro_15
M711.854T15.533,2.617,0.0098433,2.0069,0.088174,dro_15-bla_0
M1419.724T14.619,2.6079,0.010072,1.9969,0.088392,xvm_9-bla_0; xvm_9-con_15; xvm_9-con_9; xvm_9-dro_15; xvm_9-foc_15; xvm_9-foc_9; xvm_9-qcs_0; xvm_9-xvm_12
M948.799T18.126,2.6019,0.010225,1.9903,0.088392,dro_12-bla_0; qcs_0-bla_0
M799.252T819.392,2.5977,0.010334,1.9857,0.088392,""
M1118.774T17.122,2.592,0.010481,1.9796,0.088392,dro_12-bla_0; dro_15-bla_0; qcs_0-bla_0
M696.843T19.128,2.589,0.010563,1.9762,0.088392,dro_12-bla_0; xvm_9-bla_0; xvm_9-foc_12
M1183.426T17.121,2.5731,0.010993,1.9589,0.0908,con_9-bla_0; qcs_0-bla_0
M612.876T11.11,2.556,0.011477,1.9402,0.093142,qcs_0-bla_0; qcs_0-con_12; qcs_0-con_15; qcs_0-foc_12; qcs_0-foc_15; xvm_9-qcs_0
M1518.703T13.111,2.5528,0.01157,1.9367,0.093142,xvm_9-bla_0; xvm_9-qcs_0
M996.802T15.96,2.5316,0.012206,1.9134,0.097037,qcs_0-bla_0; xvm_12-qcs_0
M1086.109T15.006,2.5134,0.012778,1.8935,0.10033,foc_9-bla_0; foc_9-con_15; foc_9-con_9; foc_9-dro_12; foc_9-dro_15; foc_9-dro_9; foc_9-foc_12; qcs_0-foc_9; xvm_12-foc_9; xvm_9-foc_9
M931.815T16.119,2.5042,0.013077,1.8835,0.10143,foc_12-dro_15; foc_15-foc_12
M1542.7T13.111,2.4751,0.014074,1.8516,0.10785,xvm_9-bla_0
M663.459T1408.312,2.4637,0.014487,1.839,0.10969,""
M392.904T19.162,2.4553,0.014799,1.8298,0.11073,""
M939.816T16.127,2.4455,0.01517,1.819,0.11219,dro_12-bla_0; foc_12-dro_12
M1514.419T12.108,2.436,0.015538,1.8086,0.11314,""
M1146.77T17.121,2.433,0.015655,1.8054,0.11314,dro_15-bla_0; foc_9-bla_0
M978.802T11.597,2.4093,0.016622,1.7793,0.11616,qcs_0-dro_12; qcs_0-dro_15; xvm_12-qcs_0; xvm_9-qcs_0
M902.806T18.126,2.4043,0.016834,1.7738,0.11616,dro_15-bla_0; dro_15-con_12; foc_12-dro_15
M831.338T16.12,2.399,0.017062,1.768,0.11616,dro_15-bla_0; foc_15-bla_0
M544.888T18.116,2.3953,0.017222,1.7639,0.11616,""
