sample_date,Timepoint_no.,Treatment_group,Plant,External_ss,Internal_ss
09.12.23,1,Xvm,X9-1,1,3
09.12.23,1,Xvm,X9-2,1,1
09.12.23,1,Xvm,X9-3,1,2
09.12.23,1,Xvm,X9-4,1,2
09.12.23,1,Foc,F9-1,2,1
09.12.23,1,Foc,F9-2,2,1
09.12.23,1,Foc,F9-3,1,1
09.12.23,1,Foc,F9-4,2,1
09.12.23,1,Dro,D9-1,2,1
09.12.23,1,Dro,D9-2,2,1
09.12.23,1,Dro,D9-3,3,1
09.12.23,1,Dro,D9-4,4,1
09.12.23,1,Con,C9-1,1,1
09.12.23,1,Con,C9-2,1,1
09.12.23,1,Con,C9-3,1,1
09.12.23,1,Con,C9-4,1,1
12.12.23,2,Xvm,X12-1,2,4
12.12.23,2,Xvm,X12-2,1,3
12.12.23,2,Xvm,X12-3,2,3
12.12.23,2,Xvm,X12-4,2,5
12.12.23,2,Foc,F12-1,3,1
12.12.23,2,Foc,F12-2,2,1
12.12.23,2,Foc,F12-3,1,1
12.12.23,2,Foc,F12-4,1,1
12.12.23,2,Dro,D12-1,4,1
12.12.23,2,Dro,D12-2,4,1
12.12.23,2,Dro,D12-3,3,1
12.12.23,2,Dro,D12-4,4,2
12.12.23,2,Con,C12-1,1,1
12.12.23,2,Con,C12-2,1,1
12.12.23,2,Con,C12-3,1,1
12.12.23,2,Con,C12-4,1,1
15.12.23,3,Xvm,X15-1,4,5
15.12.23,3,Xvm,X15-2,4,5
15.12.23,3,Xvm,X15-3,4,5
15.12.23,3,Xvm,X15-4,1,4
15.12.23,3,Foc,F15-1,2,1
15.12.23,3,Foc,F15-2,2,1
15.12.23,3,Foc,F15-3,3,2
15.12.23,3,Foc,F15-4,3,1
15.12.23,3,Dro,D15-1,4,1
15.12.23,3,Dro,D15-2,4,1
15.12.23,3,Dro,D15-3,4,1
15.12.23,3,Dro,D15-4,4,2
15.12.23,3,Con,C15-1,1,1
15.12.23,3,Con,C15-2,1,1
15.12.23,3,Con,C15-3,1,1
15.12.23,3,Con,C15-4,1,1
